Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,F,12/14/1996,,,,,,,,,,,,,,,
Aaron Downey,F,8/27/1974,,,,,,,,,,,,,,,
Aaron Gagnon,F,4/24/1986,,,,,,,,,,,,,,,
Aaron Palushaj,F,9/7/1989,,,,,,,,,,,,,,,
Aaron Volpatti,F,5/30/1985,,,,,,,,,,,,,,,
Aaron Voros,F,7/2/1981,,,,,,,,,,,,,,,
Adam Beckman,F,5/10/2001,,,,,,,,,,,,,,,
Adam Brooks,F,5/6/1996,,,,,,,,,,,,,,,
Adam Burish,F,1/6/1983,0.172,0.184,,0.157,0.204,0.130,,0.241,,,,,,,
Adam Cracknell,F,7/15/1985,,,,,,,,,0.011,0.037,,,,,
Adam Erne,F,4/20/1995,,,,,,,,,,,,,,,
Adam Gaudette,F,10/3/1996,,,,,,,,,,,,,,,
Adam Hall,F,8/14/1980,0.100,0.108,,0.089,0.102,0.118,0.095,,,,,,,,
Adam Henrique,F,2/6/1990,,,,,0.123,0.138,0.069,0.066,0.091,0.111,0.068,0.079,0.012,0.084,
Adam Johnson,F,6/22/1994,,,,,,,,,,,,,,,
Adam Lowry,F,3/29/1993,,,,,,,,0.076,0.094,0.114,0.059,0.094,0.070,0.052,0.062
Adam Mair,F,2/15/1979,,,,,,,,,,,,,,,
Adam Ruzicka,F,5/11/1999,,,,,,,,,,,,,,,
Adrian Kempe,F,9/13/1996,,,,,,,,,,,,0.062,0.032,0.082,0.050
Alan Quine,F,2/25/1993,,,,,,,,,,,,,,,
Aleksander Barkov,F,9/2/1995,,,,,,,,0.081,0.094,0.068,0.089,0.063,0.071,0.070,0.077
Aleksi Heponiemi,F,1/9/1999,,,,,,,,,,,,,,,
Ales Hemsky,F,8/13/1983,,,,0.094,,,,,,,,,,,
Ales Kotalik,F,12/23/1978,,,,,,,,,,,,,,,
Alex Barre-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Belzile,F,8/31/1991,,,,,,,,,,,,,,,
Alex Chiasson,F,10/1/1990,,,,,,,0.039,0.031,0.032,0.027,0.092,0.012,,,
Alex DeBrincat,F,12/18/1997,,,,,,,,,,,,,,,0.053
Alex Formenton,F,9/13/1999,,,,,,,,,,,,,,0.094,0.064
Alex Foster,F,8/26/1984,,,,,,,,,,,,,,,
Alex Frolov,F,6/19/1982,,0.057,0.040,,,,,,,,,,,,
Alex Galchenyuk,F,2/12/1994,,,,,,,,,,,,,,,
Alex Iafallo,F,12/21/1993,,,,,,,,,,,,0.076,0.103,0.087,0.129
Alex Khokhlachev,F,9/9/1993,,,,,,,,,,,,,,,
Alex Killorn,F,9/14/1989,,,,,,0.086,,0.032,0.040,0.048,0.055,0.037,0.050,0.040,0.057
Alex Kovalev,F,2/24/1973,0.033,0.079,,,,,,,,,,,,,
Alex Newhook,F,1/28/2001,,,,,,,,,,,,,,,
Alex Nylander,F,3/2/1998,,,,,,,,,,,,,,,
Alex Ovechkin,F,9/17/1985,,0.057,,,,,,,,,,,,,
Alex Tanguay,F,11/21/1979,0.081,,,0.069,0.158,0.162,,0.101,0.057,,,,,,
Alex Tuch,F,5/10/1996,,,,,,,,,,,,,,0.064,0.098
Alex Turcotte,F,2/26/2001,,,,,,,,,,,,,,,
Alex Wennberg,F,9/22/1994,,,,,,,,,,,,,,0.035,0.078
Alexander Barabanov,F,6/17/1994,,,,,,,,,,,,,,,
Alexander Burmistrov,F,10/21/1991,,,,0.065,0.040,0.077,,,0.083,0.084,,,,,
Alexander Chmelevski,F,6/9/1999,,,,,,,,,,,,,,,
Alexander Holtz,F,1/23/2002,,,,,,,,,,,,,,,
Alexander Kerfoot,F,8/11/1994,,,,,,,,,,,,,,0.061,0.063
Alexander Radulov,F,7/5/1986,,,,,,,,,,,,,,,
Alexander Semin,F,3/3/1984,,0.047,0.029,0.014,,0.097,0.068,,,,,,,,
