Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,F,12/14/1996,,,,,,,,,,,,,,,
Aaron Downey,F,8/27/1974,,,,,,,,,,,,,,,
Aaron Ekblad,D,2/7/1996,,,,,,,,0.104,0.087,0.090,0.110,0.074,0.075,0.073,0.104
Aaron Gagnon,F,4/24/1986,,,,,,,,,,,,,,,
Aaron Johnson,D,4/30/1983,,0.163,0.102,,0.171,,,,,,,,,,
Aaron MacKenzie,D,3/7/1981,,,,,,,,,,,,,,,
Aaron Miller,D,8/11/1971,0.144,,,,,,,,,,,,,,
Aaron Ness,D,5/18/1990,,,,,,,,,,,,,,,
Aaron Palushaj,F,9/7/1989,,,,,,,,,,,,,,,
Aaron Rome,D,9/27/1983,,,0.083,0.074,0.203,0.129,,,,,,,,,
Aaron Volpatti,F,5/30/1985,,,,,,,,,,,,,,,
Aaron Voros,F,7/2/1981,,,,,,,,,,,,,,,
Aaron Ward,D,1/17/1973,0.199,0.146,0.165,,,,,,,,,,,,
Adam Almquist,D,2/27/1991,,,,,,,,,,,,,,,
Adam Beckman,F,5/10/2001,,,,,,,,,,,,,,,
Adam Boqvist,D,8/15/2000,,,,,,,,,,,,,,,
Adam Brooks,F,5/6/1996,,,,,,,,,,,,,,,
Adam Burish,F,1/6/1983,0.172,0.184,,0.157,0.204,0.130,,0.241,,,,,,,
Adam Clendening,D,10/26/1992,,,,,,,,,,,,,,,
Adam Cracknell,F,7/15/1985,,,,,,,,,0.011,0.037,,,,,
Adam Erne,F,4/20/1995,,,,,,,,,,,,,,,
Adam Foote,D,7/10/1971,0.143,0.180,0.119,0.091,,,,,,,,,,,
Adam Fox,D,2/17/1998,,,,,,,,,,,,,,0.185,0.100
Adam Gaudette,F,10/3/1996,,,,,,,,,,,,,,,
Adam Hall,F,8/14/1980,0.100,0.108,,0.089,0.102,0.118,0.095,,,,,,,,
Adam Henrique,F,2/6/1990,,,,,0.123,0.138,0.069,0.066,0.091,0.111,0.068,0.079,0.012,0.084,
Adam Johnson,F,6/22/1994,,,,,,,,,,,,,,,
Adam Larsson,D,11/12/1992,,,,,,0.253,,0.160,0.147,0.221,0.179,0.117,0.196,0.158,0.175
Adam Lowry,F,3/29/1993,,,,,,,,0.076,0.094,0.114,0.059,0.094,0.070,0.052,0.062
Adam Mair,F,2/15/1979,,,,,,,,,,,,,,,
Adam McQuaid,D,10/12/1986,,,,0.241,0.162,,0.141,0.139,0.203,0.239,0.217,0.193,,,
Adam Pardy,D,3/29/1984,,0.126,0.155,,,,0.159,0.160,0.172,,,,,,
Adam Pelech,D,8/16/1994,,,,,,,,,,0.319,0.175,0.111,0.194,0.146,0.143
Adam Ruzicka,F,5/11/1999,,,,,,,,,,,,,,,
Adrian Aucoin,D,7/3/1973,0.059,0.064,0.044,0.101,0.069,0.020,,,,,,,,,
Adrian Kempe,F,9/13/1996,,,,,,,,,,,,0.062,0.032,0.082,0.050
Alain Nasreddine,D,7/10/1975,,,,,,,,,,,,,,,
Alan Quine,F,2/25/1993,,,,,,,,,,,,,,,
Alec Martinez,D,7/26/1987,,,,,,,,0.235,0.205,0.210,0.262,0.177,0.217,0.314,0.133
Alec Regula,D,8/6/2000,,,,,,,,,,,,,,,
Aleksander Barkov,F,9/2/1995,,,,,,,,0.081,0.094,0.068,0.089,0.063,0.071,0.070,0.077
Aleksi Heponiemi,F,1/9/1999,,,,,,,,,,,,,,,
Ales Hemsky,F,8/13/1983,,,,0.094,,,,,,,,,,,
Ales Kotalik,F,12/23/1978,,,,,,,,,,,,,,,
Alex Barre-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Belzile,F,8/31/1991,,,,,,,,,,,,,,,
Alex Biega,D,4/4/1988,,,,,,,,,0.087,,0.213,,0.083,,
Alex Chiasson,F,10/1/1990,,,,,,,0.039,0.031,0.032,0.027,0.092,0.012,,,
Alex DeBrincat,F,12/18/1997,,,,,,,,,,,,,,,0.053
