Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,,,,,,,,,,,,,,,
Aaron Ekblad,,,,,,,,0.085,0.069,0.072,0.092,0.058,0.059,0.058,0.089
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Johnson,,0.148,0.088,,0.159,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,0.140,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,,,,,,,,,,,
Aaron Rome,,,0.069,0.061,0.190,0.118,,,,,,,,,
Aaron Volpatti,,,,,,,,,,,,,,,
Aaron Voros,,,,,,,,,,,,,,,
Aaron Ward,0.193,0.141,0.161,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,,,
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,0.156,0.169,,0.144,0.191,0.119,,0.232,,,,,,,
Adam Clendening,,,,,,,,,,,,,,,
Adam Cracknell,,,,,,,,,0.000,0.028,,,,,
Adam Erne,,,,,,,,,,,,,,,
Adam Foote,0.139,0.177,0.116,0.090,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,,0.168,0.084
Adam Gaudette,,,,,,,,,,,,,,,
Adam Hall,0.086,0.095,,0.079,0.092,0.109,0.088,,,,,,,,
Adam Henrique,,,,,0.105,0.121,0.053,0.050,0.076,0.096,0.055,0.066,0.000,0.073,
Adam Johnson,,,,,,,,,,,,,,,
Adam Larsson,,,,,,0.235,,0.143,0.131,0.206,0.164,0.103,0.182,0.145,0.164
Adam Lowry,,,,,,,,0.059,0.077,0.098,0.044,0.079,0.056,0.039,0.049
Adam Mair,,,,,,,,,,,,,,,
Adam McQuaid,,,,0.225,0.147,,0.128,0.126,0.191,0.229,0.208,0.185,,,
Adam Pardy,,0.110,0.140,,,,0.147,0.149,0.163,,,,,,
Adam Pelech,,,,,,,,,,0.302,0.159,0.096,0.180,0.132,0.129
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Aucoin,0.053,0.058,0.040,0.098,0.067,0.018,,,,,,,,,
Adrian Kempe,,,,,,,,,,,,0.045,0.016,0.067,0.035
Alain Nasreddine,,,,,,,,,,,,,,,
Alan Quine,,,,,,,,,,,,,,,
Alec Martinez,,,,,,,,0.222,0.192,0.198,0.251,0.167,0.209,0.307,0.127
Alec Regula,,,,,,,,,,,,,,,
Aleksander Barkov,,,,,,,,0.063,0.076,0.051,0.072,0.047,0.055,0.056,0.063
Aleksi Heponiemi,,,,,,,,,,,,,,,
Ales Hemsky,,,,0.080,,,,,,,,,,,
Ales Kotalik,,,,,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,0.074,,0.202,,0.073,,
Alex Chiasson,,,,,,,0.023,0.016,0.017,0.013,0.079,0.000,,,
Alex DeBrincat,,,,,,,,,,,,,,,0.038
Alex Formenton,,,,,,,,,,,,,,0.076,0.047
Alex Foster,,,,,,,,,,,,,,,
Alex Frolov,,0.043,0.027,,,,,,,,,,,,
Alex Galchenyuk,,,,,,,,,,,,,,,
Alex Goligoski,,,0.075,0.090,0.087,0.159,0.169,0.155,0.141,0.152,0.167,0.201,0.126,0.170,0.168
Alex Grant,,,,,,,,,,,,,,,
Alex Henry,,,,,,,,,,,,,,,
Alex Iafallo,,,,,,,,,,,,0.061,0.089,0.074,0.116
Alex Khokhlachev,,,,,,,,,,,,,,,
