Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,,,,,,,,,,,,,,,
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,,,,,,,,,,,
Aaron Volpatti,,,,,,,,,,,,,,,
Aaron Voros,,,,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,0.156,0.169,,0.144,0.191,0.119,,0.232,,,,,,,
Adam Cracknell,,,,,,,,,0.000,0.028,,,,,
Adam Erne,,,,,,,,,,,,,,,
Adam Gaudette,,,,,,,,,,,,,,,
Adam Hall,0.086,0.095,,0.079,0.092,0.109,0.088,,,,,,,,
Adam Henrique,,,,,0.105,0.121,0.053,0.050,0.076,0.096,0.055,0.066,0.000,0.073,
Adam Johnson,,,,,,,,,,,,,,,
Adam Lowry,,,,,,,,0.059,0.077,0.098,0.044,0.079,0.056,0.039,0.049
Adam Mair,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Kempe,,,,,,,,,,,,0.045,0.016,0.067,0.035
Alan Quine,,,,,,,,,,,,,,,
Aleksander Barkov,,,,,,,,0.063,0.076,0.051,0.072,0.047,0.055,0.056,0.063
Aleksi Heponiemi,,,,,,,,,,,,,,,
Ales Hemsky,,,,0.080,,,,,,,,,,,
Ales Kotalik,,,,,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Chiasson,,,,,,,0.023,0.016,0.017,0.013,0.079,0.000,,,
Alex DeBrincat,,,,,,,,,,,,,,,0.038
Alex Formenton,,,,,,,,,,,,,,0.076,0.047
Alex Foster,,,,,,,,,,,,,,,
Alex Frolov,,0.043,0.027,,,,,,,,,,,,
Alex Galchenyuk,,,,,,,,,,,,,,,
Alex Iafallo,,,,,,,,,,,,0.061,0.089,0.074,0.116
Alex Khokhlachev,,,,,,,,,,,,,,,
Alex Killorn,,,,,,0.069,,0.017,0.026,0.034,0.043,0.025,0.040,0.030,0.048
Alex Kovalev,0.027,0.074,,,,,,,,,,,,,
Alex Newhook,,,,,,,,,,,,,,,
Alex Nylander,,,,,,,,,,,,,,,
Alex Ovechkin,,0.041,,,,,,,,,,,,,
Alex Tanguay,0.069,,,0.059,0.150,0.155,,0.095,0.053,,,,,,
Alex Tuch,,,,,,,,,,,,,,0.049,0.084
Alex Turcotte,,,,,,,,,,,,,,,
Alex Wennberg,,,,,,,,,,,,,,0.021,0.065
Alexander Barabanov,,,,,,,,,,,,,,,
Alexander Burmistrov,,,,0.046,0.022,0.060,,,0.068,0.069,,,,,
Alexander Chmelevski,,,,,,,,,,,,,,,
Alexander Holtz,,,,,,,,,,,,,,,
Alexander Kerfoot,,,,,,,,,,,,,,0.047,0.050
Alexander Radulov,,,,,,,,,,,,,,,
Alexander Semin,,0.032,0.014,0.000,,0.084,0.057,,,,,,,,
Alexander Steen,0.049,0.099,0.052,0.072,0.109,0.092,0.046,0.116,0.050,0.114,0.053,0.110,0.094,,
Alexander True,,,,,,,,,,,,,,,
Alexander Vasyunov,,,,,,,,,,,,,,,
Alexander Volkov,,,,,,,,,,,,,,,
Alexander Wennberg,,,,,,,,0.114,0.147,0.039,0.044,0.021,0.035,,
Alexandre Bolduc,,,,,,,,,,,,,,,
Alexandre Burrows,0.069,0.062,0.088,0.055,0.106,0.063,0.142,0.094,0.051,0.068,0.160,,,,
Alexandre Fortin,,,,,,,,,,,,,,,
Alexandre Giroux,,,,,,,,,,,,,,,
