Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,D,2/7/1996,,,,,,,,0.062,0.021,0.021,0.029,0.049,0.030,0.023,0.030
Aaron Johnson,D,4/30/1983,,0.049,0.065,,0.117,,,,,,,,,,
Aaron MacKenzie,D,3/7/1981,,,,,,,,,,,,,,,
Aaron Miller,D,8/11/1971,0.011,,,,,,,,,,,,,,
Aaron Ness,D,5/18/1990,,,,,,,,,,,,,,,
Aaron Rome,D,9/27/1983,,,-0.001,-0.001,0.030,-0.003,,,,,,,,,
Aaron Ward,D,1/17/1973,0.063,0.093,0.102,,,,,,,,,,,,
Adam Almquist,D,2/27/1991,,,,,,,,,,,,,,,
Adam Boqvist,D,8/15/2000,,,,,,,,,,,,,,,
Adam Clendening,D,10/26/1992,,,,,,,,,,,,,,,
Adam Foote,D,7/10/1971,0.048,0.058,0.097,0.060,,,,,,,,,,,
Adam Fox,D,2/17/1998,,,,,,,,,,,,,,0.015,0.007
Adam Larsson,D,11/12/1992,,,,,,0.027,,0.061,0.052,0.151,0.131,0.108,0.084,0.113,0.079
Adam McQuaid,D,10/12/1986,,,,0.051,0.053,,0.017,0.082,0.080,0.061,0.056,0.120,,,
Adam Pardy,D,3/29/1984,,0.019,0.046,,,,0.030,0.056,0.103,,,,,,
Adam Pelech,D,8/16/1994,,,,,,,,,,0.048,0.023,0.112,0.066,0.032,0.027
Adrian Aucoin,D,7/3/1973,0.034,0.015,0.055,0.077,0.034,0.099,,,,,,,,,
Alain Nasreddine,D,7/10/1975,,,,,,,,,,,,,,,
Alec Martinez,D,7/26/1987,,,,,,,,0.143,0.123,0.080,0.034,0.056,0.051,0.030,0.020
Alec Regula,D,8/6/2000,,,,,,,,,,,,,,,
Alex Biega,D,4/4/1988,,,,,,,,,0.127,,0.257,,0.117,,
Alex Goligoski,D,7/30/1985,,,0.028,0.062,0.010,0.042,0.053,0.043,0.048,0.053,0.073,0.041,0.031,0.022,0.007
Alex Grant,D,1/20/1989,,,,,,,,,,,,,,,
Alex Henry,D,10/18/1979,,,,,,,,,,,,,,,
Alex Petrovic,D,3/3/1992,,,,,,,,,0.077,0.016,,0.087,,,
Alex Pietrangelo,D,1/18/1990,,,,0.028,0.063,0.029,0.015,0.032,0.030,0.016,0.015,0.066,0.052,0.030,0.020
Alex Plante,D,5/9/1989,,,,,,,,,,,,,,,
Alex Vlasic,D,6/5/2001,,,,,,,,,,,,,,,
Alexander Edler,D,4/21/1986,0.010,0.047,0.025,0.061,0.074,0.033,0.064,0.024,0.072,0.024,0.048,0.027,0.018,0.011,0.025
Alexander Romanov,D,1/6/2000,,,,,,,,,,,,,,0.046,0.110
Alexander Sulzer,D,5/30/1984,,,,0.059,,,0.019,,,,,,,,
Alexander Urbom,D,12/20/1990,,,,,,,0.103,,,,,,,,
Alexander Yelesin,D,2/7/1996,,,,,,,,,,,,,,,
Alexandre Carrier,D,10/8/1996,,,,,,,,,,,,,,0.000,0.031
Alexandre Picard,D,7/5/1985,0.054,,0.045,,,,,,,,,,,,
Alexei Emelin,D,4/25/1986,,,,,0.148,0.262,0.154,0.092,0.094,0.124,0.140,,,,
Alexei Semenov,D,4/10/1981,,0.051,,,,,,,,,,,,,
Alexei Zhitnik,D,10/10/1972,0.044,,,,,,,,,,,,,,
Alexey Marchenko,D,1/2/1992,,,,,,,,,0.066,0.014,,,,,
Allan Rourke,D,3/6/1980,,,,,,,,,,,,,,,
Anders Eriksson,D,1/9/1975,0.046,,,,,,,,,,,,,,
Andre Benoit,D,1/6/1984,,,,,,,0.063,0.050,,,,,,,
Andreas Borgman,D,6/18/1995,,,,,,,,,,,,,,,
Andreas Englund,D,1/21/1996,,,,,,,,,,,,,,,
Andreas Lilja,D,7/13/1975,0.085,0.091,0.178,0.078,0.102,,,,,,,,,,
Andrei Markov,D,12/20/1978,0.036,0.044,0.063,,,0.025,-0.004,0.007,0.026,-0.016,,,,,
Andrei Mironov,D,7/29/1994,,,,,,,,,,,,,,,
Andrei Zyuzin,D,1/21/1978,0.081,,,,,,,,,,,,,,
Andrej Meszaros,D,10/13/1985,0.059,0.061,0.107,0.138,0.132,,0.042,0.073,,,,,,,
Andrej Sekera,D,6/8/1986,0.017,0.062,,0.015,0.009,0.086,0.024,0.045,0.005,0.027,0.038,-0.007,0.038,0.013,
Andrej Sustr,D,11/29/1990,,,,,,,0.059,0.010,0.028,0.023,,,,,0.019
Andrew Alberts,D,6/30/1981,0.068,0.115,0.138,0.132,0.212,-0.005,,,,,,,,,
Andrew Bodnarchuk,D,7/11/1988,,,,,,,,,,,,,,,
Andrew Campbell,D,2/4/1988,,,,,,,,0.051,,,,,,,
Andrew Ference,D,3/17/1979,0.035,0.049,0.047,0.087,0.057,0.121,0.057,0.109,,,,,,,
Andrew Hutchinson,D,3/24/1980,,,,,,,,,,,,,,,
Andrew MacDonald,D,9/7/1986,,,0.053,0.042,0.042,0.021,0.040,0.009,0.036,0.006,0.037,0.015,,,
Andrew MacWilliam,D,3/25/1990,,,,,,,,0.206,,,,,,,
Andrew Peeke,D,3/17/1998,,,,,,,,,,,,,,,0.088
Andrey Pedan,D,7/3/1993,,,,,,,,,,,,,,,
Andrey Zubarev,D,3/3/1987,,,,,,,,,,,,,,,
Andy Greene,D,10/30/1982,0.017,,0.070,0.008,0.036,0.071,0.029,0.042,0.040,0.017,0.020,0.024,-0.001,0.037,-0.013
Andy Sutton,D,3/10/1975,0.081,0.031,0.095,0.039,0.145,,,,,,,,,,
