Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,F,12/14/1996,,,,,,,,,,,,,,,
Aaron Downey,F,8/27/1974,,,,,,,,,,,,,,,
Aaron Ekblad,D,2/7/1996,,,,,,,,0.062,0.021,0.021,0.029,0.049,0.030,0.023,0.030
Aaron Gagnon,F,4/24/1986,,,,,,,,,,,,,,,
Aaron Johnson,D,4/30/1983,,0.049,0.065,,0.117,,,,,,,,,,
Aaron MacKenzie,D,3/7/1981,,,,,,,,,,,,,,,
Aaron Miller,D,8/11/1971,0.011,,,,,,,,,,,,,,
Aaron Ness,D,5/18/1990,,,,,,,,,,,,,,,
Aaron Palushaj,F,9/7/1989,,,,,,,,,,,,,,,
Aaron Rome,D,9/27/1983,,,-0.001,-0.001,0.030,-0.003,,,,,,,,,
Aaron Volpatti,F,5/30/1985,,,,,,,,,,,,,,,
Aaron Voros,F,7/2/1981,,,,,,,,,,,,,,,
Aaron Ward,D,1/17/1973,0.063,0.093,0.102,,,,,,,,,,,,
Adam Almquist,D,2/27/1991,,,,,,,,,,,,,,,
Adam Beckman,F,5/10/2001,,,,,,,,,,,,,,,
Adam Boqvist,D,8/15/2000,,,,,,,,,,,,,,,
Adam Brooks,F,5/6/1996,,,,,,,,,,,,,,,
Adam Burish,F,1/6/1983,0.018,0.016,,0.007,0.009,0.014,,-0.005,,,,,,,
Adam Clendening,D,10/26/1992,,,,,,,,,,,,,,,
Adam Cracknell,F,7/15/1985,,,,,,,,,0.026,0.022,,,,,
Adam Erne,F,4/20/1995,,,,,,,,,,,,,,,
Adam Foote,D,7/10/1971,0.048,0.058,0.097,0.060,,,,,,,,,,,
Adam Fox,D,2/17/1998,,,,,,,,,,,,,,0.015,0.007
Adam Gaudette,F,10/3/1996,,,,,,,,,,,,,,,
Adam Hall,F,8/14/1980,0.012,0.024,,0.014,0.007,0.007,0.012,,,,,,,,
Adam Henrique,F,2/6/1990,,,,,0.002,0.001,0.018,0.007,0.014,0.010,0.006,0.009,0.020,-0.004,
Adam Johnson,F,6/22/1994,,,,,,,,,,,,,,,
Adam Larsson,D,11/12/1992,,,,,,0.027,,0.061,0.052,0.151,0.131,0.108,0.084,0.113,0.079
Adam Lowry,F,3/29/1993,,,,,,,,0.061,0.072,0.061,0.098,0.045,0.055,0.100,0.069
Adam Mair,F,2/15/1979,,,,,,,,,,,,,,,
Adam McQuaid,D,10/12/1986,,,,0.051,0.053,,0.017,0.082,0.080,0.061,0.056,0.120,,,
Adam Pardy,D,3/29/1984,,0.019,0.046,,,,0.030,0.056,0.103,,,,,,
Adam Pelech,D,8/16/1994,,,,,,,,,,0.048,0.023,0.112,0.066,0.032,0.027
Adam Ruzicka,F,5/11/1999,,,,,,,,,,,,,,,
Adrian Aucoin,D,7/3/1973,0.034,0.015,0.055,0.077,0.034,0.099,,,,,,,,,
Adrian Kempe,F,9/13/1996,,,,,,,,,,,,0.024,0.049,0.027,0.061
Alain Nasreddine,D,7/10/1975,,,,,,,,,,,,,,,
Alan Quine,F,2/25/1993,,,,,,,,,,,,,,,
Alec Martinez,D,7/26/1987,,,,,,,,0.143,0.123,0.080,0.034,0.056,0.051,0.030,0.020
Alec Regula,D,8/6/2000,,,,,,,,,,,,,,,
Aleksander Barkov,F,9/2/1995,,,,,,,,0.004,0.020,0.053,0.001,0.013,0.028,0.014,0.006
Aleksi Heponiemi,F,1/9/1999,,,,,,,,,,,,,,,
Ales Hemsky,F,8/13/1983,,,,0.133,,,,,,,,,,,
Ales Kotalik,F,12/23/1978,,,,,,,,,,,,,,,
Alex Barre-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Belzile,F,8/31/1991,,,,,,,,,,,,,,,
Alex Biega,D,4/4/1988,,,,,,,,,0.127,,0.257,,0.117,,
Alex Chiasson,F,10/1/1990,,,,,,,0.001,0.047,0.034,0.039,0.018,0.043,,,
Alex DeBrincat,F,12/18/1997,,,,,,,,,,,,,,,0.038
