Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,,,,,,,,,,,,,,,
Aaron Ekblad,,,,,,,,0.06,0.02,0.02,0.03,0.05,0.03,0.02,0.03
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Johnson,,0.05,0.07,,0.12,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,0.03,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,,,,,,,,,,,
Aaron Rome,,,0.00,0.00,0.03,0.00,,,,,,,,,
Aaron Volpatti,,,,,,,,,,,,,,,
Aaron Voros,,,,,,,,,,,,,,,
Aaron Ward,0.07,0.11,0.12,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,,,
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,0.02,0.02,,0.01,0.01,0.02,,0.00,,,,,,,
Adam Clendening,,,,,,,,,,,,,,,
Adam Cracknell,,,,,,,,,0.03,0.03,,,,,
Adam Erne,,,,,,,,,,,,,,,
Adam Foote,0.07,0.08,0.12,0.09,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,,0.01,0.01
Adam Gaudette,,,,,,,,,,,,,,,
Adam Hall,0.01,0.03,,0.02,0.01,0.01,0.02,,,,,,,,
Adam Henrique,,,,,0.00,0.00,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.00,
Adam Johnson,,,,,,,,,,,,,,,
Adam Larsson,,,,,,0.02,,0.06,0.05,0.15,0.13,0.11,0.09,0.11,0.08
Adam Lowry,,,,,,,,0.06,0.07,0.06,0.10,0.05,0.06,0.10,0.07
Adam Mair,,,,,,,,,,,,,,,
Adam McQuaid,,,,0.05,0.05,,0.02,0.08,0.08,0.07,0.06,0.13,,,
Adam Pardy,,0.02,0.05,,,,0.03,0.06,0.11,,,,,,
Adam Pelech,,,,,,,,,,0.05,0.02,0.11,0.07,0.03,0.03
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Aucoin,0.05,0.03,0.07,0.10,0.06,0.13,,,,,,,,,
Adrian Kempe,,,,,,,,,,,,0.02,0.05,0.03,0.06
Alain Nasreddine,,,,,,,,,,,,,,,
Alan Quine,,,,,,,,,,,,,,,
Alec Martinez,,,,,,,,0.14,0.12,0.08,0.04,0.06,0.06,0.04,0.03
Alec Regula,,,,,,,,,,,,,,,
Aleksander Barkov,,,,,,,,0.00,0.02,0.05,0.00,0.01,0.03,0.01,0.01
Aleksi Heponiemi,,,,,,,,,,,,,,,
Ales Hemsky,,,,0.13,,,,,,,,,,,
Ales Kotalik,,,,,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,0.13,,0.26,,0.12,,
Alex Chiasson,,,,,,,0.00,0.05,0.03,0.04,0.02,0.04,,,
Alex DeBrincat,,,,,,,,,,,,,,,0.04
Alex Formenton,,,,,,,,,,,,,,0.05,0.01
Alex Foster,,,,,,,,,,,,,,,
Alex Frolov,,0.02,0.03,,,,,,,,,,,,
Alex Galchenyuk,,,,,,,,,,,,,,,
Alex Goligoski,,,0.03,0.06,0.01,0.04,0.05,0.05,0.05,0.06,0.08,0.05,0.04,0.04,0.02
Alex Grant,,,,,,,,,,,,,,,
Alex Henry,,,,,,,,,,,,,,,
Alex Iafallo,,,,,,,,,,,,0.03,0.00,0.02,0.02
Alex Khokhlachev,,,,,,,,,,,,,,,
