Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,,,,,,,,0.000,0.000,0.072,0.027,0.063,0.044,0.000,0.000
Aaron Johnson,,0.033,0.088,,0.185,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,0.098,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Rome,,,0.046,0.171,0.000,0.000,,,,,,,,,
Aaron Ward,0.050,0.040,0.024,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,,,
Adam Clendening,,,,,,,,,,,,,,,
Adam Foote,0.083,0.013,0.055,0.045,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,,0.000,0.012
Adam Larsson,,,,,,0.000,,0.010,0.000,0.055,0.000,0.012,0.122,0.000,0.039
Adam McQuaid,,,,0.061,0.027,,0.000,0.050,0.013,0.022,0.000,0.023,,,
Adam Pardy,,0.331,0.000,,,,0.000,0.060,0.000,,,,,,
Adam Pelech,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.011
Adrian Aucoin,0.030,0.025,0.027,0.027,0.000,0.000,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alec Martinez,,,,,,,,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000
Alec Regula,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,0.037,,0.000,,0.000,,
Alex Goligoski,,,0.000,0.018,0.000,0.000,0.010,0.008,0.010,0.020,0.000,0.000,0.000,0.000,0.024
Alex Grant,,,,,,,,,,,,,,,
Alex Henry,,,,,,,,,,,,,,,
Alex Petrovic,,,,,,,,,0.034,0.031,,0.000,,,
Alex Pietrangelo,,,,0.013,0.023,0.028,0.037,0.008,0.017,0.025,0.011,0.000,0.032,0.069,0.020
Alex Plante,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alexander Edler,0.076,0.015,0.000,0.000,0.021,0.022,0.043,0.010,0.030,0.011,0.000,0.000,0.011,0.022,0.000
Alexander Romanov,,,,,,,,,,,,,,0.000,0.010
Alexander Sulzer,,,,0.000,,,0.000,,,,,,,,
Alexander Urbom,,,,,,,0.000,,,,,,,,
Alexander Yelesin,,,,,,,,,,,,,,,
Alexandre Carrier,,,,,,,,,,,,,,0.000,0.018
Alexandre Picard,0.000,,0.000,,,,,,,,,,,,
Alexei Emelin,,,,,0.023,0.060,0.058,0.132,0.026,0.020,0.000,,,,
Alexei Semenov,,0.000,,,,,,,,,,,,,
Alexei Zhitnik,0.000,,,,,,,,,,,,,,
Alexey Marchenko,,,,,,,,,0.014,0.000,,,,,
Allan Rourke,,,,,,,,,,,,,,,
Anders Eriksson,0.000,,,,,,,,,,,,,,
Andre Benoit,,,,,,,0.044,0.000,,,,,,,
Andreas Borgman,,,,,,,,,,,,,,,
Andreas Englund,,,,,,,,,,,,,,,
Andreas Lilja,0.052,0.115,0.000,0.011,0.000,,,,,,,,,,
Andrei Markov,0.062,0.024,0.020,,,0.018,0.029,0.010,0.000,0.019,,,,,
Andrei Mironov,,,,,,,,,,,,,,,
Andrei Zyuzin,0.000,,,,,,,,,,,,,,
Andrej Meszaros,0.034,0.020,0.075,0.024,0.013,,0.264,0.038,,,,,,,
Andrej Sekera,0.000,0.000,,0.014,0.018,0.000,0.000,0.031,0.000,0.000,0.000,0.000,0.000,0.000,
Andrej Sustr,,,,,,,0.000,0.000,0.014,0.012,,,,,0.000
Andrew Alberts,0.023,0.020,0.140,0.030,0.000,0.619,,,,,,,,,
Andrew Bodnarchuk,,,,,,,,,,,,,,,
Andrew Campbell,,,,,,,,0.021,,,,,,,
Andrew Ference,0.055,0.017,0.020,0.000,0.064,0.019,0.029,0.000,,,,,,,
Andrew Hutchinson,,,,,,,,,,,,,,,
Andrew MacDonald,,,0.000,0.077,0.012,0.015,0.000,0.000,0.078,0.010,0.000,0.067,,,
Andrew MacWilliam,,,,,,,,0.000,,,,,,,
Andrew Peeke,,,,,,,,,,,,,,,0.008
Andrey Pedan,,,,,,,,,,,,,,,
Andrey Zubarev,,,,,,,,,,,,,,,
Andy Greene,0.000,,0.014,0.000,0.020,0.017,0.000,0.006,0.014,0.000,0.000,0.006,0.000,0.000,0.000
Andy Sutton,0.039,0.079,0.190,0.299,0.043,,,,,,,,,,
Andy Welinski,,,,,,,,,,,,,,,
Andy Wozniewski,0.051,,,,,,,,,,,,,,
Anssi Salmela,,,,,,,,,,,,,,,
Anthony Bitetto,,,,,,,,,,,,,0.018,,
Anthony DeAngelo,,,,,,,,,,,,,,,
Anton Babchuk,,0.019,,0.000,,,,,,,,,,,
Anton Belov,,,,,,,,,,,,,,,
Anton Lindholm,,,,,,,,,,,0.000,,,,
Anton Stralman,,,0.039,,0.187,0.000,0.000,0.010,0.013,0.010,0.018,0.000,0.012,0.000,0.000
Anton Volchenkov,0.042,0.008,0.009,0.033,0.009,0.000,0.010,0.000,,,,,,,
Artem Zub,,,,,,,,,,,,,,0.020,0.013
Artemi Kniazev,,,,,,,,,,,,,,,
Arturs Kulda,,,,,,,,,,,,,,,
Ashton Sautner,,,,,,,,,,,,,,,
Austin Strand,,,,,,,,,,,,,,,
Barret Jackman,0.030,0.006,0.044,0.059,0.014,0.047,0.087,0.022,0.032,,,,,,
Ben Chiarot,,,,,,,,0.000,0.222,0.034,0.053,0.000,0.010,0.036,0.009
Ben Harpur,,,,,,,,,,,0.028,0.000,,0.000,
Ben Hutton,,,,,,,,,0.000,0.000,0.000,0.025,0.000,0.000,0.000
Ben Lovejoy,,,,0.000,,,0.013,0.000,0.000,0.033,0.023,0.000,,,
Ben Thomas,,,,,,,,,,,,,,,
Blake Hillman,,,,,,,,,,,,,,,
Bobby Allen,,,,,,,,,,,,,,,
Bobby Sanguinetti,,,,,,0.000,,,,,,,,,
Bogdan Kiselevich,,,,,,,,,,,,,,,
Boris Valabik,,0.114,0.046,,,,,,,,,,,,
Bowen Byram,,,,,,,,,,,,,,,
Brad Hunt,,,,,,,,,,,,,,,
Brad Lukowich,0.015,0.000,,,,,,,,,,,,,
Brad Stuart,0.181,0.010,0.007,0.008,0.031,0.031,0.000,0.012,,,,,,,
Braden Schneider,,,,,,,,,,,,,,,
Brady Austin,,,,,,,,,,,,,,,
Brady Skjei,,,,,,,,,,,0.000,0.012,0.012,0.028,0.020
Brandon Carlo,,,,,,,,,,0.023,0.009,0.000,0.010,0.028,0.019
Brandon Davidson,,,,,,,,,0.015,0.000,0.000,,,,
Brandon Gormley,,,,,,,,0.000,,,,,,,
Brandon Manning,,,,,,,,,0.031,0.000,0.000,0.000,,,
Brandon Montour,,,,,,,,,,,0.041,0.029,0.000,0.045,0.000
Branislav Mezei,0.053,,,,,,,,,,,,,,
Brayden McNabb,,,,,0.000,,,0.000,0.057,,0.019,0.018,0.000,0.019,0.022
Braydon Coburn,0.012,0.019,0.029,0.049,0.022,0.017,0.018,0.000,0.000,0.037,0.013,0.000,0.000,0.041,
Brendan Bell,,,,,,,,,,,,,,,
Brendan Guhle,,,,,,,,,,,,,,,
Brendan Mikkelson,,,,0.000,,,,,,,,,,,
Brendan Smith,,,,,,0.092,0.000,0.000,0.056,0.042,0.000,0.040,0.032,0.000,0.041
Brendan Witt,0.016,0.068,0.064,,,,,,,,,,,,
Brenden Dillon,,,,,,0.048,0.099,0.083,0.026,0.031,0.017,0.000,0.027,0.020,0.000
Brennan Menell,,,,,,,,,,,,,,,
Brent Burns,0.055,0.015,0.041,0.074,0.041,,,0.025,0.023,0.000,0.065,0.012,0.000,0.000,0.009
Brent Regner,,,,,,,,,,,,,,,
Brent Seabrook,0.059,0.035,0.026,0.009,0.010,0.020,0.012,0.013,0.000,0.000,0.012,0.000,0.000,,
Brent Sopel,0.055,0.000,0.047,0.009,,,,,,,,,,,
Bret Hedican,0.029,0.000,,,,,,,,,,,,,
Brett Bellemore,,,,,,,0.015,0.000,,,,,,,
Brett Carson,,,0.000,,,,,,,,,,,,
Brett Clark,0.011,0.026,0.032,0.000,0.000,,,,,,,,,,
Brett Festerling,,0.021,,,,,,,,,,,,,
Brett Kulak,,,,,,,,,,,,,,,0.000
Brett Lebda,,,,,,,,,,,,,,,
Brett Lernout,,,,,,,,,,,,,,,
Brett Pesce,,,,,,,,,0.000,0.000,0.013,0.000,0.000,0.000,0.010
Brett Skinner,,,,,,,,,,,,,,,
Brian Campbell,0.000,,0.000,0.000,0.000,0.000,0.012,0.000,0.000,,,,,,
Brian Dumoulin,,,,,,,,,0.000,0.016,0.010,0.000,0.000,0.000,0.022
Brian Fahey,,,,,,,,,,,,,,,
Brian Lashoff,,,,,,0.028,0.011,,,,,,,,
Brian Lee,,0.074,,0.019,0.000,,,,,,,,,,
Brian Pothier,0.000,,0.000,,,,,,,,,,,,
Brian Rafalski,0.017,0.000,0.000,,,,,,,,,,,,
Brian Salcido,,,,,,,,,,,,,,,
Brian Strait,,,,,,0.000,0.000,0.022,0.025,,,,,,
Brogan Rafferty,,,,,,,,,,,,,,,
Brooks Orpik,0.059,0.046,0.066,0.025,0.086,0.081,0.000,0.009,0.022,0.011,0.008,0.000,,,
Bruno Gervais,0.047,0.010,0.000,0.000,0.000,0.000,,,,,,,,,
Bryan Allen,0.039,,0.035,0.012,0.019,0.000,0.000,,,,,,,,
Bryan Berard,,,,,,,,,,,,,,,
Bryan Helmer,,,,,,,,,,,,,,,
Bryan McCabe,0.056,0.107,0.043,0.031,,,,,,,,,,,
Bryan Rodney,,,,,,,,,,,,,,,
Bryan Young,,,,,,,,,,,,,,,
Bryce Salvador,0.000,0.030,0.013,,0.032,0.000,0.000,0.033,,,,,,,
Cade Fairchild,,,,,,,,,,,,,,,
Cal Foote,,,,,,,,,,,,,,,
Cale Fleury,,,,,,,,,,,,,0.000,,
Cale Makar,,,,,,,,,,,,,,0.049,0.000
Caleb Jones,,,,,,,,,,,,,,,
Calle Rosen,,,,,,,,,,,,,,,
Calvin de Haan,,,,,,,0.000,0.018,0.012,0.064,0.000,0.014,0.025,0.023,0.000
Cam Barker,0.000,0.317,0.623,0.000,,,,,,,,,,,
Cam Dineen,,,,,,,,,,,,,,,0.000
Cam Fowler,,,,0.000,0.000,,0.010,0.014,0.000,0.018,0.000,0.000,0.000,0.018,0.000
Cam York,,,,,,,,,,,,,,,
Cameron Gaunce,,,,,,,,,,,,,,,
Cameron Schilling,,,,,,,,,,,,,,,
Carl Dahlstrom,,,,,,,,,,,,0.028,,,
Carl Gunnarsson,,,0.000,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.025,0.000,0.000,0.000,
Carl Sneep,,,,,,,,,,,,,,,
Carlo Colaiacovo,0.031,0.066,,,,,,,,,,,,,
Carson Soucy,,,,,,,,,,,,,0.031,0.082,0.061
Casey Borer,,,,,,,,,,,,,,,
Casey Fitzgerald,,,,,,,,,,,,,,,0.000
Casey Nelson,,,,,,,,,,,0.000,0.000,,,
Chad Ruhwedel,,,,,,,,,,0.000,,,0.000,,0.000
Charlie McAvoy,,,,,,,,,,,0.039,0.000,0.000,0.033,0.000
Chase Priskie,,,,,,,,,,,,,,,
Chay Genoway,,,,,,,,,,,,,,,
Chris Bigras,,,,,,,,,,,,,,,
Chris Breen,,,,,,,,,,,,,,,
Chris Butler,,0.000,0.082,0.156,0.079,0.000,0.000,,,,,,,,
Chris Campoli,0.000,0.044,0.000,0.016,,,,,,,,,,,
Chris Chelios,0.029,0.000,,,,,,,,,,,,,
Chris Phillips,0.022,0.046,0.013,0.014,0.000,0.080,0.009,0.000,,,,,,,
Chris Pronger,0.104,0.043,0.055,0.026,0.000,,,,,,,,,,
Chris Summers,,,,,,,0.000,,,,,,,,
Chris Wideman,,,,,,,,,,,,,,,
Christian Backman,0.028,0.064,,,,,,,,,,,,,
Christian Djoos,,,,,,,,,,,,,,,
Christian Ehrhoff,0.079,0.044,0.012,0.012,0.023,0.000,0.000,0.000,,,,,,,
Christian Folin,,,,,,,,,0.000,0.000,0.029,0.044,,,
Christian Jaros,,,,,,,,,,,,0.000,,,
Christian Wolanin,,,,,,,,,,,,,,,
Christoph Schubert,0.079,0.000,0.095,,,,,,,,,,,,
Christopher Tanev,,,,,,0.064,0.000,0.021,0.010,0.000,0.000,0.000,0.000,0.000,0.008
Clay Wilson,,,,,,,,,,,,,,,
Clayton Stoner,,,,0.017,0.000,0.053,0.000,0.016,0.000,0.065,,,,,
Cody Ceci,,,,,,,0.000,0.000,0.000,0.000,0.000,0.022,0.025,0.000,0.010
Cody Franson,,,,,,0.047,0.000,0.000,0.090,0.000,,,,,
Cody Goloubef,,,,,,,,0.000,0.000,0.000,,,0.000,,
Colby Cohen,,,,,,,,,,,,,,,
Colby Robak,,,,,,,0.000,,,,,,,,
Colin Miller,,,,,,,,,,,0.025,0.000,,0.000,0.000
Colin White,0.043,0.009,0.073,0.010,0.000,,,,,,,,,,
Colten Teubert,,,,,,,,,,,,,,,
Colton Parayko,,,,,,,,,0.000,0.023,0.000,0.044,0.000,0.029,0.000
Colton White,,,,,,,,,,,,,,,
Connor Carrick,,,,,,,0.092,,,,,,,,
Connor Clifton,,,,,,,,,,,,,,0.000,0.000
Connor Mackey,,,,,,,,,,,,,,,
Connor Murphy,,,,,,,0.000,0.000,0.012,0.000,0.000,0.037,0.000,0.015,0.013
Conor Allen,,,,,,,,,,,,,,,
Conor Timmins,,,,,,,,,,,,,,,
Corey Potter,,,,,0.037,0.036,,,,,,,,,
Corey Schueneman,,,,,,,,,,,,,,,
Cory Murphy,,,,,,,,,,,,,,,
Cory Sarich,0.115,0.143,0.176,0.014,0.036,,0.000,,,,,,,,
Craig Rivet,0.057,0.050,0.098,0.086,,,,,,,,,,,
Dakota Mermis,,,,,,,,,,,,,,,
Dalton Prout,,,,,,,0.000,0.027,0.086,,,,,,
Damon Severson,,,,,,,,0.037,,,,0.016,0.041,0.000,0.029
Dan Boyle,0.173,0.062,0.071,0.012,0.016,0.039,,0.071,0.000,,,,,,
Dan Girardi,0.000,0.044,0.021,0.000,0.007,0.043,0.026,0.009,0.010,0.000,0.031,0.000,,,
Dan Hamhuis,0.025,0.039,0.010,0.039,0.058,0.014,0.008,0.000,0.026,0.000,0.019,0.000,0.014,,
Dan Jancevski,,,,,,,,,,,,,,,
Dan Renouf,,,,,,,,,,,,,,,
Daniel Brickley,,,,,,,,,,,,,,,
Daniel Tjarnqvist,,0.000,,,,,,,,,,,,,
Daniil Miromanov,,,,,,,,,,,,,,,
Danny Biega,,,,,,,,,,,,,,,
Danny DeKeyser,,,,,,,0.000,0.054,0.000,0.009,0.000,0.015,,0.025,0.000
Danny Richmond,,,,,,,,,,,,,,,
Danny Syvret,,,,,,,,,,,,,,,
Dante Fabbro,,,,,,,,,,,,,0.000,0.000,0.030
Darnell Nurse,,,,,,,,,0.050,0.038,0.033,0.164,0.034,0.000,0.010
Darren Dietz,,,,,,,,,,,,,,,
Darren Raddysh,,,,,,,,,,,,,,,
Darryl Sydor,0.000,0.015,0.000,,,,,,,,,,,,
David Farrance,,,,,,,,,,,,,,,
David Hale,0.000,0.000,0.000,0.000,,,,,,,,,,,
David Musil,,,,,,,,,,,,,,,
David Rundblad,,,,,,,,,,,,,,,
David Savard,,,,,,,0.042,0.017,0.075,0.011,0.000,0.014,0.000,0.019,0.012
David Schlemko,,,,,0.022,0.000,0.000,0.000,0.000,,0.000,0.000,,,
David Tanabe,,,,,,,,,,,,,,,
David Warsofsky,,,,,,,,,,,,,,,
Davis Drewiske,,0.000,0.000,0.000,,0.024,,,,,,,,,
Dean Kukan,,,,,,,,,,,,,,,
Declan Chisholm,,,,,,,,,,,,,,,
Denis Gauthier,,0.190,,,,,,,,,,,,,
Denis Grebeshkov,0.000,0.013,0.021,,,,,,,,,,,,
Dennis Cholowski,,,,,,,,,,,,,,,
Dennis Gilbert,,,,,,,,,,,,,,,
Dennis Seidenberg,0.045,0.000,0.010,0.011,0.048,0.014,0.000,0.010,0.000,0.000,0.000,,,,
Dennis Wideman,0.058,0.018,0.034,0.011,0.000,0.020,0.000,0.055,0.025,0.016,,,,,
Derek Forbort,,,,,,,,,,0.011,0.010,0.054,,0.000,0.009
Derek Joslin,,,,0.000,,,,,,,,,,,
Derek Meech,,,,,,,,,,,,,,,
Derek Morris,0.140,0.013,0.033,0.061,0.039,0.044,0.036,,,,,,,,
Derek Peltier,,,,,,,,,,,,,,,
Derek Smith,,,,,,,,,,,,,,,
Derian Hatcher,0.011,,,,,,,,,,,,,,
Derrick Pouliot,,,,,,,,,,,,,,,
Deryk Engelland,,,,0.000,0.026,0.000,0.000,0.000,0.058,0.054,0.009,0.000,0.024,,
Devon Toews,,,,,,,,,,,,,,0.000,0.000
Dick Tarnstrom,0.049,,,,,,,,,,,,,,
Dillon Heatherington,,,,,,,,,,,,,,,
Dion Phaneuf,0.169,0.027,0.040,0.123,0.137,0.027,0.106,0.010,0.031,0.045,0.042,0.141,,,
Dmitri Kalinin,0.036,0.064,,,,,,,,,,,,,
Dmitry Korobov,,,,,,,,,,,,,,,
Dmitry Kulikov,,,,0.000,0.000,0.000,0.014,0.011,0.011,0.000,0.000,0.000,0.029,0.000,0.000
Dmitry Orlov,,,,,0.000,,,,,,0.012,0.000,0.000,0.000,0.035
Doug Janik,,,,,,,,,,,,,,,
Dougie Hamilton,,,,,,,0.000,0.000,0.101,0.027,0.000,,0.018,0.000,0.066
Douglas Murray,0.034,0.014,0.039,0.000,0.018,0.017,0.066,,,,,,,,
Drew Bagnall,,,,,,,,,,,,,,,
Drew Doughty,,0.033,0.000,0.013,0.011,0.078,0.030,0.009,0.025,0.010,0.036,0.000,0.000,0.017,0.000
Drew Fata,,,,,,,,,,,,,,,
Duncan Keith,0.005,0.052,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.024,0.012,0.000,0.000
Duncan Siemens,,,,,,,,,,,0.000,,,,
Dustin Byfuglien,,,,,,,0.000,0.024,0.048,0.043,0.136,0.052,,,
Duvie Westcott,,,,,,,,,,,,,,,
Dylan Coghlan,,,,,,,,,,,,,,,
Dylan DeMelo,,,,,,,,,,,,0.000,0.015,0.030,0.010
Dylan McIlrath,,,,,,,,,0.000,,,,0.000,,
Dylan Olsen,,,,,,,0.000,0.026,,,,,,,
Dylan Reese,,,,0.000,,,,,,,,,,,
Dylan Samberg,,,,,,,,,,,,,,,
Dysin Mayo,,,,,,,,,,,,,,,0.000
Ed Jovanovski,0.000,0.478,0.072,0.085,0.039,,0.000,,,,,,,,
Egor Yakovlev,,,,,,,,,,,,,,,
Egor Zamula,,,,,,,,,,,,,,,
Eric Brewer,0.081,0.000,0.032,0.117,0.023,0.021,0.011,0.063,,,,,,,
Eric Gelinas,,,,,,,,,,,,,,,
Eric Gryba,,,,,,0.026,0.058,0.140,0.016,0.038,0.000,,,,
Erik Brannstrom,,,,,,,,,,,,,,,0.048
Erik Burgdoerfer,,,,,,,,,,,,,,,
Erik Cernak,,,,,,,,,,,,0.000,0.020,0.032,0.013
Erik Gudbranson,,,,,,0.268,0.221,0.024,0.019,0.000,0.000,0.077,0.019,0.039,0.058
Erik Gustafsson,,,,,,0.000,,,,,,,,,
Erik Johnson,,,0.031,0.042,0.000,0.027,0.148,0.128,0.009,0.000,0.017,0.000,0.000,,0.010
Erik Karlsson,,,,0.018,0.000,0.000,0.016,0.000,0.000,0.000,0.039,0.000,0.000,0.000,0.000
Erik Reitz,,,,,,,,,,,,,,,
Esa Lindell,,,,,,,,,,0.013,0.026,0.015,0.008,0.000,0.000
Ethan Bear,,,,,,,,,,,,,0.015,0.000,0.000
Ethan Prow,,,,,,,,,,,,,,,
Evan Bouchard,,,,,,,,,,,,,,,0.000
Evan Oberg,,,,,,,,,,,,,,,
Evgeny Medvedev,,,,,,,,,0.053,,,,,,
Fedor Tyutin,0.010,0.037,0.009,0.000,0.000,0.016,0.021,0.021,0.016,0.036,,,,,
Filip Hronek,,,,,,,,,,,,0.000,0.000,0.018,0.032
Filip Kuba,0.017,0.000,0.000,0.013,0.000,0.000,,,,,,,,,
Francis Bouillon,0.045,0.045,0.000,0.032,0.076,0.000,,,,,,,,,
Francois Beauchemin,0.031,0.020,0.000,0.035,0.012,0.013,0.026,0.084,0.014,0.016,0.000,,,,
Frank Corrado,,,,,,,,,,,,,,,
Frantisek Kaberle,0.000,,,,,,,,,,,,,,
Freddy Meyer,0.015,0.021,0.034,,,,,,,,,,,,
Frédéric St-Denis,,,,,,,,,,,,,,,
Fredrik Claesson,,,,,,,,,,,0.000,0.034,,,
Gabriel Carlsson,,,,,,,,,,,,,,,
Garnet Exelby,0.064,0.122,0.084,,,,,,,,,,,,
