Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,,,,,,,,,,,,,,,
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,,,,,,,,,,,
Aaron Volpatti,,,,,,,,,,,,,,,
Aaron Voros,,,,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,0.165,0.226,,0.408,0.042,0.034,,0.000,,,,,,,
Adam Cracknell,,,,,,,,,0.061,0.056,,,,,
Adam Erne,,,,,,,,,,,,,,,
Adam Gaudette,,,,,,,,,,,,,,,
Adam Hall,0.013,0.021,,0.009,0.012,0.055,0.008,,,,,,,,
Adam Henrique,,,,,0.015,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.093,0.000,
Adam Johnson,,,,,,,,,,,,,,,
Adam Lowry,,,,,,,,0.000,0.000,0.011,0.022,0.000,0.000,0.000,0.000
Adam Mair,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Kempe,,,,,,,,,,,,0.000,0.064,0.000,0.017
Alan Quine,,,,,,,,,,,,,,,
Aleksander Barkov,,,,,,,,0.000,0.017,0.000,0.000,0.000,0.000,0.000,0.000
Aleksi Heponiemi,,,,,,,,,,,,,,,
Ales Hemsky,,,,0.054,,,,,,,,,,,
Ales Kotalik,,,,,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Chiasson,,,,,,,0.000,0.031,0.000,0.026,0.000,0.000,,,
Alex DeBrincat,,,,,,,,,,,,,,,0.000
Alex Formenton,,,,,,,,,,,,,,0.000,0.000
Alex Foster,,,,,,,,,,,,,,,
Alex Frolov,,0.011,0.018,,,,,,,,,,,,
Alex Galchenyuk,,,,,,,,,,,,,,,
Alex Iafallo,,,,,,,,,,,,0.000,0.020,0.000,0.015
Alex Khokhlachev,,,,,,,,,,,,,,,
Alex Killorn,,,,,,0.000,,0.034,0.000,0.000,0.014,0.038,0.013,0.071,0.014
Alex Kovalev,0.000,0.066,,,,,,,,,,,,,
Alex Newhook,,,,,,,,,,,,,,,
Alex Nylander,,,,,,,,,,,,,,,
Alex Ovechkin,,0.082,,,,,,,,,,,,,
Alex Tanguay,0.015,,,0.000,0.023,0.039,,0.017,0.000,,,,,,
Alex Tuch,,,,,,,,,,,,,,0.000,0.028
Alex Turcotte,,,,,,,,,,,,,,,
Alex Wennberg,,,,,,,,,,,,,,0.014,0.000
Alexander Barabanov,,,,,,,,,,,,,,,
Alexander Burmistrov,,,,0.046,0.044,0.030,,,0.012,0.000,,,,,
Alexander Chmelevski,,,,,,,,,,,,,,,
Alexander Holtz,,,,,,,,,,,,,,,
Alexander Kerfoot,,,,,,,,,,,,,,0.000,0.014
Alexander Radulov,,,,,,,,,,,,,,,
Alexander Semin,,0.085,0.112,0.232,,0.056,0.057,,,,,,,,
Alexander Steen,0.018,0.000,0.026,0.000,0.000,0.000,0.015,0.015,0.017,0.000,0.000,0.000,0.000,,
Alexander True,,,,,,,,,,,,,,,
Alexander Vasyunov,,,,,,,,,,,,,,,
Alexander Volkov,,,,,,,,,,,,,,,
Alexander Wennberg,,,,,,,,0.016,0.000,0.000,0.000,0.000,0.023,,
Alexandre Bolduc,,,,,,,,,,,,,,,
Alexandre Burrows,0.130,0.156,0.093,0.098,0.133,0.042,0.000,0.070,0.066,0.000,0.036,,,,
Alexandre Fortin,,,,,,,,,,,,,,,
Alexandre Giroux,,,,,,,,,,,,,,,
