Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,,,,,,,,0.085,0.017,0.054,0.027,0.063,0.044,0.023,0.030
Aaron Johnson,,0.000,0.022,,0.000,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,0.007,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Rome,,,0.000,0.000,0.032,0.024,,,,,,,,,
Aaron Ward,0.012,0.013,0.012,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,,,
Adam Clendening,,,,,,,,,,,,,,,
Adam Foote,0.021,0.013,0.000,0.007,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,,0.042,0.024
Adam Larsson,,,,,,0.000,,0.005,0.007,0.024,0.039,0.012,0.012,0.015,0.029
Adam McQuaid,,,,0.000,0.000,,0.000,0.017,0.000,0.011,0.000,0.000,,,
Adam Pardy,,0.000,0.000,,,,0.016,0.007,0.018,,,,,,
Adam Pelech,,,,,,,,,,0.023,0.006,0.024,0.047,0.033,0.017
Adrian Aucoin,0.023,0.013,0.004,0.013,0.015,0.018,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alec Martinez,,,,,,,,0.000,0.011,0.005,0.055,0.035,0.058,0.024,0.064
Alec Regula,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,0.000,,0.029,,0.073,,
Alex Goligoski,,,0.000,0.036,0.022,0.000,0.020,0.013,0.021,0.010,0.027,0.017,0.018,0.018,0.048
Alex Grant,,,,,,,,,,,,,,,
Alex Henry,,,,,,,,,,,,,,,
Alex Petrovic,,,,,,,,,0.000,0.031,,0.066,,,
Alex Pietrangelo,,,,0.032,0.023,0.014,0.022,0.016,0.026,0.037,0.082,0.068,0.039,0.034,0.056
Alex Plante,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alexander Edler,0.023,0.030,0.036,0.026,0.021,0.011,0.029,0.026,0.007,0.011,0.032,0.048,0.054,0.061,0.039
Alexander Romanov,,,,,,,,,,,,,,0.021,0.015
Alexander Sulzer,,,,0.020,,,0.022,,,,,,,,
Alexander Urbom,,,,,,,0.026,,,,,,,,
Alexander Yelesin,,,,,,,,,,,,,,,
Alexandre Carrier,,,,,,,,,,,,,,0.000,0.018
Alexandre Picard,0.000,,0.011,,,,,,,,,,,,
Alexei Emelin,,,,,0.057,0.000,0.010,0.019,0.013,0.000,0.016,,,,
Alexei Semenov,,0.000,,,,,,,,,,,,,
Alexei Zhitnik,0.000,,,,,,,,,,,,,,
Alexey Marchenko,,,,,,,,,0.000,0.014,,,,,
Allan Rourke,,,,,,,,,,,,,,,
Anders Eriksson,0.007,,,,,,,,,,,,,,
Andre Benoit,,,,,,,0.007,0.027,,,,,,,
Andreas Borgman,,,,,,,,,,,,,,,
Andreas Englund,,,,,,,,,,,,,,,
Andreas Lilja,0.009,0.005,0.027,0.005,0.024,,,,,,,,,,
Andrei Markov,0.023,0.016,0.039,,,0.009,0.015,0.005,0.031,0.000,,,,,
Andrei Mironov,,,,,,,,,,,,,,,
Andrei Zyuzin,0.042,,,,,,,,,,,,,,
Andrej Meszaros,0.034,0.015,0.025,0.030,0.040,,0.000,0.000,,,,,,,
Andrej Sekera,0.015,0.012,,0.000,0.018,0.000,0.015,0.016,0.008,0.043,0.000,0.000,0.032,0.033,
Andrej Sustr,,,,,,,0.000,0.000,0.000,0.006,,,,,0.000
Andrew Alberts,0.011,0.005,0.000,0.000,0.000,0.000,,,,,,,,,
Andrew Bodnarchuk,,,,,,,,,,,,,,,
