Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,,,,,,,,,,,,,,,
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,,,,,,,,,,,
Aaron Volpatti,,,,,,,,,,,,,,,
Aaron Voros,,,,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,0.026,0.048,,0.048,0.032,0.034,,0.066,,,,,,,
Adam Cracknell,,,,,,,,,0.030,0.083,,,,,
Adam Erne,,,,,,,,,,,,,,,
Adam Gaudette,,,,,,,,,,,,,,,
Adam Hall,0.020,0.026,,0.039,0.025,0.055,0.046,,,,,,,,
Adam Henrique,,,,,0.128,0.067,0.083,0.022,0.047,0.038,0.117,0.044,0.093,0.049,
Adam Johnson,,,,,,,,,,,,,,,
Adam Lowry,,,,,,,,0.098,0.026,0.027,0.076,0.056,0.046,0.055,0.076
Adam Mair,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Kempe,,,,,,,,,,,,0.090,0.080,0.013,0.113
Alan Quine,,,,,,,,,,,,,,,
Aleksander Barkov,,,,,,,,0.031,0.059,0.013,0.108,0.053,0.069,0.083,0.077
Aleksi Heponiemi,,,,,,,,,,,,,,,
Ales Hemsky,,,,0.080,,,,,,,,,,,
Ales Kotalik,,,,,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Chiasson,,,,,,,0.045,0.031,0.017,0.026,0.089,0.045,,,
Alex DeBrincat,,,,,,,,,,,,,,,0.150
Alex Formenton,,,,,,,,,,,,,,0.178,0.141
Alex Foster,,,,,,,,,,,,,,,
Alex Frolov,,0.128,0.053,,,,,,,,,,,,
Alex Galchenyuk,,,,,,,,,,,,,,,
Alex Iafallo,,,,,,,,,,,,0.061,0.030,0.009,0.108
Alex Khokhlachev,,,,,,,,,,,,,,,
Alex Killorn,,,,,,0.046,,0.068,0.000,0.069,0.007,0.056,0.040,0.071,0.069
Alex Kovalev,0.036,0.057,,,,,,,,,,,,,
Alex Newhook,,,,,,,,,,,,,,,
Alex Nylander,,,,,,,,,,,,,,,
Alex Ovechkin,,0.096,,,,,,,,,,,,,
Alex Tanguay,0.038,,,0.030,0.035,0.019,,0.052,0.000,,,,,,
Alex Tuch,,,,,,,,,,,,,,0.122,0.097
Alex Turcotte,,,,,,,,,,,,,,,
Alex Wennberg,,,,,,,,,,,,,,0.049,0.016
Alexander Barabanov,,,,,,,,,,,,,,,
Alexander Burmistrov,,,,0.058,0.073,0.015,,,0.049,0.023,,,,,
Alexander Chmelevski,,,,,,,,,,,,,,,
Alexander Holtz,,,,,,,,,,,,,,,
Alexander Kerfoot,,,,,,,,,,,,,,0.047,0.071
Alexander Radulov,,,,,,,,,,,,,,,
Alexander Semin,,0.095,0.195,0.133,,0.141,0.057,,,,,,,,
Alexander Steen,0.049,0.035,0.131,0.072,0.041,0.031,0.062,0.070,0.084,0.000,0.053,0.047,0.047,,
Alexander True,,,,,,,,,,,,,,,
Alexander Vasyunov,,,,,,,,,,,,,,,
Alexander Volkov,,,,,,,,,,,,,,,
Alexander Wennberg,,,,,,,,0.049,0.042,0.020,0.030,0.042,0.012,,
Alexandre Bolduc,,,,,,,,,,,,,,,
Alexandre Burrows,0.045,0.070,0.072,0.061,0.060,0.053,0.044,0.070,0.051,0.056,0.142,,,,
Alexandre Fortin,,,,,,,,,,,,,,,
Alexandre Giroux,,,,,,,,,,,,,,,
