Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,D,2/7/1996,,,,,,,,3.28,3.14,2.96,2.20,1.71,1.47,3.88,3.59
Aaron Johnson,D,4/30/1983,,0.41,1.08,,1.22,,,,,,,,,,
Aaron Miller,D,8/11/1971,2.16,,,,,,,,,,,,,,
Aaron Ness,D,5/18/1990,,,,,,,,,,,,,,,
Aaron Rome,D,9/27/1983,,,0.56,0.65,0.90,,,,,,,,,,
Aaron Ward,D,1/17/1973,3.20,1.95,2.16,,,,,,,,,,,,
Adam Almquist,D,2/27/1991,,,,,,,,,,,,,,,
Adam Boqvist,D,8/15/2000,,,,,,,,,,,,,2.47,3.53,2.00
Adam Clendening,D,10/26/1992,,,,,,,,,,1.49,,,,,
Adam Foote,D,7/10/1971,2.41,2.32,2.66,2.90,,,,,,,,,,,
Adam Fox,D,2/17/1998,,,,,,,,,,,,,2.02,3.63,2.95
Adam Larsson,D,11/12/1992,,,,,1.97,0.35,,0.34,0.17,0.19,0.16,0.22,0.32,0.39,0.61
Adam McQuaid,D,10/12/1986,,,,0.10,0.12,0.16,,0.43,0.54,0.70,0.85,1.03,,,
Adam Pardy,D,3/29/1984,,0.34,0.36,,0.34,,0.53,0.76,,,,,,,
Adam Pelech,D,8/16/1994,,,,,,,,,,0.05,0.32,0.16,0.12,0.29,0.44
Adrian Aucoin,D,7/3/1973,5.79,5.90,5.11,3.04,2.99,2.74,,,,,,,,,
Alain Nasreddine,D,7/10/1975,,,,,,,,,,,,,,,
Alec Martinez,D,7/26/1987,,,,1.76,1.80,,2.14,2.19,2.33,2.65,2.61,2.05,2.41,2.68,
Alec Regula,D,8/6/2000,,,,,,,,,,,,,,,
Alex Biega,D,4/4/1988,,,,,,,,,0.47,0.58,0.55,0.74,0.91,,
Alex Goligoski,D,7/30/1985,,4.00,3.80,4.10,3.27,3.14,3.70,2.60,2.61,3.01,2.98,3.09,3.38,2.64,3.11
Alex Grant,D,1/20/1989,,,,,,,,,,,,,,,
Alex Petrovic,D,3/3/1992,,,,,,,,0.20,0.17,0.14,0.10,0.25,,,
Alex Pietrangelo,D,1/18/1990,,,,3.17,2.95,2.87,2.82,2.45,2.37,2.59,3.27,3.12,3.64,3.31,3.03
Alex Plante,D,5/9/1989,,,,,,,,,,,,,,,
Alex Vlasic,D,6/5/2001,,,,,,,,,,,,,,,
Alexander Edler,D,4/21/1986,3.39,3.45,3.06,3.82,3.52,3.72,3.10,3.29,3.74,2.72,3.69,4.17,2.40,1.73,2.00
Alexander Romanov,D,1/6/2000,,,,,,,,,,,,,,0.92,0.18
Alexander Sulzer,D,5/30/1984,,,,1.25,,,,,,,,,,,
Alexander Urbom,D,12/20/1990,,,,,,,,,,,,,,,
Alexandre Carrier,D,10/8/1996,,,,,,,,,,,,,,,1.07
Alexandre Picard,D,7/5/1985,,3.42,1.60,1.10,,,,,,,,,,,
Alexei Emelin,D,4/25/1986,,,,,0.25,0.29,0.85,0.45,0.81,0.72,0.86,,,,
Alexei Semenov,D,4/10/1981,,0.40,,,,,,,,,,,,,
Alexei Zhitnik,D,10/10/1972,2.58,,,,,,,,,,,,,,
Alexey Marchenko,D,1/2/1992,,,,,,,,,0.03,0.09,,,,,
Allan Rourke,D,3/6/1980,,,,,,,,,,,,,,,
Anders Eriksson,D,1/9/1975,3.08,,,,,,,,,,,,,,
Andre Benoit,D,1/6/1984,,,,,,1.98,2.95,1.89,,,,,,,
Andreas Borgman,D,6/18/1995,,,,,,,,,,0.09,0.04,,,,
Andreas Englund,D,1/21/1996,,,,,,,,,,,,,,,
Andreas Lilja,D,7/13/1975,1.16,1.26,,1.69,1.93,,,,,,,,,,
Andrei Markov,D,12/20/1978,5.70,5.82,4.26,,,6.19,6.05,5.15,5.58,5.05,,,,,
Andrei Zyuzin,D,1/21/1978,2.42,,,,,,,,,,,,,,
Andrej Meszaros,D,10/13/1985,2.74,2.59,2.10,2.49,1.58,,1.41,2.01,,,,,,,
Andrej Sekera,D,6/8/1986,1.22,1.59,1.56,2.12,0.96,1.23,2.92,2.20,2.84,2.85,1.80,,1.30,1.49,1.67
Andrej Sustr,D,11/29/1990,,,,,,,0.11,0.13,0.13,0.21,0.27,,,,0.84
Andrew Alberts,D,6/30/1981,0.43,0.37,0.47,0.60,0.72,,,,,,,,,,
Andrew Bodnarchuk,D,7/11/1988,,,,,,,,,0.31,,,,,,
Andrew Campbell,D,2/4/1988,,,,,,,,0.15,,,,,,,
Andrew Ference,D,3/17/1979,2.50,2.77,1.50,1.19,1.66,1.38,1.81,1.75,,,,,,,
Andrew Hutchinson,D,3/24/1980,,1.04,,,,,,,,,,,,,
Andrew MacDonald,D,9/7/1986,,,1.71,3.09,1.43,1.68,3.14,1.77,,0.76,0.99,1.08,,,
Andrew MacWilliam,D,3/25/1990,,,,,,,,,,,,,,,
Andrew Peeke,D,3/17/1998,,,,,,,,,,,,,,,0.08
Andrey Pedan,D,7/3/1993,,,,,,,,,,,,,,,
Andrey Zubarev,D,3/3/1987,,,,,,,,,,,,,,,
Andy Greene,D,10/30/1982,2.10,1.88,2.86,1.66,0.95,2.65,3.22,1.56,1.57,2.64,1.74,2.01,2.23,2.62,2.77
Andy Sutton,D,3/10/1975,1.89,,1.68,1.75,1.93,,,,,,,,,,
Andy Welinski,D,4/27/1993,,,,,,,,,,,,,,,
Andy Wozniewski,D,5/25/1980,0.47,,,,,,,,,,,,,,
Anssi Salmela,D,8/13/1984,,,0.43,0.49,,,,,,,,,,,
Anthony Bitetto,D,7/15/1990,,,,,,,,,,,0.30,0.41,0.57,,
Anthony DeAngelo,D,10/24/1995,,,,,,,,,,2.51,,,,,
Anton Babchuk,D,5/6/1984,,2.36,,2.70,2.75,,,,,,,,,,
Anton Belov,D,7/29/1986,,,,,,,1.56,,,,,,,,
Anton Lindholm,D,11/29/1994,,,,,,,,,,,0.02,,,,
Anton Stralman,D,8/1/1986,1.53,2.69,3.60,2.98,1.28,1.22,0.55,2.86,3.39,2.33,1.23,1.11,1.38,2.17,1.81
Anton Volchenkov,D,2/25/1982,0.19,0.27,0.35,0.38,0.54,0.72,0.89,1.04,,,,,,,
Artem Zub,D,10/3/1995,,,,,,,,,,,,,,0.15,0.42
Arturs Kulda,D,7/25/1988,,,,,,,,,,,,,,,
Ashton Sautner,D,5/27/1994,,,,,,,,,,,,,,,
Austin Strand,D,2/17/1997,,,,,,,,,,,,,,,
Barret Jackman,D,3/5/1981,1.75,0.79,0.58,0.55,0.72,0.86,1.05,1.23,1.45,,,,,,
Ben Chiarot,D,5/9/1991,,,,,,,,0.05,0.07,0.10,0.20,0.28,0.64,0.78,1.66
Ben Gleason,D,3/25/1998,,,,,,,,,,,,,,,
Ben Harpur,D,1/12/1995,,,,,,,,,,,0.03,0.03,,0.09,
Ben Hutton,D,4/20/1993,,,,,,,,,2.29,2.06,1.03,1.91,0.29,0.29,0.39
Ben Lovejoy,D,2/20/1984,,,,0.24,0.28,0.90,0.71,0.86,0.91,1.12,1.26,1.48,,,
Ben Thomas,D,5/28/1996,,,,,,,,,,,,,,,
Blake Hillman,D,1/26/1996,,,,,,,,,,,,,,,
Bobby Allen,D,11/14/1978,,,,,,,,,,,,,,,
Bobby Sanguinetti,D,2/29/1988,,,,,,0.64,,,,,,,,,
Bogdan Kiselevich,D,2/14/1990,,,,,,,,,,0.16,,0.38,,,
Boris Valabik,D,2/14/1986,,0.06,,,,,,,,,,,,,
Bowen Byram,D,6/13/2001,,,,,,,,,,,,,,,
Brad Hunt,D,8/24/1988,,,,,,,,,,,2.90,3.07,3.10,,2.31
Brad Lukowich,D,8/12/1976,0.98,1.15,,,,,,,,,,,,,
Brad Stuart,D,11/6/1979,3.37,0.83,1.78,1.42,1.32,1.36,1.54,1.99,,,,,,,
Braden Schneider,D,9/20/2001,,,,,,,,,,,,,,,0.25
Brady Keeper,D,6/5/1996,,,,,,,,,,,,,,,
Brady Skjei,D,3/26/1994,,,,,,,,,,1.41,1.21,0.26,0.22,0.22,0.37
Brandon Carlo,D,11/26/1996,,,,,,,,,,0.28,0.13,0.07,0.14,,0.13
Brandon Davidson,D,8/21/1991,,,,,,,,,0.46,0.11,0.20,,,,
Brandon Gormley,D,2/18/1992,,,,,,,,,,,,,,,
Brandon Manning,D,6/4/1990,,,,,,,,,0.40,0.33,0.52,0.41,,,
Brandon Montour,D,4/11/1994,,,,,,,,,,,2.24,1.85,0.71,0.67,1.63
Branislav Mezei,D,10/8/1980,0.28,,,,,,,,,,,,,,
Brayden McNabb,D,1/21/1991,,,,,,,,1.08,0.31,0.14,0.23,0.29,0.43,0.52,0.70
Braydon Coburn,D,2/27/1985,2.54,2.76,1.84,0.46,0.51,0.66,0.61,0.63,0.71,0.89,1.03,1.25,1.49,,
Brendan Bell,D,3/31/1983,,3.14,,,,,,,,,,,,,
Brendan Guhle,D,7/29/1997,,,,,,,,,,,,,,,
Brendan Mikkelson,D,6/22/1987,,0.20,,,1.37,,,,,,,,,,
Brendan Smith,D,2/8/1989,,,,,,1.17,0.19,0.30,0.75,1.14,0.42,0.54,0.72,1.04,1.03
Brendan Witt,D,2/20/1975,1.18,1.52,1.48,,,,,,,,,,,,
Brenden Dillon,D,11/13/1990,,,,,,0.42,0.14,0.14,0.18,0.23,0.28,0.42,0.54,0.69,0.89
Brennan Menell,D,5/24/1997,,,,,,,,,,,,,,,
Brent Burns,D,3/9/1985,3.19,3.22,3.17,3.11,2.89,,2.57,3.91,4.77,4.42,4.69,4.52,4.19,4.28,4.59
Brent Regner,D,5/17/1989,,,,,,,,,,,,,,,
Brent Seabrook,D,4/20/1985,2.27,2.36,1.67,2.75,2.42,2.59,2.35,2.93,3.53,3.53,3.13,2.85,2.17,,
Brent Sopel,D,1/7/1977,1.74,,1.16,1.44,,,,,,,,,,,
Bret Hedican,D,8/10/1970,2.79,3.26,,,,,,,,,,,,,
Brett Bellemore,D,6/25/1988,,,,,,,0.15,0.19,,,,,,,
Brett Carson,D,11/29/1985,,,1.15,,,,,,,,,,,,
Brett Clark,D,12/23/1976,4.04,3.37,3.72,4.33,3.09,,,,,,,,,,
Brett Festerling,D,3/3/1986,,0.05,0.07,,,,,,,,,,,,
Brett Kulak,D,1/6/1994,,,,,,,,,,,0.05,0.07,0.13,0.17,0.31
Brett Lebda,D,1/15/1982,1.48,0.30,0.32,2.39,,,,,,,,,,,
Brett Lernout,D,9/24/1995,,,,,,,,,,,,,,,
Brett Pesce,D,11/15/1994,,,,,,,,,1.03,0.63,0.29,0.17,0.38,1.00,0.70
Brett Skinner,D,6/28/1983,,,,,,,,,,,,,,,
Brian Campbell,D,5/23/1979,4.60,4.96,3.63,2.89,5.16,5.08,5.32,4.69,4.59,3.79,,,,,
Brian Dumoulin,D,9/6/1991,,,,,,,,,0.48,0.59,0.38,0.40,,0.64,0.76
Brian Fahey,D,3/2/1981,,,,,,,,,,,,,,,
Brian Lashoff,D,7/16/1990,,,,,,0.20,0.01,,,,,,,,
Brian Lee,D,3/26/1987,,1.37,,0.09,0.30,,,,,,,,,,
Brian Pothier,D,4/15/1977,2.47,,2.52,,,,,,,,,,,,
Brian Rafalski,D,9/28/1973,5.94,5.42,5.65,5.73,,,,,,,,,,,
Brian Salcido,D,4/14/1985,,,,,,,,,,,,,,,
Brian Strait,D,1/4/1988,,,,,,,0.17,0.20,0.29,,,,,,
Brooks Orpik,D,9/26/1980,0.80,0.91,0.60,0.76,0.91,1.17,1.33,1.47,1.69,1.92,2.19,2.45,,,
Bruno Gervais,D,10/3/1984,2.10,1.25,1.17,0.41,0.95,0.64,,,,,,,,,
Bryan Allen,D,8/21/1980,0.75,,0.59,0.76,0.95,1.12,1.29,,,,,,,,
Bryan Berard,D,3/5/1977,4.80,,,,,,,,,,,,,,
Bryan Helmer,D,7/15/1972,,,,,,,,,,,,,,,
Bryan McCabe,D,6/8/1975,5.71,5.93,5.61,5.30,,,,,,,,,,,
Bryan Rodney,D,4/22/1984,,,,,,,,,,,,,,,
Bryce Salvador,D,2/11/1976,0.91,1.09,1.32,,1.73,2.07,2.22,,,,,,,,
Cade Fairchild,D,1/15/1989,,,,,,,,,,,,,,,
Cal Foote,D,12/13/1998,,,,,,,,,,,,,,0.04,0.02
Cale Fleury,D,11/19/1998,,,,,,,,,,,,,0.08,,
Cale Makar,D,10/30/1998,,,,,,,,,,,,,3.81,4.16,3.82
Caleb Jones,D,6/6/1997,,,,,,,,,,,,,0.13,0.05,0.36
Calen Addison,D,4/11/2000,,,,,,,,,,,,,,,
Calle Rosen,D,2/2/1994,,,,,,,,,,,,,,,
Calvin de Haan,D,5/9/1991,,,,,,,1.29,0.18,0.26,0.67,0.23,0.36,,0.73,0.74
Cam Barker,D,4/4/1986,2.83,3.38,2.16,1.37,,,,,,,,,,,
Cam Dineen,D,6/19/1998,,,,,,,,,,,,,,,0.27
Cam Fowler,D,12/5/1991,,,,3.93,3.83,2.58,3.39,2.39,3.02,3.15,2.72,2.74,2.91,2.29,2.80
Cam York,D,1/5/2001,,,,,,,,,,,,,,,
Cameron Gaunce,D,3/19/1990,,,,,,,,,,,,,,,
Carl Dahlstrom,D,1/28/1995,,,,,,,,,,,,0.02,,,
Carl Gunnarsson,D,11/9/1986,,,1.91,1.36,1.29,0.90,0.48,0.66,0.62,0.66,0.86,,1.29,,
Carlo Colaiacovo,D,1/27/1983,,3.55,3.13,3.01,2.40,,,1.53,1.21,,,,,,
Carson Soucy,D,7/27/1994,,,,,,,,,,,,,0.11,0.23,0.96
Casey Borer,D,7/28/1985,,,,,,,,,,,,,,,
Casey Fitzgerald,D,2/25/1997,,,,,,,,,,,,,,,0.07
Casey Nelson,D,7/18/1992,,,,,,,,,,,0.41,0.18,,,
Chad Billins,D,5/26/1989,,,,,,,,,,,,,,,
Chad Ruhwedel,D,5/7/1990,,,,,,,,,,1.09,0.39,,0.54,,0.84
Charlie McAvoy,D,12/21/1997,,,,,,,,,,,2.16,1.64,1.37,1.97,3.14
Chase Priskie,D,3/19/1996,,,,,,,,,,,,,,,
Chay Genoway,D,12/20/1986,,,,,,,,,,,,,,,
Chris Bigras,D,2/22/1995,,,,,,,,,0.18,,,,,,
Chris Butler,D,10/27/1986,,0.20,2.95,1.22,0.80,0.20,0.59,0.73,,,,,,,
Chris Campoli,D,7/9/1984,3.87,2.48,2.09,1.41,2.28,,,,,,,,,,
Chris Chelios,D,1/25/1962,5.37,,,,,,,,,,,,,,
Chris Phillips,D,3/9/1978,0.73,1.30,1.47,1.20,1.83,2.96,3.03,2.20,,,,,,,
Chris Pronger,D,10/10/1974,6.15,5.89,5.35,5.59,,,,,,,,,,,
Chris Summers,D,2/5/1988,,,,,,,,,,,,,,,
Chris Wideman,D,1/7/1990,,,,,,,,,0.69,1.67,,,,,3.32
Christian Backman,D,4/28/1980,2.84,2.57,,,,,,,,,,,,,
Christian Djoos,D,8/6/1994,,,,,,,,,,,0.25,0.09,,2.61,
Christian Ehrhoff,D,7/6/1982,2.34,3.16,3.31,3.93,3.49,4.20,4.27,3.05,2.85,,,,,,
Christian Folin,D,2/9/1991,,,,,,,,0.13,,0.11,0.20,0.27,,,
Christian Jaros,D,4/2/1996,,,,,,,,,,,,0.31,,,
Christian Wolanin,D,3/17/1995,,,,,,,,,,,,,,,
Christoph Schubert,D,2/5/1982,2.07,1.47,0.32,,,,,,,,,,,,
Christopher Tanev,D,12/20/1989,,,,,,0.14,0.23,0.59,1.48,0.71,0.58,0.63,0.74,1.05,1.27
Clay Wilson,D,4/5/1983,,,,,,,,,,,,,,,
Clayton Stoner,D,2/19/1985,,,,0.11,0.16,0.34,0.39,0.59,0.71,,,,,,
Cody Ceci,D,12/21/1993,,,,,,,1.60,1.08,0.55,0.93,0.66,0.54,0.24,0.31,0.42
Cody Franson,D,8/8/1987,,,1.99,1.91,1.56,2.90,3.08,2.77,2.49,1.95,,,,,
Cody Goloubef,D,11/30/1989,,,,,,,,0.12,0.27,0.28,,,,,
Colby Cohen,D,4/25/1989,,,,,,,,,,,,,,,
Colby Robak,D,4/24/1990,,,,,,,,,,,,,,,
Colin Miller,D,10/29/1992,,,,,,,,,1.26,1.66,2.53,2.51,1.57,1.39,1.95
Colin White,D,12/12/1977,0.77,0.92,1.20,1.27,1.51,,,,,,,5.50,5.93,5.67,
Colten Teubert,D,3/8/1990,,,,,,,,,,,,,,,
Colton Parayko,D,5/12/1993,,,,,,,,,1.67,1.75,1.96,1.40,0.98,0.66,0.65
Colton White,D,5/3/1997,,,,,,,,,,,,,,,
Connor Carrick,D,4/13/1994,,,,,,,0.62,,,0.58,0.32,0.88,,,
Connor Clifton,D,4/28/1995,,,,,,,,,,,,,0.22,0.17,0.18
Connor Mackey,D,9/12/1996,,,,,,,,,,,,,,,
Connor Murphy,D,3/26/1993,,,,,,,,0.11,1.13,0.27,0.12,0.10,0.22,0.43,0.44
