Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,F,12/14/1996,,,,,,,,,,,,,,,
Aaron Downey,F,8/27/1974,0.82,,,,,,,,,,,,,,
Aaron Gagnon,F,4/24/1986,,,,,,,,,,,,,,,
Aaron Palushaj,F,9/7/1989,,,,,0.24,,,,,,,,,,
Aaron Volpatti,F,5/30/1985,,,,,,0.14,0.10,,,,,,,,
Aaron Voros,F,7/2/1981,1.41,1.60,0.13,,,,,,,,,,,,
Adam Beckman,F,5/10/2001,,,,,,,,,,,,,,,
Adam Berti,F,7/1/1986,,,,,,,,,,,,,,,
Adam Brooks,F,5/6/1996,,,,,,,,,,,,,,,
Adam Burish,F,1/6/1983,0.30,0.06,,0.19,0.62,0.22,,,,,,,,,
Adam Cracknell,F,7/15/1985,,,,,,,,,0.39,0.51,,,,,
Adam Erne,F,4/20/1995,,,,,,,,,,,,0.60,0.93,1.55,0.93
Adam Gaudette,F,10/3/1996,,,,,,,,,,,,1.57,1.62,1.04,1.16
Adam Hall,F,8/14/1980,0.24,0.20,,0.46,0.48,0.68,0.83,,,,,,,,
Adam Henrique,F,2/6/1990,,,,,2.00,2.89,2.24,1.80,2.64,2.44,2.54,2.39,2.49,2.07,2.56
Adam Lowry,F,3/29/1993,,,,,,,,0.90,0.39,1.84,0.84,0.11,0.23,0.86,0.99
Adam Mair,F,2/15/1979,0.28,0.33,0.34,0.51,,,,,,,,,,,
Adam Ruzicka,F,5/11/1999,,,,,,,,,,,,,,,
Adrian Kempe,F,9/13/1996,,,,,,,,,,,1.44,1.56,2.61,2.92,2.96
Akim Aliu,F,4/24/1989,,,,,,,,,,,,,,,
Alan Quine,F,2/25/1993,,,,,,,,,,1.21,,,,,
Aleksander Barkov,F,9/2/1995,,,,,,,3.55,2.92,3.32,3.24,3.59,3.61,3.46,4.00,3.49
Aleksi Heponiemi,F,1/9/1999,,,,,,,,,,,,,,,
Aleksi Saarela,F,1/7/1997,,,,,,,,,,,,,,,
Ales Hemsky,F,8/13/1983,3.91,4.24,,3.27,2.22,2.80,2.64,2.40,2.19,,,,,,
Ales Kotalik,F,12/23/1978,3.45,3.12,3.53,,,,,,,,,,,,
Alex Barre-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Barré-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Belzile,F,8/31/1991,,,,,,,,,,,,,,,
Alex Broadhurst,F,3/7/1993,,,,,,,,,,,,,,,
Alex Chiasson,F,10/1/1990,,,,,,,3.46,1.96,1.11,0.64,0.65,2.70,2.37,3.27,2.29
Alex DeBrincat,F,12/18/1997,,,,,,,,,,,2.52,3.59,3.66,3.92,3.65
Alex Formenton,F,9/13/1999,,,,,,,,,,,,,,,1.05
Alex Frolov,F,6/19/1982,3.62,3.40,2.33,2.34,,,,,,,,,,,
Alex Galchenyuk,F,2/12/1994,,,,,,1.94,2.70,2.70,2.91,2.48,3.03,3.23,1.65,0.95,0.86
Alex Iafallo,F,12/21/1993,,,,,,,,,,,0.58,1.63,2.49,2.86,2.84
Alex Khokhlachev,F,9/9/1993,,,,,,,,,,,,,,,
Alex Killorn,F,9/14/1989,,,,,,2.01,1.97,2.05,2.30,2.43,2.93,1.53,2.87,3.44,3.78
Alex Kovalev,F,2/24/1973,5.16,5.46,4.74,4.53,,,,,,,,,,,
Alex Newhook,F,1/28/2001,,,,,,,,,,,,,,,1.85
Alex Nylander,F,3/2/1998,,,,,,,,,,,,,1.50,,
Alex Ovechkin,F,9/17/1985,5.88,5.51,5.11,4.45,3.64,4.63,5.12,3.98,4.57,4.14,4.79,5.21,5.85,5.39,6.27
Alex Tanguay,F,11/21/1979,3.14,3.92,2.31,4.08,3.80,3.79,,3.66,3.76,,,,,,
Alex Tuch,F,5/10/1996,,,,,,,,,,,2.67,2.68,1.87,2.07,2.87
Alex Turcotte,F,2/26/2001,,,,,,,,,,,,,,,
Alex Wennberg,F,9/22/1994,,,,,,,,,,,,,,1.93,2.10
Alexander Barabanov,F,6/17/1994,,,,,,,,,,,,,,,1.89
Alexander Burmistrov,F,10/21/1991,,,,0.97,1.72,1.22,,,0.98,1.16,,,,,
Alexander Holtz,F,1/23/2002,,,,,,,,,,,,,,,
Alexander Kerfoot,F,8/11/1994,,,,,,,,,,,2.58,2.12,1.28,0.61,0.15
Alexander Nikulin,F,8/25/1985,,,,,,,,,,,,,,,
Alexander Nylander,F,3/2/1998,,,,,,,,,,,,,,,
Alexander Radulov,F,7/5/1986,3.45,,,,,,,,,3.12,3.73,3.69,3.32,,3.34
Alexander Semin,F,3/3/1984,4.58,4.08,3.42,3.20,2.55,3.64,3.59,1.78,,,,,,,
Alexander Steen,F,3/1/1984,1.86,1.65,2.75,3.13,2.54,2.64,3.51,3.57,3.37,3.50,3.70,2.28,1.53,,
Alexander True,F,7/17/1997,,,,,,,,,,,,,,,
Alexander Vasyunov,F,4/22/1988,,,,,,,,,,,,,,,
Alexander Volkov,F,8/2/1997,,,,,,,,,,,,,,0.44,
Alexander Wennberg,F,9/22/1994,,,,,,,,1.91,2.51,2.85,2.69,1.92,2.07,,
Alexandre Bolduc,F,6/26/1985,,,,,,,,,,,,,,,
Alexandre Burrows,F,4/11/1981,0.27,0.52,1.54,1.18,2.43,3.19,2.93,2.81,2.93,1.95,2.91,,,,
Alexandre Fortin,F,2/25/1997,,,,,,,,,,,,,,,
Alexandre Giroux,F,6/16/1981,,,,,,,,,,,,,,,
Alexandre Picard,D,7/5/1985,,3.52,1.62,1.03,,,,,,,,,,,
Alexandre Texier,F,9/13/1999,,,,,,,,,,,,,1.05,1.29,0.29
Alexei Ponikarovsky,F,4/9/1980,2.05,2.27,2.96,1.20,1.76,0.95,,,,,,,,,
Alexei Toropchenko,F,6/25/1999,,,,,,,,,,,,,,,
