Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,F,12/14/1996,,,,,,,,,,,,,,,
Aaron Downey,F,8/27/1974,0.94,,,,,,,,,,,,,,
Aaron Ekblad,D,2/7/1996,,,,,,,,3.54,3.37,3.16,2.36,1.81,1.52,3.87,3.52
Aaron Gagnon,F,4/24/1986,,,,,,,,,,,,,,,
Aaron Johnson,D,4/30/1983,,0.34,0.96,,1.01,,,,,,,,,,
Aaron Miller,D,8/11/1971,1.88,,,,,,,,,,,,,,
Aaron Ness,D,5/18/1990,,,,,,,,,,,,,,,
Aaron Palushaj,F,9/7/1989,,,,,0.16,,,,,,,,,,
Aaron Rome,D,9/27/1983,,,0.44,0.48,0.69,,,,,,,,,,
Aaron Volpatti,F,5/30/1985,,,,,,0.19,0.17,,,,,,,,
Aaron Voros,F,7/2/1981,1.43,1.65,0.20,,,,,,,,,,,,
Aaron Ward,D,1/17/1973,2.89,1.65,1.87,,,,,,,,,,,,
Adam Almquist,D,2/27/1991,,,,,,,,,,,,,,,
Adam Beckman,F,5/10/2001,,,,,,,,,,,,,,,
Adam Berti,F,7/1/1986,,,,,,,,,,,,,,,
Adam Boqvist,D,8/15/2000,,,,,,,,,,,,,2.70,3.73,2.16
Adam Brooks,F,5/6/1996,,,,,,,,,,,,,,,
Adam Burish,F,1/6/1983,0.27,0.06,,0.24,0.69,0.31,,,,,,,,,
Adam Clendening,D,10/26/1992,,,,,,,,,,1.48,,,,,
Adam Cracknell,F,7/15/1985,,,,,,,,,0.50,0.63,,,,,
Adam Erne,F,4/20/1995,,,,,,,,,,,,0.54,0.89,1.54,0.95
Adam Foote,D,7/10/1971,2.12,2.06,2.43,2.69,,,,,,,,,,,
Adam Fox,D,2/17/1998,,,,,,,,,,,,,2.18,3.74,3.00
Adam Gaudette,F,10/3/1996,,,,,,,,,,,,1.49,1.56,1.01,1.15
Adam Hall,F,8/14/1980,0.29,0.27,,0.56,0.60,0.80,0.95,,,,,,,,
Adam Henrique,F,2/6/1990,,,,,1.89,2.81,2.18,1.76,2.63,2.46,2.59,2.46,2.58,2.18,2.68
Adam Larsson,D,11/12/1992,,,,,2.21,0.55,,0.45,0.21,0.18,0.10,0.10,0.15,0.18,0.36
Adam Lowry,F,3/29/1993,,,,,,,,0.80,0.31,1.78,0.81,0.11,0.25,0.91,1.06
Adam Mair,F,2/15/1979,0.35,0.41,0.44,0.62,,,,,,,,,,,
Adam McQuaid,D,10/12/1986,,,,0.09,0.05,0.04,,0.22,0.29,0.42,0.55,0.72,,,
Adam Pardy,D,3/29/1984,,0.33,0.29,,0.16,,0.28,0.48,,,,,,,
