Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,,,,,,,,2.80,2.84,2.80,2.14,1.69,1.47,3.86,3.52
Aaron Johnson,,0.34,0.93,,0.86,,,,,,,,,,
Aaron Miller,0.26,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Rome,,,0.41,0.41,0.54,,,,,,,,,,
Aaron Ward,1.77,0.29,0.25,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,2.17,3.37,1.94
Adam Clendening,,,,,,,,,,1.47,,,,,
Adam Foote,0.50,0.16,0.23,0.17,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,1.96,3.62,2.95
Adam Larsson,,,,,1.67,0.19,,0.33,0.17,0.17,0.10,0.08,0.08,0.03,0.11
Adam McQuaid,,,,0.08,0.05,0.02,,0.07,0.04,0.04,0.02,0.01,,,
Adam Pardy,,0.32,0.29,,0.09,,0.03,0.10,,,,,,,
Adam Pelech,,,,,,,,,,0.03,0.32,0.14,0.05,0.15,0.20
Adrian Aucoin,4.35,4.24,3.20,0.88,0.55,0.01,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alec Martinez,,,,1.76,1.78,,1.99,1.94,1.97,2.15,1.95,1.22,1.39,1.46,
Alec Regula,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,0.23,0.22,0.04,0.08,0.08,,
Alex Goligoski,,4.00,3.78,4.03,3.13,2.89,3.33,2.10,1.95,2.18,1.96,1.87,1.95,0.98,1.21
Alex Grant,,,,,,,,,,,,,,,
Alex Petrovic,,,,,,,,0.18,0.17,0.12,0.03,0.11,,,
Alex Pietrangelo,,,,3.01,2.89,2.85,2.82,2.43,2.30,2.45,3.02,2.76,3.14,2.65,2.20
Alex Plante,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alexander Edler,3.33,3.44,3.06,3.80,3.45,3.58,2.85,2.93,3.24,2.06,2.86,3.16,1.18,0.30,0.34
Alexander Romanov,,,,,,,,,,,,,,0.76,0.12
Alexander Sulzer,,,,1.11,,,,,,,,,,,
Alexander Urbom,,,,,,,,,,,,,,,
Alexandre Carrier,,,,,,,,,,,,,,,1.01
Alexandre Picard,,3.42,1.58,1.03,,,,,,,,,,,
Alexei Emelin,,,,,0.18,0.14,0.61,0.08,0.30,0.06,0.03,,,,
Alexei Semenov,,0.16,,,,,,,,,,,,,
Alexei Zhitnik,0.92,,,,,,,,,,,,,,
Alexey Marchenko,,,,,,,,,0.03,0.07,,,,,
Allan Rourke,,,,,,,,,,,,,,,
Anders Eriksson,2.06,,,,,,,,,,,,,,
Andre Benoit,,,,,,1.62,2.45,1.23,,,,,,,
Andreas Borgman,,,,,,,,,,0.03,0.03,,,,
Andreas Englund,,,,,,,,,,,,,,,
Andreas Lilja,0.15,0.04,,0.03,0.03,,,,,,,,,,
Andrei Markov,5.19,5.16,3.43,,,4.76,4.39,3.24,3.42,2.61,,,,,
Andrei Zyuzin,1.92,,,,,,,,,,,,,,
Andrej Meszaros,2.72,2.59,2.08,2.42,1.44,,1.05,1.51,,,,,,,
Andrej Sekera,1.16,1.57,1.56,2.10,0.90,1.08,2.68,1.84,2.33,2.19,0.97,,0.09,0.06,0.01
Andrej Sustr,,,,,,,0.11,0.11,0.06,0.06,0.03,,,,0.01
Andrew Alberts,0.29,0.13,0.11,0.10,0.06,,,,,,,,,,
Andrew Bodnarchuk,,,,,,,,,0.06,,,,,,
Andrew Campbell,,,,,,,,0.01,,,,,,,
Andrew Ference,2.14,2.27,0.85,0.36,0.64,0.16,0.38,0.09,,,,,,,
Andrew Hutchinson,,0.68,,,,,,,,,,,,,
Andrew MacDonald,,,1.71,3.07,1.36,1.54,2.90,1.40,,0.10,0.16,0.06,,,
Andrew MacWilliam,,,,,,,,,,,,,,,
Andrew Peeke,,,,,,,,,,,,,,,0.08
Andrey Pedan,,,,,,,,,,,,,,,
Andrey Zubarev,,,,,,,,,,,,,,,
Andy Greene,2.04,1.74,2.61,1.29,0.45,1.99,2.39,0.54,0.35,1.21,0.08,0.11,0.06,0.18,0.04
Andy Sutton,0.87,,0.25,0.09,0.03,,,,,,,,,,
Andy Welinski,,,,,,,,,,,,,,,
Andy Wozniewski,0.23,,,,,,,,,,,,,,
Anssi Salmela,,,0.36,0.35,,,,,,,,,,,
Anthony Bitetto,,,,,,,,,,,0.06,0.04,0.07,,
Anthony DeAngelo,,,,,,,,,,2.45,,,,,
Anton Babchuk,,2.35,,2.56,2.50,,,,,,,,,,
Anton Belov,,,,,,,1.32,,,,,,,,
Anton Lindholm,,,,,,,,,,,0.02,,,,
Anton Stralman,1.46,2.67,3.60,2.96,1.21,1.08,0.31,2.49,2.89,1.67,0.40,0.09,0.17,0.74,0.15
Anton Volchenkov,0.12,0.12,0.10,0.02,0.04,0.06,0.06,0.03,,,,,,,
Artem Zub,,,,,,,,,,,,,,0.08,0.27
Arturs Kulda,,,,,,,,,,,,,,,
Ashton Sautner,,,,,,,,,,,,,,,
Austin Strand,,,,,,,,,,,,,,,
Barret Jackman,1.61,0.55,0.22,0.05,0.06,0.03,0.03,0.01,0.02,,,,,,
Ben Chiarot,,,,,,,,0.05,0.05,0.03,0.05,0.04,0.27,0.28,1.00
Ben Gleason,,,,,,,,,,,,,,,
Ben Harpur,,,,,,,,,,,0.01,0.03,,0.02,
Ben Hutton,,,,,,,,,2.28,2.06,1.01,1.84,0.14,0.05,0.03
Ben Lovejoy,,,,0.09,0.04,0.54,0.21,0.20,0.08,0.10,0.05,0.05,,,
Ben Thomas,,,,,,,,,,,,,,,
Blake Hillman,,,,,,,,,,,,,,,
Bobby Allen,,,,,,,,,,,,,,,
Bobby Sanguinetti,,,,,,0.62,,,,,,,,,
Bogdan Kiselevich,,,,,,,,,,0.02,,0.02,,,
Boris Valabik,,0.05,,,,,,,,,,,,,
Bowen Byram,,,,,,,,,,,,,,,
Brad Hunt,,,,,,,,,,,2.40,2.41,2.27,,1.09
Brad Lukowich,0.15,0.14,,,,,,,,,,,,,
Brad Stuart,3.00,0.33,1.12,0.59,0.30,0.15,0.11,0.33,,,,,,,
Braden Schneider,,,,,,,,,,,,,,,0.09
Brady Keeper,,,,,,,,,,,,,,,
Brady Skjei,,,,,,,,,,1.39,1.21,0.24,0.15,0.07,0.13
Brandon Carlo,,,,,,,,,,0.12,0.07,0.05,0.14,,0.06
Brandon Davidson,,,,,,,,,0.45,0.04,0.06,,,,
Brandon Gormley,,,,,,,,,,,,,,,
Brandon Manning,,,,,,,,,0.33,0.19,0.28,0.05,,,
Brandon Montour,,,,,,,,,,,2.24,1.83,0.64,0.53,1.38
Branislav Mezei,0.04,,,,,,,,,,,,,,
Brayden McNabb,,,,,,,,1.08,0.29,0.07,0.08,0.05,0.07,0.02,0.04
Braydon Coburn,2.53,2.76,1.82,0.39,0.36,0.42,0.24,0.13,0.05,0.06,0.01,0.04,0.05,,
Brendan Bell,,3.07,,,,,,,,,,,,,
Brendan Guhle,,,,,,,,,,,,,,,
Brendan Mikkelson,,0.13,,,1.35,,,,,,,,,,
Brendan Smith,,,,,,1.17,0.17,0.23,0.60,0.89,0.05,0.04,0.06,0.21,0.02
Brendan Witt,0.16,0.30,0.05,,,,,,,,,,,,
Brenden Dillon,,,,,,0.40,0.14,0.12,0.11,0.09,0.04,0.06,0.04,0.04,0.06
Brennan Menell,,,,,,,,,,,,,,,
Brent Burns,3.18,3.22,3.15,3.04,2.75,,2.21,3.41,4.11,3.59,3.68,3.30,2.76,2.62,2.69
Brent Regner,,,,,,,,,,,,,,,
Brent Seabrook,2.26,2.36,1.65,2.68,2.28,2.35,1.99,2.43,2.87,2.70,2.11,1.63,0.73,,
Brent Sopel,1.08,,0.14,0.22,,,,,,,,,,,
Bret Hedican,0.63,0.83,,,,,,,,,,,,,
Brett Bellemore,,,,,,,0.08,0.05,,,,,,,
Brett Carson,,,1.13,,,,,,,,,,,,
Brett Clark,3.21,2.35,2.50,2.90,1.43,,,,,,,,,,
Brett Festerling,,0.04,0.07,,,,,,,,,,,,
Brett Kulak,,,,,,,,,,,0.05,0.05,0.06,0.03,0.07
Brett Lebda,1.42,0.16,0.08,2.02,,,,,,,,,,,
