Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,0.04,,,,,,,,,,,,,,
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,0.04,,,,,,,,,,
Aaron Volpatti,,,,,,0.12,0.02,,,,,,,,
Aaron Voros,1.41,1.58,0.05,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Berti,,,,,,,,,,,,,,,
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,0.26,0.06,,0.17,0.54,0.06,,,,,,,,,
Adam Cracknell,,,,,,,,,0.12,0.10,,,,,
Adam Erne,,,,,,,,,,,,0.50,0.89,1.54,0.93
Adam Gaudette,,,,,,,,,,,,1.37,1.52,1.00,1.15
Adam Hall,0.21,0.12,,0.18,0.07,0.10,0.05,,,,,,,,
Adam Henrique,,,,,1.67,2.69,2.13,1.75,2.63,2.44,2.52,2.31,2.32,1.80,2.15
Adam Lowry,,,,,,,,0.58,0.19,1.73,0.80,0.11,0.23,0.84,0.91
Adam Mair,0.20,0.16,0.06,0.09,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Kempe,,,,,,,,,,,1.11,1.35,2.50,2.88,2.96
Akim Aliu,,,,,,,,,,,,,,,
Alan Quine,,,,,,,,,,1.10,,,,,
Aleksander Barkov,,,,,,,2.67,2.26,2.84,2.91,3.39,3.51,3.41,3.99,3.49
Aleksi Heponiemi,,,,,,,,,,,,,,,
Aleksi Saarela,,,,,,,,,,,,,,,
Ales Hemsky,3.87,4.24,,3.24,2.14,2.63,2.37,1.98,1.61,,,,,,
Ales Kotalik,3.28,2.84,3.11,,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,,
Alex Barré-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Broadhurst,,,,,,,,,,,,,,,
Alex Chiasson,,,,,,,3.36,1.91,1.11,0.64,0.62,2.62,2.20,2.99,1.87
Alex DeBrincat,,,,,,,,,,,2.04,3.27,3.46,3.81,3.61
Alex Formenton,,,,,,,,,,,,,,,0.85
Alex Frolov,3.62,3.40,2.30,2.26,,,,,,,,,,,
Alex Galchenyuk,,,,,,1.07,2.04,2.22,2.59,2.28,2.93,3.19,1.65,0.95,0.83
Alex Iafallo,,,,,,,,,,,0.54,1.63,2.48,2.83,2.76
Alex Khokhlachev,,,,,,,,,,,,,,,
Alex Killorn,,,,,,1.91,1.93,2.04,2.30,2.40,2.85,1.36,2.59,3.03,3.20
Alex Kovalev,4.16,4.22,3.23,2.73,,,,,,,,,,,
Alex Newhook,,,,,,,,,,,,,,,1.37
Alex Nylander,,,,,,,,,,,,,1.17,,
Alex Ovechkin,5.68,5.40,5.07,4.45,3.63,4.60,5.04,3.82,4.29,3.72,4.21,4.43,4.86,4.15,4.76
Alex Tanguay,3.06,3.76,2.03,3.66,3.22,3.02,,2.42,2.26,,,,,,
Alex Tuch,,,,,,,,,,,2.34,2.48,1.76,2.03,2.87
Alex Turcotte,,,,,,,,,,,,,,,
Alex Wennberg,,,,,,,,,,,,,,1.93,2.07
Alexander Barabanov,,,,,,,,,,,,,,,1.86
Alexander Burmistrov,,,,0.31,1.24,0.90,,,0.94,1.15,,,,,
Alexander Holtz,,,,,,,,,,,,,,,
Alexander Kerfoot,,,,,,,,,,,2.47,2.08,1.27,0.61,0.13
Alexander Nikulin,,,,,,,,,,,,,,,
Alexander Nylander,,,,,,,,,,,,,,,
Alexander Radulov,3.12,,,,,,,,,2.84,3.32,3.11,2.55,,2.10
Alexander Semin,4.47,4.04,3.41,3.20,2.52,3.56,3.42,1.50,,,,,,,
Alexander Steen,1.75,1.61,2.74,3.13,2.52,2.56,3.35,3.30,2.96,2.92,2.93,1.28,0.29,,
Alexander True,,,,,,,,,,,,,,,
Alexander Vasyunov,,,,,,,,,,,,,,,
Alexander Volkov,,,,,,,,,,,,,,0.33,
Alexander Wennberg,,,,,,,,1.43,2.18,2.65,2.58,1.88,2.06,,
Alexandre Bolduc,,,,,,,,,,,,,,,
Alexandre Burrows,0.27,0.49,1.46,1.02,2.15,2.78,2.35,2.04,1.93,0.71,1.40,,,,
Alexandre Fortin,,,,,,,,,,,,,,,
Alexandre Giroux,,,,,,,,,,,,,,,
Alexandre Picard,,3.42,1.58,1.03,,,,,,,,,,,
Alexandre Texier,,,,,,,,,,,,,0.57,0.96,0.09
Alexei Ponikarovsky,2.02,2.19,2.80,0.93,1.34,0.37,,,,,,,,,
Alexei Toropchenko,,,,,,,,,,,,,,,
Alexis Lafrenière,,,,,,,,,,,,,,1.23,1.19
Aliaksei Protas,,,,,,,,,,,,,,,0.98
Anders Bjork,,,,,,,,,,,,,0.35,0.06,0.05
Anders Lee,,,,,,,,2.20,2.50,2.46,3.06,2.89,2.29,,2.36
Andre Burakovsky,,,,,,,,1.16,0.80,1.46,1.20,0.24,2.36,2.18,2.01
Andre Deveaux,,,,,,,,,,,,,,,
Andre Roy,0.11,0.00,,,,,,,,,,,,,
Andreas Athanasiou,,,,,,,,,0.02,1.21,1.74,2.21,2.01,1.84,
Andreas Johnsson,,,,,,,,,,,,1.58,2.08,1.33,1.04
Andreas Karlsson,0.30,,,,,,,,,,,,,,
Andreas Martinsen,,,,,,,,,0.08,0.06,,,,,
Andreas Nodl,,0.24,,0.25,0.13,,,,,,,,,,
Andrei Kostitsyn,3.03,3.07,2.27,2.26,1.74,,,,,,,,,,
Andrei Loktionov,,,,,0.72,,1.05,,,,,,,,
Andrei Svechnikov,,,,,,,,,,,,1.92,2.96,2.87,2.87
Andrej Nestrasil,,,,,,,,1.35,1.29,,,,,,
Andrew Agozzino,,,,,,,,,,,,,,,
Andrew Brunette,3.17,3.40,3.24,3.08,2.23,,,,,,,,,,
Andrew Cogliano,2.05,1.98,0.91,0.93,0.56,0.16,0.23,0.07,0.07,0.08,0.11,0.06,0.11,0.13,0.09
Andrew Copp,,,,,,,,,0.03,0.14,0.11,0.04,1.19,1.81,2.22
Andrew Desjardins,,,,,0.04,0.02,0.06,0.06,0.08,0.00,,,,,
Andrew Ebbett,,1.79,0.74,0.01,,,,,,,,,,,
Andrew Gordon,,,,,0.09,,,,,,,,,,
Andrew Ladd,1.76,0.42,0.64,3.05,2.62,2.66,2.73,3.21,2.71,2.09,1.74,,,,1.62
Andrew Mangiapane,,,,,,,,,,,,0.49,0.55,1.81,1.80
Andrew Miller,,,,,,,,,,,,,,,
Andrew Murray,0.47,0.41,0.22,,0.04,,,,,,,,,,
Andrew Peters,0.05,,,,,,,,,,,,,,
Andrew Poturalski,,,,,,,,,,,,,,,
Andrew Shaw,,,,,1.62,2.04,2.62,2.71,1.92,2.08,2.33,2.04,,,
Andy Andreoff,,,,,,,,,0.09,0.08,0.04,,,,
Andy Hilbert,0.19,1.05,,,,,,,,,,,,,
Andy McDonald,3.49,3.88,3.36,3.35,,2.52,,,,,,,,,
Andy Miele,,,,,,,,,,,,,,,
Anthony Angello,,,,,,,,,,,,,,,
