Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,,,,,,,,0.011,-0.002,-0.004,0.008,0.013,-0.010,0.020,-0.002
Aaron Johnson,-0.002,,0.021,,0.005,,,,,,,,,,
Aaron Miller,,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Rome,,,,,,,,,,,,,,,
Aaron Ward,-0.008,,,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,-0.010,-0.002,0.020
Adam Clendening,,,,,,,,0.017,,0.017,,,,,
Adam Foote,-0.005,,,,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,-0.005,0.000,-0.011
Adam Larsson,,,,,-0.005,,,,,,,,,,
Adam McQuaid,,,,,,,,,,,,,,,
Adam Pardy,,,,,,,,,,,,,,,
Adam Pelech,,,,,,,,,,,,,,,
Adrian Aucoin,0.001,0.000,-0.008,-0.007,0.019,,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alec Martinez,,,,-0.004,0.011,-0.007,0.000,-0.006,0.010,-0.010,0.002,-0.014,-0.014,0.014,
Alec Regula,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,,,,,,,
Alex Goligoski,,0.010,-0.003,0.006,-0.008,-0.009,-0.001,-0.008,0.001,0.000,0.011,0.000,0.010,-0.008,-0.002
Alex Grant,,,,,,,,,,,,,,,
Alex Petrovic,,,,,,,,,,,,,,,
Alex Pietrangelo,,,,0.004,0.006,0.000,-0.007,-0.013,-0.004,0.016,-0.005,-0.001,0.009,-0.013,0.001
Alex Plante,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alexander Edler,0.006,0.004,-0.002,0.011,-0.001,0.018,0.004,0.007,0.004,0.000,-0.007,0.010,0.010,,
Alexander Romanov,,,,,,,,,,,,,,-0.006,
Alexander Sulzer,,,,-0.009,,,,,,,,,,,
Alexander Urbom,,,,,,,,,,,,,,,
Alexandre Carrier,,,,,,,,,,,,,,,0.003
Alexandre Picard,0.014,0.024,-0.007,0.026,,,,,,,,,,,
Alexei Emelin,,,,,,,0.018,,,,,,,,
Alexei Semenov,0.021,,,,,,,,,,,,,,
Alexei Zhitnik,-0.010,,,,,,,,,,,,,,
Alexey Marchenko,,,,,,,,,,,,,,,
Allan Rourke,,,,,,,,,,,,,,,
Anders Eriksson,0.002,,,,,,,,,,,,,,
Andre Benoit,,,,,,0.006,-0.009,-0.005,,,,,,,
Andreas Borgman,,,,,,,,,,,,,,,
Andreas Englund,,,,,,,,,,,,,,,
Andreas Lilja,,,,,,,,,,,,,,,
Andrei Markov,0.010,0.004,0.009,,-0.009,0.019,-0.007,0.004,0.004,-0.001,,,,,
Andrei Zyuzin,-0.005,,,,,,,,,,,,,,
Andrej Meszaros,0.013,-0.003,-0.001,0.002,0.006,,0.008,-0.002,,,,,,,
Andrej Sekera,-0.005,0.001,-0.007,-0.008,0.005,-0.009,0.008,-0.002,-0.005,-0.006,-0.007,,,,
Andrej Sustr,,,,,,,,,,,,,,,
Andrew Alberts,,,,,,,,,,,,,,,
Andrew Bodnarchuk,,,,,,,,,,,,,,,
Andrew Campbell,,,,,,,,,,,,,,,
Andrew Ference,-0.008,0.000,-0.006,,-0.018,,,,,,,,,,
Andrew Hutchinson,,,,,,,,,,,,,,,
Andrew MacDonald,,,-0.011,-0.007,-0.003,0.005,-0.003,0.002,,,,,,,
Andrew MacWilliam,,,,,,,,,,,,,,,
Andrew Peeke,,,,,,,,,,,,,,,
Andrey Pedan,,,,,,,,,,,,,,,
Andrey Zubarev,,,,,,,,,,,,,,,
Andy Greene,0.005,-0.008,0.009,-0.005,,0.011,0.003,-0.011,,0.005,,,,,
Andy Sutton,-0.012,,,,,,,,,,,,,,
Andy Welinski,,,,,,,,,,,,,,,
Andy Wozniewski,,,,,,,,,,,,,,,
Anssi Salmela,,0.002,,,,,,,,,,,,,
Anthony Bitetto,,,,,,,,,,,,,,,
Anthony DeAngelo,,,,,,,,,,0.010,,,,,
Anton Babchuk,,0.036,,0.015,-0.004,,,,,,,,,,
Anton Belov,,,,,,,-0.011,,,,,,,,
Anton Lindholm,,,,,,,,,,,,,,,
Anton Stralman,-0.009,-0.011,0.000,-0.009,-0.007,-0.013,,0.006,-0.001,-0.004,-0.009,,,,
Anton Volchenkov,,,,,,,,,,,,,,,
Artem Zub,,,,,,,,,,,,,,,
Arturs Kulda,,,,,,,,,,,,,,,
Ashton Sautner,,,,,,,,,,,,,,,
Austin Strand,,,,,,,,,,,,,,,
Barret Jackman,0.001,0.012,,,,,,,,,,,,,
Ben Chiarot,,,,,,,,,,,,,,,0.023
Ben Gleason,,,,,,,,,,,,,,,
Ben Harpur,,,,,,,,,,,,,,,
Ben Hutton,,,,,,,,,-0.011,0.001,-0.009,0.004,,,
Ben Lovejoy,,,,,,,,,,,,,,,
Ben Thomas,,,,,,,,,,,,,,,
Blake Hillman,,,,,,,,,,,,,,,
Bobby Allen,,,,,,,,,,,,,,,
Bobby Sanguinetti,,,,,,,,,,,,,,,
Bogdan Kiselevich,,,,,,,,,,,,,,,
Boris Valabik,,,,,,,,,,,,,,,
Bowen Byram,,,,,,,,,,,,,,,
Brad Hunt,,,,,,,,,,,0.005,0.024,0.008,,-0.010
Brad Lukowich,,,,,,,,,,,,,,,
Brad Stuart,-0.006,,-0.012,0.019,,,,,,,,,,,
Braden Schneider,,,,,,,,,,,,,,,
Brady Keeper,,,,,,,,,,,,,,,
Brady Skjei,,,,,,,,,,-0.009,-0.014,,,,
Brandon Carlo,,,,,,,,,,,,,,,
Brandon Davidson,,,,,,,,,,,,,,,
Brandon Gormley,,,,,,,,,,,,,,,
Brandon Manning,,,,,,,,,,,,,,,
Brandon Montour,,,,,,,,,,-0.019,0.008,-0.005,-0.009,,0.000
Branislav Mezei,,,,,,,,,,,,,,,
Brayden McNabb,,,,,,,,-0.013,,,,,,,
Braydon Coburn,0.016,0.001,-0.005,-0.006,,,,,,,,,,,
Brendan Bell,,0.018,,,,,,,,,,,,,
Brendan Guhle,,,,,,,,,,,,,,,
