Player,Model I,Model II,Model III,2021-22 Actual Score
Keith Yandle,0.0047,0.0095,0.0063,0.0060
John Carlson,0.0054,0.0126,0.0079,0.0225
Torey Krug,0.0018,0.0098,0.0042,0.0167
Brent Burns,0.0141,0.0183,0.0166,0.0181
Victor Hedman,0.0050,0.0124,0.0078,0.0206
Tyson Barrie,0.0050,0.0067,0.0076,0.0144
Drew Doughty,0.0224,0.0156,0.0249,0.0324
Mark Giordano,0.0085,0.0161,0.0139,0.0000
Morgan Rielly,0.0016,0.0105,0.0042,0.0084
Erik Karlsson,0.0066,0.0088,0.0084,0.0000
John Klingberg,0.0111,0.0097,0.0133,0.0048
Rasmus Dahlin,0.0143,0.0149,0.0109,0.0122
Kris Letang,0.0081,0.0080,0.0099,0.0073
Oliver Ekman-Larsson,0.0095,0.0088,0.0119,0.0215
Jacob Trouba,0.0112,0.0143,0.0138,0.0102
Erik Gustafsson,0.0026,0.0080,0.0042,0.0000
Rasmus Ristolainen,0.0046,0.0153,0.0075,0.0000
Thomas Chabot,0.0017,0.0084,0.0019,0.0049
Ryan Suter,0.0024,0.0067,0.0050,0.0232
Alex Pietrangelo,0.0075,0.0134,0.0098,0.0171
Zach Werenski,0.0107,0.0108,0.0113,0.0182
Shayne Gostisbehere,0.0182,0.0173,0.0211,0.0085
Will Butcher,0.0000,0.0073,-0.0008,0.0000
Colin Miller,0.0035,0.0124,0.0064,0.0000
Neal Pionk,0.0093,0.0106,0.0115,0.0060
Roman Josi,0.0046,0.0149,0.0067,0.0404
Matt Dumba,0.0215,0.0182,0.0229,0.0100
Damon Severson,0.0066,0.0121,0.0090,0.0270
Jeff Petry,0.0131,0.0128,0.0147,0.0000
Jared Spurgeon,0.0134,0.0118,0.0154,0.0000
P.K. Subban,0.0097,0.0115,0.0117,0.0000
Nick Leddy,0.0000,0.0077,-0.0008,0.0000
Justin Faulk,0.0132,0.0157,0.0155,0.0083
Seth Jones,0.0061,0.0094,0.0087,0.0000
Josh Morrissey,0.0098,0.0101,0.0121,0.0299
Aaron Ekblad,0.0240,0.0187,0.0249,0.0140
Shea Theodore,0.0037,0.0147,0.0055,0.0052
Darnell Nurse,0.0026,0.0089,0.0045,0.0000
Ryan Pulock,0.0090,0.0149,0.0111,0.0252
Samuel Girard,0.0013,0.0067,0.0007,0.0000
Nate Schmidt,0.0019,0.0078,0.0041,0.0078
Colin White,0.0000,0.0324,0.0222,0.0316
Vince Dunn,0.0247,0.0132,0.0260,0.0124
Jakob Chychrun,0.0298,0.0255,0.0285,0.0113
Miro Heiskanen,0.0125,0.0153,0.0107,0.0187
Alex Goligoski,0.0000,0.0057,0.0022,0.0000
Kevin Shattenkirk,0.0021,0.0127,0.0045,0.0062
Tyler Myers,0.0000,0.0080,0.0000,0.0000
Mattias Ekholm,0.0000,0.0072,0.0015,0.0000
Dougie Hamilton,0.0073,0.0181,0.0097,0.0131
Esa Lindell,0.0120,0.0149,0.0145,0.0000
Jordan Oesterle,0.0069,0.0048,0.0091,0.0000
Justin Schultz,0.0000,0.0126,0.0001,0.0188
Cam Fowler,0.0003,0.0088,0.0030,0.0368
Mike Matheson,0.0000,0.0090,-0.0022,0.0000
Matt Grzelcyk,0.0047,0.0055,0.0074,0.0000
Mikhail Sergachev,0.0119,0.0152,0.0118,0.0084
Ryan Ellis,0.0111,0.0134,0.0135,0.0000
Travis Sanheim,0.0040,0.0081,0.0055,0.0000
Noah Hanifin,0.0049,0.0105,0.0054,0.0067
Filip Hronek,0.0037,0.0136,0.0040,0.0135
TJ Brodie,0.0000,0.0038,-0.0001,0.0000
Devon Toews,0.0087,0.0065,0.0112,0.0176
Duncan Keith,0.0000,0.0104,0.0031,0.0000
Alec Martinez,0.0078,0.0165,0.0098,0.0000
Rasmus Andersson,0.0000,0.0132,0.0008,0.0086
Ivan Provorov,0.0090,0.0107,0.0093,0.0057
Charlie McAvoy,0.0088,0.0132,0.0098,0.0165
Quinn Hughes,0.0059,0.0130,0.0047,0.0000
Dmitry Orlov,0.0000,0.0062,0.0001,0.0270
Mike Reilly,0.0028,0.0110,0.0057,0.0000
Jonas Brodin,0.0162,0.0086,0.0192,0.0085
Sean Walker,0.0000,0.0088,-0.0021,0.0000
Brett Pesce,0.0164,0.0164,0.0193,0.0313
Jake Bean,0.0241,0.0151,0.0245,0.0000
Erik Brannstrom,0.0104,0.0123,0.0092,0.0000
Cale Makar,0.0194,0.0185,0.0194,0.0306
Adam Fox,0.0078,0.0121,0.0077,0.0000
John Marino,0.0163,0.0132,0.0174,0.0000
Adam Boqvist,0.0063,0.0121,0.0038,0.0298
Noah Dobson,0.0017,0.0105,-0.0008,0.0142
Mario Ferraro,0.0000,0.0061,-0.0009,0.0000
Ty Smith,0.0095,0.0102,0.0076,0.0000
K'Andre Miller,0.0013,0.0068,-0.0006,0.0286
Alexander Romanov,0.0013,0.0069,-0.0006,0.0000
Jamie Drysdale,0.0036,0.0138,-0.0006,0.0000
