Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,F,12/14/1996,,,,,,,,,,,,,,,
Aaron Downey,F,8/27/1974,,,,,,,,,,,,,,,
Aaron Gagnon,F,4/24/1986,,,,,,,,,,,,,,,
Aaron Palushaj,F,9/7/1989,,,,,,,,,,,,,,,
Aaron Volpatti,F,5/30/1985,,,,,,,,,,,,,,,
Aaron Voros,F,7/2/1981,0.05,0.06,,,,,,,,,,,,,
Adam Beckman,F,5/10/2001,,,,,,,,,,,,,,,
Adam Berti,F,7/1/1986,,,,,,,,,,,,,,,
Adam Brooks,F,5/6/1996,,,,,,,,,,,,,,,
Adam Burish,F,1/6/1983,,,,,0.00,,,,,,,,,,
Adam Cracknell,F,7/15/1985,,,,,,,,,,,,,,,
Adam Erne,F,4/20/1995,,,,,,,,,,,,0.03,0.06,0.00,0.00
Adam Gaudette,F,10/3/1996,,,,,,,,,,,,0.00,0.00,0.00,0.03
Adam Hall,F,8/14/1980,,,,,,,,,,,,,,,
Adam Henrique,F,2/6/1990,,,,,0.02,0.00,0.01,0.02,0.03,0.03,0.01,0.02,0.03,0.02,0.03
Adam Lowry,F,3/29/1993,,,,,,,,0.05,,0.05,0.03,,,0.02,0.01
Adam Mair,F,2/15/1979,,,,,,,,,,,,,,,
Adam Ruzicka,F,5/11/1999,,,,,,,,,,,,,,,
Adrian Kempe,F,9/13/1996,,,,,,,,,,,0.00,0.05,0.03,0.01,0.02
Akim Aliu,F,4/24/1989,,,,,,,,,,,,,,,
Alan Quine,F,2/25/1993,,,,,,,,,,0.00,,,,,
Aleksander Barkov,F,9/2/1995,,,,,,,0.01,0.03,0.01,0.02,0.00,0.01,0.00,0.01,0.02
Aleksi Heponiemi,F,1/9/1999,,,,,,,,,,,,,,,
Aleksi Saarela,F,1/7/1997,,,,,,,,,,,,,,,
Ales Hemsky,F,8/13/1983,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.01,-0.01,,,,,,
Ales Kotalik,F,12/23/1978,0.05,0.04,0.04,0.07,,,,,,,,,,,
Alex Barre-Boulet,F,5/21/1997,,,,,,,,,,,,,,0.00,
Alex Barré-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Belzile,F,8/31/1991,,,,,,,,,,,,,,,
Alex Broadhurst,F,3/7/1993,,,,,,,,,,,,,,,
Alex Chiasson,F,10/1/1990,,,,,,,0.02,0.03,0.01,0.00,0.00,0.02,0.01,0.00,0.01
Alex DeBrincat,F,12/18/1997,,,,,,,,,,,0.02,0.01,0.01,0.04,0.02
Alex Formenton,F,9/13/1999,,,,,,,,,,,,,,,0.03
Alex Frolov,F,6/19/1982,0.01,0.01,0.01,0.06,,,,,,,,,,,
Alex Galchenyuk,F,2/12/1994,,,,,,0.01,0.02,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00
Alex Iafallo,F,12/21/1993,,,,,,,,,,,0.00,0.01,0.02,0.00,0.00
Alex Khokhlachev,F,9/9/1993,,,,,,,,,,,,,,,
Alex Killorn,F,9/14/1989,,,,,,0.04,0.01,0.02,0.03,0.01,0.01,0.01,0.02,0.00,0.01
Alex Kovalev,F,2/24/1973,0.02,0.01,-0.01,-0.01,,-0.03,,,,,,,,,
Alex Newhook,F,1/28/2001,,,,,,,,,,,,,,,0.01
Alex Nylander,F,3/2/1998,,,,,,,,,,,,,0.03,,
Alex Ovechkin,F,9/17/1985,0.05,0.04,0.04,0.04,0.04,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.03,0.00,-0.01
Alex Tanguay,F,11/21/1979,0.01,0.02,0.01,0.00,0.00,0.00,-0.01,0.01,-0.01,,,,,,
Alex Tuch,F,5/10/1996,,,,,,,,,,,0.03,0.02,0.05,0.04,0.00
Alex Turcotte,F,2/26/2001,,,,,,,,,,,,,,,
Alex Wennberg,F,9/22/1994,,,,,,,,,,,,,,0.03,0.00
Alexander Barabanov,F,6/17/1994,,,,,,,,,,,,,,,0.01
