Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.00,0.00,0.02
Aaron Johnson,0.07,,0.05,,0.10,,,,,,,,,,
Aaron Miller,,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Rome,,,,,,,,,,,,,,,
Aaron Ward,0.03,,,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.02,0.02,0.02
Adam Clendening,,,,,,,,0.00,,0.04,,,,,
Adam Foote,0.00,,,,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.01,0.00,0.00
Adam Larsson,,,,,0.02,,,,,,,,,,
Adam McQuaid,,,,,,,,,,,,,,,
Adam Pardy,,,,,,,,,,,,,,,
Adam Pelech,,,,,,,,,,,,,,,
Adrian Aucoin,0.01,0.02,0.01,0.03,0.06,,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alec Martinez,,,,0.03,0.00,0.00,0.04,0.03,0.01,0.01,0.03,0.00,0.00,0.00,
Alec Regula,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,,,,,,,
Alex Goligoski,,0.02,0.02,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00
Alex Grant,,,,,,,,,,,,,,,
Alex Petrovic,,,,,,,,,,,,,,,
Alex Pietrangelo,,,,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.00
Alex Plante,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alexander Edler,0.00,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.04,0.04,0.04,0.02,0.01,,
Alexander Romanov,,,,,,,,,,,,,,0.00,
Alexander Sulzer,,,,0.00,,,,,,,,,,,
Alexander Urbom,,,,,,,,,,,,,,,
Alexandre Carrier,,,,,,,,,,,,,,,0.03
Alexandre Picard,0.00,0.00,0.01,0.00,,,,,,,,,,,
Alexei Emelin,,,,,,,0.00,,,,,,,,
Alexei Semenov,0.00,,,,,,,,,,,,,,
Alexei Zhitnik,0.00,,,,,,,,,,,,,,
Alexey Marchenko,,,,,,,,,,,,,,,
Allan Rourke,,,,,,,,,,,,,,,
Anders Eriksson,0.01,,,,,,,,,,,,,,
Andre Benoit,,,,,,0.04,0.01,0.03,,,,,,,
