Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,D,2/7/1996,,,,,,,,0.030,0.016,0.023,0.029,0.036,0.000,0.044,0.014
Aaron Johnson,D,4/30/1983,0.000,,0.027,,0.023,,,,,,,,,,
Aaron Miller,D,8/11/1971,,,,,,,,,,,,,,,
Aaron Ness,D,5/18/1990,,,,,,,,,,,,,,,
Aaron Rome,D,9/27/1983,,,,,,,,,,,,,,,
Aaron Ward,D,1/17/1973,0.009,,,,,,,,,,,,,,
Adam Almquist,D,2/27/1991,,,,,,,,,,,,,,,
Adam Boqvist,D,8/15/2000,,,,,,,,,,,,,0.003,0.010,0.031
Adam Clendening,D,10/26/1992,,,,,,,,0.023,,0.022,,,,,
Adam Foote,D,7/10/1971,0.012,,,,,,,,,,,,,,
Adam Fox,D,2/17/1998,,,,,,,,,,,,,0.008,0.010,0.000
Adam Larsson,D,11/12/1992,,,,,0.003,,,,,,,,,,
Adam McQuaid,D,10/12/1986,,,,,,,,,,,,,,,
Adam Pardy,D,3/29/1984,,,,,,,,,,,,,,,
Adam Pelech,D,8/16/1994,,,,,,,,,,,,,,,
Adrian Aucoin,D,7/3/1973,0.024,0.019,0.016,0.013,0.043,,,,,,,,,,
Alain Nasreddine,D,7/10/1975,,,,,,,,,,,,,,,
Alec Martinez,D,7/26/1987,,,,0.010,0.033,0.000,0.025,0.010,0.028,0.014,0.017,0.005,0.006,0.046,
Alec Regula,D,8/6/2000,,,,,,,,,,,,,,,
Alex Biega,D,4/4/1988,,,,,,,,,,,,,,,
Alex Goligoski,D,7/30/1985,,0.022,0.008,0.021,0.010,0.001,0.013,0.003,0.010,0.010,0.026,0.014,0.023,0.010,0.012
Alex Grant,D,1/20/1989,,,,,,,,,,,,,,,
Alex Petrovic,D,3/3/1992,,,,,,,,,,,,,,,
Alex Pietrangelo,D,1/18/1990,,,,0.018,0.026,0.015,0.009,0.005,0.006,0.031,0.014,0.017,0.030,0.004,0.022
Alex Plante,D,5/9/1989,,,,,,,,,,,,,,,
Alex Vlasic,D,6/5/2001,,,,,,,,,,,,,,,
Alexander Edler,D,4/21/1986,0.017,0.019,0.009,0.026,0.018,0.032,0.023,0.025,0.020,0.018,0.010,0.029,0.022,,
Alexander Romanov,D,1/6/2000,,,,,,,,,,,,,,0.002,
Alexander Sulzer,D,5/30/1984,,,,0.000,,,,,,,,,,,
Alexander Urbom,D,12/20/1990,,,,,,,,,,,,,,,
Alexandre Carrier,D,10/8/1996,,,,,,,,,,,,,,,0.013
Alexandre Picard,D,7/5/1985,0.025,0.037,0.012,0.045,,,,,,,,,,,
Alexei Emelin,D,4/25/1986,,,,,,,0.029,,,,,,,,
Alexei Semenov,D,4/10/1981,0.033,,,,,,,,,,,,,,
Alexei Zhitnik,D,10/10/1972,0.010,,,,,,,,,,,,,,
Alexey Marchenko,D,1/2/1992,,,,,,,,,,,,,,,
Allan Rourke,D,3/6/1980,,,,,,,,,,,,,,,
Anders Eriksson,D,1/9/1975,0.014,,,,,,,,,,,,,,
Andre Benoit,D,1/6/1984,,,,,,0.020,0.008,0.004,,,,,,,
