Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,,,,,,,,0.026,0.014,0.021,0.028,0.036,0.000,0.044,0.014
Aaron Johnson,0.000,,0.026,,0.021,,,,,,,,,,
Aaron Miller,,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Rome,,,,,,,,,,,,,,,
Aaron Ward,0.000,,,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.000,0.009,0.030
Adam Clendening,,,,,,,,0.023,,0.022,,,,,
Adam Foote,0.000,,,,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.007,0.010,0.000
Adam Larsson,,,,,0.000,,,,,,,,,,
Adam McQuaid,,,,,,,,,,,,,,,
Adam Pardy,,,,,,,,,,,,,,,
Adam Pelech,,,,,,,,,,,,,,,
Adrian Aucoin,0.015,0.009,0.004,0.000,0.028,,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alec Martinez,,,,0.009,0.033,0.000,0.025,0.009,0.026,0.011,0.013,0.000,0.000,0.039,
Alec Regula,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,,,,,,,
Alex Goligoski,,0.022,0.008,0.021,0.009,0.000,0.011,0.000,0.006,0.006,0.020,0.007,0.015,0.000,0.000
Alex Grant,,,,,,,,,,,,,,,
Alex Petrovic,,,,,,,,,,,,,,,
Alex Pietrangelo,,,,0.017,0.026,0.015,0.009,0.005,0.006,0.031,0.013,0.015,0.027,0.000,0.017
Alex Plante,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alexander Edler,0.016,0.018,0.009,0.026,0.018,0.031,0.022,0.023,0.018,0.014,0.005,0.023,0.014,,
Alexander Romanov,,,,,,,,,,,,,,0.000,
Alexander Sulzer,,,,0.000,,,,,,,,,,,
Alexander Urbom,,,,,,,,,,,,,,,
Alexandre Carrier,,,,,,,,,,,,,,,0.013
Alexandre Picard,0.024,0.037,0.012,0.045,,,,,,,,,,,
Alexei Emelin,,,,,,,0.028,,,,,,,,
Alexei Semenov,0.032,,,,,,,,,,,,,,
Alexei Zhitnik,0.000,,,,,,,,,,,,,,
Alexey Marchenko,,,,,,,,,,,,,,,
Allan Rourke,,,,,,,,,,,,,,,
Anders Eriksson,0.008,,,,,,,,,,,,,,
Andre Benoit,,,,,,0.019,0.005,0.000,,,,,,,
Andreas Borgman,,,,,,,,,,,,,,,
Andreas Englund,,,,,,,,,,,,,,,
Andreas Lilja,,,,,,,,,,,,,,,
Andrei Markov,0.023,0.017,0.026,,0.000,0.035,0.006,0.015,0.014,0.006,,,,,
Andrei Zyuzin,0.016,,,,,,,,,,,,,,
Andrej Meszaros,0.027,0.007,0.012,0.015,0.022,,0.018,0.011,,,,,,,
Andrej Sekera,0.000,0.009,0.000,0.000,0.016,0.000,0.020,0.007,0.011,0.006,0.000,,,,
Andrej Sustr,,,,,,,,,,,,,,,
Andrew Alberts,,,,,,,,,,,,,,,
Andrew Bodnarchuk,,,,,,,,,,,,,,,
Andrew Campbell,,,,,,,,,,,,,,,
Andrew Ference,0.000,0.009,0.000,,0.000,,,,,,,,,,
Andrew Hutchinson,,,,,,,,,,,,,,,
Andrew MacDonald,,,0.000,0.005,0.010,0.014,0.008,0.012,,,,,,,
Andrew MacWilliam,,,,,,,,,,,,,,,
Andrew Peeke,,,,,,,,,,,,,,,
Andrey Pedan,,,,,,,,,,,,,,,
Andrey Zubarev,,,,,,,,,,,,,,,
Andy Greene,0.017,0.000,0.020,0.009,,0.021,0.015,0.000,,0.013,,,,,
Andy Sutton,0.000,,,,,,,,,,,,,,
Andy Welinski,,,,,,,,,,,,,,,
Andy Wozniewski,,,,,,,,,,,,,,,
Anssi Salmela,,0.015,,,,,,,,,,,,,
Anthony Bitetto,,,,,,,,,,,,,,,
Anthony DeAngelo,,,,,,,,,,0.021,,,,,
Anton Babchuk,,0.053,,0.029,0.012,,,,,,,,,,
Anton Belov,,,,,,,0.000,,,,,,,,
Anton Lindholm,,,,,,,,,,,,,,,
Anton Stralman,0.000,0.000,0.015,0.007,0.000,0.000,,0.010,0.005,0.008,0.000,,,,
Anton Volchenkov,,,,,,,,,,,,,,,
Artem Zub,,,,,,,,,,,,,,,
Arturs Kulda,,,,,,,,,,,,,,,
Ashton Sautner,,,,,,,,,,,,,,,
Austin Strand,,,,,,,,,,,,,,,
Barret Jackman,0.008,0.022,,,,,,,,,,,,,
Ben Chiarot,,,,,,,,,,,,,,,0.027
Ben Gleason,,,,,,,,,,,,,,,
Ben Harpur,,,,,,,,,,,,,,,
Ben Hutton,,,,,,,,,0.000,0.014,0.000,0.008,,,
Ben Lovejoy,,,,,,,,,,,,,,,
Ben Thomas,,,,,,,,,,,,,,,
Blake Hillman,,,,,,,,,,,,,,,
Bobby Allen,,,,,,,,,,,,,,,
Bobby Sanguinetti,,,,,,,,,,,,,,,
Bogdan Kiselevich,,,,,,,,,,,,,,,
Boris Valabik,,,,,,,,,,,,,,,
Bowen Byram,,,,,,,,,,,,,,,
Brad Hunt,,,,,,,,,,,0.019,0.040,0.022,,0.000
Brad Lukowich,,,,,,,,,,,,,,,
Brad Stuart,0.009,,0.011,0.025,,,,,,,,,,,
Braden Schneider,,,,,,,,,,,,,,,
Brady Keeper,,,,,,,,,,,,,,,
Brady Skjei,,,,,,,,,,0.000,0.000,,,,
Brandon Carlo,,,,,,,,,,,,,,,
Brandon Davidson,,,,,,,,,,,,,,,
Brandon Gormley,,,,,,,,,,,,,,,
Brandon Manning,,,,,,,,,,,,,,,
Brandon Montour,,,,,,,,,,0.000,0.028,0.007,0.000,,0.009
Branislav Mezei,,,,,,,,,,,,,,,
Brayden McNabb,,,,,,,,0.000,,,,,,,
Braydon Coburn,0.025,0.014,0.007,0.000,,,,,,,,,,,
Brendan Bell,,0.031,,,,,,,,,,,,,
Brendan Guhle,,,,,,,,,,,,,,,
Brendan Mikkelson,,,,,0.000,,,,,,,,,,
Brendan Smith,,,,,,0.000,,,0.026,0.022,,,,,
Brendan Witt,,,,,,,,,,,,,,,
Brenden Dillon,,,,,,,,,,,,,,,
Brennan Menell,,,,,,,,,,,,,,,
Brent Burns,0.031,0.021,0.013,0.033,0.022,0.035,0.013,0.025,0.021,0.027,0.017,0.026,0.026,0.014,0.018
Brent Regner,,,,,,,,,,,,,,,
Brent Seabrook,0.022,0.016,0.000,0.023,0.011,0.027,0.018,0.020,0.026,0.009,0.012,0.016,,,
Brent Sopel,0.000,,,,,,,,,,,,,,
Bret Hedican,0.000,0.000,,,,,,,,,,,,,
Brett Bellemore,,,,,,,,,,,,,,,
Brett Carson,,,0.000,,,,,,,,,,,,
Brett Clark,0.005,0.000,0.012,0.025,0.000,,,,,,,,,,
Brett Festerling,,,,,,,,,,,,,,,
Brett Kulak,,,,,,,,,,,,,,,
Brett Lebda,0.000,,,0.000,,,,,,,,,,,
Brett Lernout,,,,,,,,,,,,,,,
Brett Pesce,,,,,,,,,0.015,0.000,,,,0.021,0.031
Brett Skinner,,,,,,,,,,,,,,,
Brian Campbell,0.014,0.011,0.015,0.015,0.003,0.032,0.006,0.004,0.000,0.015,,,,,
Brian Dumoulin,,,,,,,,,0.000,0.000,,,,,
Brian Fahey,,,,,,,,,,,,,,,
Brian Lashoff,,,,,,,,,,,,,,,
Brian Lee,,0.014,,,,,,,,,,,,,
Brian Pothier,0.015,,0.011,,,,,,,,,,,,
Brian Rafalski,0.030,0.017,0.017,0.000,,,,,,,,,,,
Brian Salcido,,,,,,,,,,,,,,,
Brian Strait,,,,,,,,,,,,,,,
Brooks Orpik,0.000,0.023,,,,,,,,,,,,,
Bruno Gervais,0.000,0.000,0.013,,0.028,,,,,,,,,,
Bryan Allen,0.000,,,,,,,,,,,,,,
Bryan Berard,0.018,,,,,,,,,,,,,,
Bryan Helmer,,,,,,,,,,,,,,,
Bryan McCabe,0.016,0.025,0.009,0.016,,,,,,,,,,,
Bryan Rodney,,,0.000,,,,,,,,,,,,
Bryce Salvador,,,,,,,,,,,,,,,
Cade Fairchild,,,,,,,,,,,,,,,
Cal Foote,,,,,,,,,,,,,,,
Cale Fleury,,,,,,,,,,,,,,,
Cale Makar,,,,,,,,,,,,,0.019,0.022,0.031
Caleb Jones,,,,,,,,,,,,,,,
Calen Addison,,,,,,,,,,,,,,,
Calle Rosen,,,,,,,,,,,,,,,
Calvin de Haan,,,,,,,0.015,,,0.020,,,,,
Cam Barker,0.016,0.022,0.026,0.000,0.017,,,,,,,,,,
Cam Dineen,,,,,,,,,,,,,,,
Cam Fowler,,,,0.022,0.007,0.011,0.017,0.005,0.015,0.020,0.006,0.007,0.013,0.000,0.037
Cam York,,,,,,,,,,,,,,,0.015
Cameron Gaunce,,,,,,,,,,,,,,,
Carl Dahlstrom,,,,,,,,,,,,,,,
Carl Gunnarsson,,,0.000,0.011,0.000,,,,,,,,,,
Carlo Colaiacovo,,0.000,0.020,0.006,0.000,,0.000,,,,,,,,
Carson Soucy,,,,,,,,,,,,,,,0.000
Casey Borer,,,,,,,,,,,,,,,
Casey Fitzgerald,,,,,,,,,,,,,,,
Casey Nelson,,,,,,,,,,,,,,,
Chad Billins,,,,,,,,,,,,,,,
Chad Ruhwedel,,,,,,,,,,0.000,,,,,
Charlie McAvoy,,,,,,,,,,,0.016,0.012,0.011,0.010,0.016
Chase Priskie,,,,,,,,,,,,,,,
Chay Genoway,,,,,,,,,,,,,,,
Chris Bigras,,,,,,,,,,,,,,,
Chris Butler,,,0.000,0.000,0.000,,,,,,,,,,
Chris Campoli,0.017,0.011,0.007,0.010,0.000,,,,,,,,,,
Chris Chelios,,,,,,,,,,,,,,,
Chris Phillips,,0.000,0.019,,0.082,0.014,0.010,,,,,,,,
Chris Pronger,0.023,0.011,0.017,0.016,0.019,,,,,,,,,,
Chris Summers,,,,,,,,,,,,,,,
Chris Wideman,,,,,,,,,0.025,0.009,0.059,0.000,,,0.000
Christian Backman,0.006,0.008,,,,,,,,,,,,,
Christian Djoos,,,,,,,,,,,,,,0.011,
Christian Ehrhoff,0.006,0.022,0.024,0.021,0.005,0.006,0.004,0.000,0.000,,,,,,
Christian Folin,,,,,,,,,,,,,,,
Christian Jaros,,,,,,,,,,,,,,,
Christian Wolanin,,,,,,,,,,,,0.000,,,
Christoph Schubert,0.006,0.015,,,,,,,,,,,,,
Christopher Tanev,,,,,,,,0.000,0.022,,,,,,
Clay Wilson,0.000,,,0.000,,,,,,,,,,,
Clayton Stoner,,,,,,,,,,,,,,,
Cody Ceci,,,,,,,0.000,0.012,0.000,0.000,0.000,0.000,,,
Cody Franson,,,0.008,0.013,0.023,0.024,0.004,0.025,0.008,0.010,0.000,,,,
Cody Goloubef,,,,,,,,,,,,,,,
Colby Cohen,,,,,,,,,,,,,,,
Colby Robak,,,,,,,,,,,,,,,
Colin Miller,,,,,,,,,0.000,0.010,0.025,0.006,0.000,0.020,0.000
Colin White,,,,,,,,,,,,0.033,0.007,0.029,0.032
Colten Teubert,,,,,,,,,,,,,,,
Colton Parayko,,,,,,,,,0.023,0.028,0.013,0.038,0.056,,
Colton White,,,,,,,,,,,,,,,
Connor Carrick,,,,,,,,,,0.027,,,,,
Connor Clifton,,,,,,,,,,,,,,,
Connor Mackey,,,,,,,,,,,,,,,
Connor Murphy,,,,,,,,,0.012,,,,,,
Conor Allen,,,,,,,,,,,,,,,
Conor Timmins,,,,,,,,,,,,,,,
Corey Potter,,,,,0.007,0.000,,,,,,,,,
Corey Schueneman,,,,,,,,,,,,,,,
Cory Murphy,0.005,0.031,0.000,,,,,,,,,,,,
Cory Sarich,0.000,0.000,,,,,,,,,,,,,
Craig Rivet,0.008,0.007,0.000,0.000,,,,,,,,,,,
Dakota Mermis,,,,,,,,,,,,,,,
Dalton Prout,,,,,,,,,,,,,,,
Damon Severson,,,,,,,,0.000,0.000,0.000,0.000,0.015,0.021,0.000,0.027
Dan Boyle,0.012,0.022,0.018,0.012,0.009,0.031,0.022,0.018,0.018,,,,,,
Dan Girardi,0.022,0.011,,0.012,0.007,0.000,0.008,0.008,,,,,,,
Dan Hamhuis,0.006,0.009,0.000,0.020,0.007,0.000,0.000,0.010,0.012,0.008,,,,,
Dan Jancevski,,,,,,,,,,,,,,,
Dan Renouf,,,,,,,,,,,,,,,
Daniel Brickley,,,,,,,,,,,,,,,
Daniel Tjarnqvist,,,,,,,,,,,,,,,
Danny Biega,,,,,,,,,,,,,,,
Danny DeKeyser,,,,,,,0.010,0.000,0.000,0.000,,,,,
Danny Richmond,,,,,,,,,,,,,,,
Danny Syvret,,,,,,,,,,,,,,,
Dante Fabbro,,,,,,,,,,,,,,,
Darnell Nurse,,,,,,,,,,,0.000,0.007,0.000,0.013,0.000
Darren Dietz,,,,,,,,,,,,,,,
Darryl Sydor,0.006,0.000,0.000,,,,,,,,,,,,
David Farrance,,,,,,,,,,,,,,,
David Hale,,,,,,,,,,,,,,,
David Musil,,,,,,,,,,,,,,,
David Rundblad,,,,,0.000,,,,,,,,,,
David Savard,,,,,0.014,,0.024,0.019,0.007,,,,,,
David Schlemko,,,0.000,0.000,,0.000,0.000,,0.007,0.011,0.000,,,,
David Tanabe,,,,,,,,,,,,,,,
David Warsofsky,,,,,,,,,0.021,,,,,,
Davis Drewiske,,,,,,,,,,,,,,,
Dean Kukan,,,,,,,,,,,,,,,
Denis Gauthier,,,,,,,,,,,,,,,
Denis Grebeshkov,0.007,0.010,0.008,,,,,,,,,,,,
Dennis Cholowski,,,,,,,,,,,,0.032,0.010,,
Dennis Gilbert,,,,,,,,,,,,,,,
Dennis Seidenberg,0.000,0.010,0.011,0.006,0.000,0.000,,,,,,,,,
Dennis Wideman,0.030,0.024,0.010,0.029,0.019,0.025,0.014,0.024,0.013,0.033,,,,,
Derek Forbort,,,,,,,,,,,,,,,
Derek Joslin,,,,0.026,,,,,,,,,,,
Derek Meech,0.000,,0.016,,,,,,,,,,,,
Derek Morris,0.011,0.000,0.012,0.016,0.000,0.000,0.000,,,,,,,,
Derek Peltier,,,,,,,,,,,,,,,
Derek Smith,,,,,0.000,,,,,,,,,,
Derian Hatcher,,,,,,,,,,,,,,,
Derrick Pouliot,,,,,,,,0.012,,,0.009,0.014,,,
Deryk Engelland,,,,,,,,,,,,,,,
Devon Toews,,,,,,,,,,,,0.012,0.006,0.022,0.018
Dick Tarnstrom,0.006,,,,,,,,,,,,,,
Dillon Heatherington,,,,,,,,,,,,,,,
Dion Phaneuf,0.022,0.009,0.015,0.012,0.024,0.018,0.008,0.008,0.000,0.019,0.026,0.000,,,
Dmitri Kalinin,0.010,0.012,,,,,,,,,,,,,
Dmitry Korobov,,,,,,,,,,,,,,,
Dmitry Kulikov,,,0.005,0.005,0.012,0.024,0.010,0.009,0.000,0.024,,,,,
Dmitry Orlov,,,,,0.000,,,,0.000,0.011,0.000,0.000,0.010,0.000,0.027
Doug Janik,,,,,,,,,,,,,,,
Dougie Hamilton,,,,,,0.025,0.016,0.028,0.025,0.011,0.027,0.013,0.013,0.012,0.013
Douglas Murray,,,0.025,,,,,,,,,,,,
Drew Doughty,,0.010,0.025,0.016,0.010,0.020,0.020,0.004,0.036,0.019,0.012,0.029,0.024,0.033,0.032
Drew Fata,,,,,,,,,,,,,,,
Duncan Keith,0.006,0.011,0.013,0.012,0.004,0.016,0.012,0.011,0.021,0.008,0.009,0.000,0.014,0.008,0.000
Duncan Siemens,,,,,,,,,,,,,,,
Dustin Byfuglien,0.027,0.014,0.027,0.024,0.017,0.026,0.030,0.019,0.011,0.004,0.019,0.008,,,
Duvie Westcott,0.013,,,,,,,,,,,,,,
Dylan Coghlan,,,,,,,,,,,,,,,0.033
Dylan DeMelo,,,,,,,,,0.040,0.000,,0.000,0.000,,
Dylan McIlrath,,,,,,,,,,,,,,,
Dylan Olsen,,,,,,,,,,,,,,,
Dylan Reese,,,,,,,,,,,,,,,
Dylan Samberg,,,,,,,,,,,,,,,
Dysin Mayo,,,,,,,,,,,,,,,
Ed Jovanovski,0.023,0.018,0.026,0.017,0.009,,0.000,,,,,,,,
Egor Yakovlev,,,,,,,,,,,,,,,
Egor Zamula,,,,,,,,,,,,,,,
Eric Brewer,0.000,0.015,0.000,0.000,0.000,,,,,,,,,,
Eric Gelinas,,,,,,,0.034,0.022,0.019,,,,,,
Eric Gryba,,,,,,,,,,,,,,,
Erik Brannstrom,,,,,,,,,,,,,0.000,0.019,0.000
Erik Burgdoerfer,,,,,,,,,,,,,,,
Erik Cernak,,,,,,,,,,,,,,,
Erik Gudbranson,,,,,0.000,,0.000,0.000,,,,,,,
Erik Gustafsson,,,,,,0.000,,,0.000,,0.000,0.017,0.011,0.000,0.000
Erik Johnson,0.016,,0.023,0.014,0.006,0.000,0.009,0.024,0.020,0.000,0.000,,,,
Erik Karlsson,,,0.005,0.015,0.009,0.026,0.015,0.015,0.003,0.014,0.013,0.012,0.006,0.020,0.000
Erik Reitz,,,,,,,,,,,,,,,
Esa Lindell,,,,,,,,,,0.000,0.016,0.042,0.013,0.000,0.000
