Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,,,,,,,,0.004,0.009,0.005,0.011,0.014,0.040,0.015,0.023
Aaron Johnson,0.000,,0.000,,0.021,,,,,,,,,,
Aaron Miller,,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Rome,,,,,,,,,,,,,,,
Aaron Ward,0.000,,,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.011,0.017,0.010
Adam Clendening,,,,,,,,0.023,,0.000,,,,,
Adam Foote,0.000,,,,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.051,0.035,0.082
Adam Larsson,,,,,0.028,,,,,,,,,,
Adam McQuaid,,,,,,,,,,,,,,,
Adam Pardy,,,,,,,,,,,,,,,
Adam Pelech,,,,,,,,,,,,,,,
Adrian Aucoin,0.021,0.006,0.019,0.000,0.000,,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alec Martinez,,,,0.019,0.033,0.000,0.016,0.028,0.039,0.040,0.040,0.027,0.028,0.013,
Alec Regula,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,,,,,,,
Alex Goligoski,,0.017,0.023,0.024,0.018,0.051,0.022,0.029,0.012,0.017,0.033,0.021,0.015,0.036,0.023
Alex Grant,,,,,,,,,,,,,,,
Alex Petrovic,,,,,,,,,,,,,,,
Alex Pietrangelo,,,,0.013,0.043,0.022,0.039,0.030,0.012,0.020,0.017,0.020,0.041,0.009,0.034
Alex Plante,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alexander Edler,0.016,0.015,0.043,0.031,0.025,0.012,0.022,0.018,0.006,0.014,0.045,0.062,0.029,,
Alexander Romanov,,,,,,,,,,,,,,0.024,
Alexander Sulzer,,,,0.023,,,,,,,,,,,
Alexander Urbom,,,,,,,,,,,,,,,
Alexandre Carrier,,,,,,,,,,,,,,,0.039
Alexandre Picard,0.000,0.006,0.012,0.000,,,,,,,,,,,
Alexei Emelin,,,,,,,0.028,,,,,,,,
Alexei Semenov,0.000,,,,,,,,,,,,,,
Alexei Zhitnik,0.017,,,,,,,,,,,,,,
Alexey Marchenko,,,,,,,,,,,,,,,
Allan Rourke,,,,,,,,,,,,,,,
Anders Eriksson,0.016,,,,,,,,,,,,,,
Andre Benoit,,,,,,0.000,0.016,0.014,,,,,,,
Andreas Borgman,,,,,,,,,,,,,,,
Andreas Englund,,,,,,,,,,,,,,,
Andreas Lilja,,,,,,,,,,,,,,,
Andrei Markov,0.023,0.042,0.045,,0.021,0.048,0.022,0.053,0.018,0.062,,,,,
Andrei Zyuzin,0.016,,,,,,,,,,,,,,
Andrej Meszaros,0.027,0.015,0.030,0.010,0.011,,0.000,0.000,,,,,,,
Andrej Sekera,0.047,0.028,0.000,0.019,0.000,0.000,0.040,0.015,0.037,0.011,0.029,,,,
Andrej Sustr,,,,,,,,,,,,,,,
Andrew Alberts,,,,,,,,,,,,,,,
Andrew Bodnarchuk,,,,,,,,,,,,,,,
Andrew Campbell,,,,,,,,,,,,,,,
Andrew Ference,0.016,0.028,0.000,,0.022,,,,,,,,,,
Andrew Hutchinson,,,,,,,,,,,,,,,
Andrew MacDonald,,,0.000,0.033,0.000,0.014,0.021,0.025,,,,,,,
Andrew MacWilliam,,,,,,,,,,,,,,,
Andrew Peeke,,,,,,,,,,,,,,,
Andrey Pedan,,,,,,,,,,,,,,,
Andrey Zubarev,,,,,,,,,,,,,,,
Andy Greene,0.017,0.000,0.015,0.028,,0.021,0.025,0.023,,0.038,,,,,
Andy Sutton,0.000,,,,,,,,,,,,,,
Andy Welinski,,,,,,,,,,,,,,,
Andy Wozniewski,,,,,,,,,,,,,,,
Anssi Salmela,,0.000,,,,,,,,,,,,,
Anthony Bitetto,,,,,,,,,,,,,,,
Anthony DeAngelo,,,,,,,,,,0.021,,,,,
Anton Babchuk,,0.024,,0.019,0.025,,,,,,,,,,
Anton Belov,,,,,,,0.013,,,,,,,,
Anton Lindholm,,,,,,,,,,,,,,,
Anton Stralman,0.014,0.020,0.015,0.020,0.047,0.000,,0.029,0.024,0.025,0.000,,,,
Anton Volchenkov,,,,,,,,,,,,,,,
Artem Zub,,,,,,,,,,,,,,,
Arturs Kulda,,,,,,,,,,,,,,,
Ashton Sautner,,,,,,,,,,,,,,,
Austin Strand,,,,,,,,,,,,,,,
Barret Jackman,0.008,0.000,,,,,,,,,,,,,
Ben Chiarot,,,,,,,,,,,,,,,0.000
Ben Gleason,,,,,,,,,,,,,,,
Ben Harpur,,,,,,,,,,,,,,,
Ben Hutton,,,,,,,,,0.006,0.021,0.016,0.039,,,
Ben Lovejoy,,,,,,,,,,,,,,,
Ben Thomas,,,,,,,,,,,,,,,
Blake Hillman,,,,,,,,,,,,,,,
Bobby Allen,,,,,,,,,,,,,,,
Bobby Sanguinetti,,,,,,,,,,,,,,,
Bogdan Kiselevich,,,,,,,,,,,,,,,
Boris Valabik,,,,,,,,,,,,,,,
Bowen Byram,,,,,,,,,,,,,,,
Brad Hunt,,,,,,,,,,,0.046,0.000,0.030,,0.037
Brad Lukowich,,,,,,,,,,,,,,,
Brad Stuart,0.019,,0.022,0.025,,,,,,,,,,,
Braden Schneider,,,,,,,,,,,,,,,
Brady Keeper,,,,,,,,,,,,,,,
Brady Skjei,,,,,,,,,,0.009,0.030,,,,
Brandon Carlo,,,,,,,,,,,,,,,
Brandon Davidson,,,,,,,,,,,,,,,
Brandon Gormley,,,,,,,,,,,,,,,
Brandon Manning,,,,,,,,,,,,,,,
Brandon Montour,,,,,,,,,,0.020,0.017,0.000,0.029,,0.027
Branislav Mezei,,,,,,,,,,,,,,,
Brayden McNabb,,,,,,,,0.026,,,,,,,
Braydon Coburn,0.020,0.009,0.014,0.000,,,,,,,,,,,
Brendan Bell,,0.031,,,,,,,,,,,,,
Brendan Guhle,,,,,,,,,,,,,,,
Brendan Mikkelson,,,,,0.018,,,,,,,,,,
Brendan Smith,,,,,,0.000,,,0.000,0.044,,,,,
Brendan Witt,,,,,,,,,,,,,,,
Brenden Dillon,,,,,,,,,,,,,,,
Brennan Menell,,,,,,,,,,,,,,,
Brent Burns,0.023,0.037,0.027,0.012,0.027,0.017,0.020,0.032,0.030,0.037,0.040,0.041,0.041,0.014,0.050
Brent Regner,,,,,,,,,,,,,,,
Brent Seabrook,0.005,0.010,0.023,0.027,0.000,0.018,0.018,0.020,0.030,0.042,0.006,0.024,,,
Brent Sopel,0.016,,,,,,,,,,,,,,
Bret Hedican,0.024,0.000,,,,,,,,,,,,,
Brett Bellemore,,,,,,,,,,,,,,,
Brett Carson,,,0.016,,,,,,,,,,,,
Brett Clark,0.016,0.006,0.006,0.029,0.000,,,,,,,,,,
Brett Festerling,,,,,,,,,,,,,,,
Brett Kulak,,,,,,,,,,,,,,,
Brett Lebda,0.018,,,0.000,,,,,,,,,,,
Brett Lernout,,,,,,,,,,,,,,,
Brett Pesce,,,,,,,,,0.030,0.000,,,,0.063,0.063
Brett Skinner,,,,,,,,,,,,,,,
Brian Campbell,0.040,0.036,0.015,0.015,0.047,0.011,0.022,0.028,0.018,0.008,,,,,
Brian Dumoulin,,,,,,,,,0.000,0.054,,,,,
Brian Fahey,,,,,,,,,,,,,,,
Brian Lashoff,,,,,,,,,,,,,,,
Brian Lee,,0.014,,,,,,,,,,,,,
Brian Pothier,0.044,,0.011,,,,,,,,,,,,
Brian Rafalski,0.015,0.034,0.024,0.018,,,,,,,,,,,
Brian Salcido,,,,,,,,,,,,,,,
Brian Strait,,,,,,,,,,,,,,,
Brooks Orpik,0.000,0.000,,,,,,,,,,,,,
Bruno Gervais,0.024,0.023,0.013,,0.028,,,,,,,,,,
Bryan Allen,0.027,,,,,,,,,,,,,,
Bryan Berard,0.009,,,,,,,,,,,,,,
Bryan Helmer,,,,,,,,,,,,,,,
Bryan McCabe,0.024,0.012,0.018,0.016,,,,,,,,,,,
Bryan Rodney,,,0.036,,,,,,,,,,,,
Bryce Salvador,,,,,,,,,,,,,,,
Cade Fairchild,,,,,,,,,,,,,,,
Cal Foote,,,,,,,,,,,,,,,
Cale Fleury,,,,,,,,,,,,,,,
Cale Makar,,,,,,,,,,,,,0.042,0.066,0.041
Caleb Jones,,,,,,,,,,,,,,,
Calen Addison,,,,,,,,,,,,,,,
Calle Rosen,,,,,,,,,,,,,,,
Calvin de Haan,,,,,,,0.015,,,0.000,,,,,
Cam Barker,0.016,0.039,0.007,0.000,0.000,,,,,,,,,,
Cam Dineen,,,,,,,,,,,,,,,
Cam Fowler,,,,0.033,0.013,0.011,0.025,0.010,0.029,0.008,0.000,0.020,0.013,0.000,0.049
Cam York,,,,,,,,,,,,,,,0.044
Cameron Gaunce,,,,,,,,,,,,,,,
Carl Dahlstrom,,,,,,,,,,,,,,,
Carl Gunnarsson,,,0.000,0.000,0.011,,,,,,,,,,
Carlo Colaiacovo,,0.028,0.010,0.028,0.008,,0.032,,,,,,,,
Carson Soucy,,,,,,,,,,,,,,,0.043
Casey Borer,,,,,,,,,,,,,,,
Casey Fitzgerald,,,,,,,,,,,,,,,
Casey Nelson,,,,,,,,,,,,,,,
Chad Billins,,,,,,,,,,,,,,,
Chad Ruhwedel,,,,,,,,,,0.062,,,,,
Charlie McAvoy,,,,,,,,,,,0.008,0.000,0.000,0.020,0.029
Chase Priskie,,,,,,,,,,,,,,,
Chay Genoway,,,,,,,,,,,,,,,
Chris Bigras,,,,,,,,,,,,,,,
Chris Butler,,,0.029,0.017,0.020,,,,,,,,,,
Chris Campoli,0.028,0.021,0.000,0.000,0.000,,,,,,,,,,
Chris Chelios,,,,,,,,,,,,,,,
Chris Phillips,,0.019,0.019,,0.000,0.000,0.042,,,,,,,,
Chris Pronger,0.028,0.033,0.023,0.027,0.056,,,,,,,,,,
Chris Summers,,,,,,,,,,,,,,,
Chris Wideman,,,,,,,,,0.025,0.026,0.000,0.000,,,0.038
