Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,,,,,,,,0.026,0.018,0.016,0.023,0.022,0.020,0.022,0.056
Aaron Johnson,0.018,,0.026,,0.000,,,,,,,,,,
Aaron Miller,,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Rome,,,,,,,,,,,,,,,
Aaron Ward,0.026,,,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.011,0.044,0.020
Adam Clendening,,,,,,,,0.023,,0.022,,,,,
Adam Foote,0.053,,,,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.036,0.070,0.061
Adam Larsson,,,,,0.009,,,,,,,,,,
Adam McQuaid,,,,,,,,,,,,,,,
Adam Pardy,,,,,,,,,,,,,,,
Adam Pelech,,,,,,,,,,,,,,,
Adrian Aucoin,0.024,0.020,0.023,0.030,0.000,,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alec Martinez,,,,0.019,0.011,0.029,0.025,0.000,0.020,0.034,0.020,0.000,0.028,0.065,
Alec Regula,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,,,,,,,
Alex Goligoski,,0.006,0.035,0.027,0.014,0.029,0.022,0.018,0.012,0.022,0.020,0.021,0.051,0.091,0.023
Alex Grant,,,,,,,,,,,,,,,
Alex Petrovic,,,,,,,,,,,,,,,
Alex Pietrangelo,,,,0.029,0.034,0.007,0.031,0.025,0.012,0.046,0.025,0.041,0.032,0.028,0.023
Alex Plante,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alexander Edler,0.008,0.044,0.030,0.031,0.035,0.019,0.022,0.023,0.030,0.000,0.025,0.011,0.057,,
Alexander Romanov,,,,,,,,,,,,,,0.000,
Alexander Sulzer,,,,0.023,,,,,,,,,,,
Alexander Urbom,,,,,,,,,,,,,,,
Alexandre Carrier,,,,,,,,,,,,,,,0.000
Alexandre Picard,0.024,0.019,0.035,0.000,,,,,,,,,,,
Alexei Emelin,,,,,,,0.028,,,,,,,,
Alexei Semenov,0.000,,,,,,,,,,,,,,
Alexei Zhitnik,0.017,,,,,,,,,,,,,,
Alexey Marchenko,,,,,,,,,,,,,,,
Allan Rourke,,,,,,,,,,,,,,,
Anders Eriksson,0.016,,,,,,,,,,,,,,
Andre Benoit,,,,,,0.019,0.021,0.000,,,,,,,
Andreas Borgman,,,,,,,,,,,,,,,
Andreas Englund,,,,,,,,,,,,,,,
Andreas Lilja,,,,,,,,,,,,,,,
Andrei Markov,0.028,0.037,0.032,,0.021,0.018,0.031,0.027,0.029,0.006,,,,,
Andrei Zyuzin,0.000,,,,,,,,,,,,,,
Andrej Meszaros,0.018,0.015,0.000,0.005,0.000,,0.018,0.000,,,,,,,
Andrej Sekera,0.023,0.009,0.013,0.019,0.000,0.000,0.015,0.022,0.026,0.046,0.029,,,,
Andrej Sustr,,,,,,,,,,,,,,,
Andrew Alberts,,,,,,,,,,,,,,,
Andrew Bodnarchuk,,,,,,,,,,,,,,,
Andrew Campbell,,,,,,,,,,,,,,,
Andrew Ference,0.016,0.028,0.000,,0.022,,,,,,,,,,
Andrew Hutchinson,,,,,,,,,,,,,,,
Andrew MacDonald,,,0.000,0.027,0.010,0.014,0.017,0.025,,,,,,,
Andrew MacWilliam,,,,,,,,,,,,,,,
Andrew Peeke,,,,,,,,,,,,,,,
Andrey Pedan,,,,,,,,,,,,,,,
Andrey Zubarev,,,,,,,,,,,,,,,
Andy Greene,0.008,0.000,0.039,0.019,,0.021,0.025,0.000,,0.000,,,,,
Andy Sutton,0.020,,,,,,,,,,,,,,
Andy Welinski,,,,,,,,,,,,,,,
Andy Wozniewski,,,,,,,,,,,,,,,
Anssi Salmela,,0.000,,,,,,,,,,,,,
Anthony Bitetto,,,,,,,,,,,,,,,
Anthony DeAngelo,,,,,,,,,,0.042,,,,,
Anton Babchuk,,0.012,,0.014,0.000,,,,,,,,,,
Anton Belov,,,,,,,0.013,,,,,,,,
Anton Lindholm,,,,,,,,,,,,,,,
Anton Stralman,0.014,0.030,0.053,0.040,0.016,0.000,,0.029,0.028,0.025,0.000,,,,
Anton Volchenkov,,,,,,,,,,,,,,,
Artem Zub,,,,,,,,,,,,,,,
Arturs Kulda,,,,,,,,,,,,,,,
Ashton Sautner,,,,,,,,,,,,,,,
Austin Strand,,,,,,,,,,,,,,,
Barret Jackman,0.008,0.022,,,,,,,,,,,,,
Ben Chiarot,,,,,,,,,,,,,,,0.013
Ben Gleason,,,,,,,,,,,,,,,
Ben Harpur,,,,,,,,,,,,,,,
Ben Hutton,,,,,,,,,0.035,0.041,0.016,0.016,,,
Ben Lovejoy,,,,,,,,,,,,,,,
Ben Thomas,,,,,,,,,,,,,,,
Blake Hillman,,,,,,,,,,,,,,,
Bobby Allen,,,,,,,,,,,,,,,
Bobby Sanguinetti,,,,,,,,,,,,,,,
Bogdan Kiselevich,,,,,,,,,,,,,,,
Boris Valabik,,,,,,,,,,,,,,,
Bowen Byram,,,,,,,,,,,,,,,
Brad Hunt,,,,,,,,,,,0.046,0.040,0.022,,0.000
Brad Lukowich,,,,,,,,,,,,,,,
Brad Stuart,0.019,,0.000,0.000,,,,,,,,,,,
Braden Schneider,,,,,,,,,,,,,,,
Brady Keeper,,,,,,,,,,,,,,,
Brady Skjei,,,,,,,,,,0.054,0.030,,,,
Brandon Carlo,,,,,,,,,,,,,,,
Brandon Davidson,,,,,,,,,,,,,,,
Brandon Gormley,,,,,,,,,,,,,,,
Brandon Manning,,,,,,,,,,,,,,,
Brandon Montour,,,,,,,,,,0.000,0.022,0.033,0.029,,0.036
Branislav Mezei,,,,,,,,,,,,,,,
Brayden McNabb,,,,,,,,0.039,,,,,,,
Braydon Coburn,0.030,0.027,0.000,0.000,,,,,,,,,,,
Brendan Bell,,0.031,,,,,,,,,,,,,
Brendan Guhle,,,,,,,,,,,,,,,
Brendan Mikkelson,,,,,0.000,,,,,,,,,,
Brendan Smith,,,,,,0.050,,,0.000,0.000,,,,,
Brendan Witt,,,,,,,,,,,,,,,
Brenden Dillon,,,,,,,,,,,,,,,
Brennan Menell,,,,,,,,,,,,,,,
Brent Burns,0.019,0.016,0.034,0.012,0.022,0.000,0.039,0.029,0.039,0.020,0.033,0.037,0.021,0.014,0.014
Brent Regner,,,,,,,,,,,,,,,
Brent Seabrook,0.038,0.016,0.023,0.041,0.011,0.018,0.018,0.035,0.052,0.014,0.029,0.039,,,
Brent Sopel,0.000,,,,,,,,,,,,,,
Bret Hedican,0.000,0.047,,,,,,,,,,,,,
Brett Bellemore,,,,,,,,,,,,,,,
Brett Carson,,,0.016,,,,,,,,,,,,
Brett Clark,0.011,0.006,0.025,0.017,0.017,,,,,,,,,,
Brett Festerling,,,,,,,,,,,,,,,
