Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,F,12/14/1996,,,,,,,,,,,,,,,
Aaron Downey,F,8/27/1974,,,,,,,,,,,,,,,
Aaron Gagnon,F,4/24/1986,,,,,,,,,,,,,,,
Aaron Palushaj,F,9/7/1989,,,,,,,,,,,,,,,
Aaron Volpatti,F,5/30/1985,,,,,,,,,,,,,,,
Aaron Voros,F,7/2/1981,0.130,0.188,,,,,,,,,,,,,
Adam Beckman,F,5/10/2001,,,,,,,,,,,,,,,
Adam Berti,F,7/1/1986,,,,,,,,,,,,,,,
Adam Brooks,F,5/6/1996,,,,,,,,,,,,,,,
Adam Burish,F,1/6/1983,,,,,0.085,,,,,,,,,,
Adam Cracknell,F,7/15/1985,,,,,,,,,,,,,,,
Adam Erne,F,4/20/1995,,,,,,,,,,,,0.231,0.069,0.119,0.042
Adam Gaudette,F,10/3/1996,,,,,,,,,,,,0.141,0.171,0.133,0.289
Adam Hall,F,8/14/1980,,,,,,,,,,,,,,,
Adam Henrique,F,2/6/1990,,,,,0.115,0.165,0.161,0.123,0.128,0.131,0.147,0.153,0.207,0.201,0.182
Adam Lowry,F,3/29/1993,,,,,,,,0.077,,0.177,0.148,,,0.207,0.070
Adam Mair,F,2/15/1979,,,,,,,,,,,,,,,
Adam Ruzicka,F,5/11/1999,,,,,,,,,,,,,,,
Adrian Kempe,F,9/13/1996,,,,,,,,,,,0.190,0.123,0.247,0.312,0.251
Akim Aliu,F,4/24/1989,,,,,,,,,,,,,,,
Alan Quine,F,2/25/1993,,,,,,,,,,0.119,,,,,
Aleksander Barkov,F,9/2/1995,,,,,,,0.176,0.196,0.245,0.242,0.232,0.147,0.177,0.240,0.202
Aleksi Heponiemi,F,1/9/1999,,,,,,,,,,,,,,,
Aleksi Saarela,F,1/7/1997,,,,,,,,,,,,,,,
Ales Hemsky,F,8/13/1983,0.141,0.139,0.193,0.131,0.095,0.171,0.071,0.085,0.175,,,,,,
Ales Kotalik,F,12/23/1978,0.263,0.247,0.218,0.170,,,,,,,,,,,
Alex Barre-Boulet,F,5/21/1997,,,,,,,,,,,,,,0.334,
Alex Barré-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Belzile,F,8/31/1991,,,,,,,,,,,,,,,
Alex Broadhurst,F,3/7/1993,,,,,,,,,,,,,,,
Alex Chiasson,F,10/1/1990,,,,,,,0.230,0.173,0.122,0.136,0.263,0.178,0.210,0.211,0.221
Alex DeBrincat,F,12/18/1997,,,,,,,,,,,0.221,0.228,0.213,0.195,0.218
Alex Formenton,F,9/13/1999,,,,,,,,,,,,,,,0.113
Alex Frolov,F,6/19/1982,0.144,0.166,0.188,0.134,,,,,,,,,,,
Alex Galchenyuk,F,2/12/1994,,,,,,0.281,0.239,0.222,0.227,0.181,0.340,0.270,0.220,0.280,0.180
Alex Iafallo,F,12/21/1993,,,,,,,,,,,0.082,0.237,0.180,0.173,0.197
Alex Khokhlachev,F,9/9/1993,,,,,,,,,,,,,,,
Alex Killorn,F,9/14/1989,,,,,,0.139,0.167,0.101,0.195,0.149,0.141,0.126,0.156,0.165,0.142
Alex Kovalev,F,2/24/1973,0.243,0.212,0.166,0.220,,0.195,,,,,,,,,
Alex Newhook,F,1/28/2001,,,,,,,,,,,,,,,0.181
Alex Nylander,F,3/2/1998,,,,,,,,,,,,,0.086,,
Alex Ovechkin,F,9/17/1985,0.291,0.432,0.288,0.283,0.287,0.353,0.349,0.434,0.422,0.330,0.348,0.334,0.296,0.356,0.382
Alex Tanguay,F,11/21/1979,0.067,0.118,0.071,0.113,0.121,0.088,0.084,0.137,0.138,,,,,,
Alex Tuch,F,5/10/1996,,,,,,,,,,,0.231,0.176,0.177,0.125,0.116
Alex Turcotte,F,2/26/2001,,,,,,,,,,,,,,,
Alex Wennberg,F,9/22/1994,,,,,,,,,,,,,,0.122,0.127
Alexander Barabanov,F,6/17/1994,,,,,,,,,,,,,,,0.146
