Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,,,,,,,,0.172,0.172,0.336,0.182,0.267,0.172,0.274,0.200
Aaron Johnson,0.036,,0.078,,0.250,,,,,,,,,,
Aaron Miller,,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Rome,,,,,,,,,,,,,,,
Aaron Ward,0.130,,,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.146,0.105,0.099
Adam Clendening,,,,,,,,0.046,,0.087,,,,,
Adam Foote,0.080,,,,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.168,0.136,0.165
Adam Larsson,,,,,0.083,,,,,,,,,,
Adam McQuaid,,,,,,,,,,,,,,,
Adam Pardy,,,,,,,,,,,,,,,
Adam Pelech,,,,,,,,,,,,,,,
Adrian Aucoin,0.145,0.105,0.149,0.107,0.142,,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alec Martinez,,,,0.218,0.231,0.029,0.206,0.165,0.247,0.232,0.147,0.164,0.198,0.259,
Alec Regula,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,,,,,,,
Alex Goligoski,,0.117,0.115,0.126,0.158,0.103,0.170,0.082,0.094,0.073,0.078,0.112,0.081,0.054,0.034
Alex Grant,,,,,,,,,,,,,,,
Alex Petrovic,,,,,,,,,,,,,,,
Alex Pietrangelo,,,,0.147,0.205,0.157,0.157,0.213,0.143,0.173,0.216,0.138,0.236,0.156,0.216
Alex Plante,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alexander Edler,0.176,0.174,0.168,0.186,0.255,0.242,0.217,0.198,0.178,0.178,0.190,0.198,0.115,,
Alexander Romanov,,,,,,,,,,,,,,0.097,
Alexander Sulzer,,,,0.158,,,,,,,,,,,
Alexander Urbom,,,,,,,,,,,,,,,
Alexandre Carrier,,,,,,,,,,,,,,,0.116
Alexandre Picard,0.122,0.181,0.176,0.158,,,,,,,,,,,
Alexei Emelin,,,,,,,0.140,,,,,,,,
Alexei Semenov,0.193,,,,,,,,,,,,,,
Alexei Zhitnik,0.100,,,,,,,,,,,,,,
Alexey Marchenko,,,,,,,,,,,,,,,
Allan Rourke,,,,,,,,,,,,,,,
Anders Eriksson,0.079,,,,,,,,,,,,,,
Andre Benoit,,,,,,0.206,0.171,0.083,,,,,,,
Andreas Borgman,,,,,,,,,,,,,,,
Andreas Englund,,,,,,,,,,,,,,,
Andreas Lilja,,,,,,,,,,,,,,,
Andrei Markov,0.148,0.201,0.162,,0.144,0.158,0.126,0.118,0.118,0.105,,,,,
Andrei Zyuzin,0.195,,,,,,,,,,,,,,
Andrej Meszaros,0.206,0.163,0.202,0.163,0.213,,0.165,0.199,,,,,,,
Andrej Sekera,0.070,0.129,0.118,0.138,0.210,0.125,0.202,0.127,0.238,0.200,0.057,,,,
Andrej Sustr,,,,,,,,,,,,,,,
Andrew Alberts,,,,,,,,,,,,,,,
Andrew Bodnarchuk,,,,,,,,,,,,,,,
Andrew Campbell,,,,,,,,,,,,,,,
Andrew Ference,0.127,0.197,0.139,,0.217,,,,,,,,,,
Andrew Hutchinson,,,,,,,,,,,,,,,
Andrew MacDonald,,,0.127,0.119,0.108,0.122,0.122,0.184,,,,,,,
Andrew MacWilliam,,,,,,,,,,,,,,,
Andrew Peeke,,,,,,,,,,,,,,,
Andrey Pedan,,,,,,,,,,,,,,,
Andrey Zubarev,,,,,,,,,,,,,,,
Andy Greene,0.158,0.094,0.123,0.123,,0.147,0.153,0.045,,0.075,,,,,
Andy Sutton,0.198,,,,,,,,,,,,,,
Andy Welinski,,,,,,,,,,,,,,,
Andy Wozniewski,,,,,,,,,,,,,,,
Anssi Salmela,,0.247,,,,,,,,,,,,,
Anthony Bitetto,,,,,,,,,,,,,,,
Anthony DeAngelo,,,,,,,,,,0.157,,,,,
Anton Babchuk,,0.225,,0.205,0.225,,,,,,,,,,
Anton Belov,,,,,,,0.146,,,,,,,,
Anton Lindholm,,,,,,,,,,,,,,,
Anton Stralman,0.123,0.108,0.175,0.179,0.093,0.155,,0.064,0.076,0.098,0.062,,,,
Anton Volchenkov,,,,,,,,,,,,,,,
Artem Zub,,,,,,,,,,,,,,,
Arturs Kulda,,,,,,,,,,,,,,,
Ashton Sautner,,,,,,,,,,,,,,,
Austin Strand,,,,,,,,,,,,,,,
Barret Jackman,0.104,0.177,,,,,,,,,,,,,
Ben Chiarot,,,,,,,,,,,,,,,0.067
Ben Gleason,,,,,,,,,,,,,,,
Ben Harpur,,,,,,,,,,,,,,,
Ben Hutton,,,,,,,,,0.146,0.157,0.211,0.071,,,
Ben Lovejoy,,,,,,,,,,,,,,,
Ben Thomas,,,,,,,,,,,,,,,
Blake Hillman,,,,,,,,,,,,,,,
Bobby Allen,,,,,,,,,,,,,,,
Bobby Sanguinetti,,,,,,,,,,,,,,,
Bogdan Kiselevich,,,,,,,,,,,,,,,
Boris Valabik,,,,,,,,,,,,,,,
Bowen Byram,,,,,,,,,,,,,,,
Brad Hunt,,,,,,,,,,,0.213,0.237,0.217,,0.128
Brad Lukowich,,,,,,,,,,,,,,,
Brad Stuart,0.204,,0.305,0.126,,,,,,,,,,,
Braden Schneider,,,,,,,,,,,,,,,
Brady Keeper,,,,,,,,,,,,,,,
Brady Skjei,,,,,,,,,,0.117,0.172,,,,
Brandon Carlo,,,,,,,,,,,,,,,
Brandon Davidson,,,,,,,,,,,,,,,
Brandon Gormley,,,,,,,,,,,,,,,
Brandon Manning,,,,,,,,,,,,,,,
Brandon Montour,,,,,,,,,,0.196,0.167,0.133,0.144,,0.125
Branislav Mezei,,,,,,,,,,,,,,,
Brayden McNabb,,,,,,,,0.131,,,,,,,
Braydon Coburn,0.122,0.163,0.163,0.158,,,,,,,,,,,
Brendan Bell,,0.147,,,,,,,,,,,,,
Brendan Guhle,,,,,,,,,,,,,,,
Brendan Mikkelson,,,,,0.126,,,,,,,,,,
Brendan Smith,,,,,,0.100,,,0.237,0.220,,,,,
Brendan Witt,,,,,,,,,,,,,,,
Brenden Dillon,,,,,,,,,,,,,,,
Brennan Menell,,,,,,,,,,,,,,,
Brent Burns,0.161,0.258,0.169,0.193,0.225,0.297,0.282,0.250,0.270,0.285,0.236,0.225,0.316,0.246,0.218
Brent Regner,,,,,,,,,,,,,,,
Brent Seabrook,0.130,0.135,0.234,0.109,0.203,0.191,0.184,0.271,0.215,0.192,0.169,0.244,,,
Brent Sopel,0.080,,,,,,,,,,,,,,
Bret Hedican,0.072,0.189,,,,,,,,,,,,,
Brett Bellemore,,,,,,,,,,,,,,,
Brett Carson,,,0.098,,,,,,,,,,,,
Brett Clark,0.153,0.168,0.169,0.135,0.060,,,,,,,,,,
Brett Festerling,,,,,,,,,,,,,,,
Brett Kulak,,,,,,,,,,,,,,,
Brett Lebda,0.163,,,0.096,,,,,,,,,,,
Brett Lernout,,,,,,,,,,,,,,,
Brett Pesce,,,,,,,,,0.195,0.197,,,,0.085,0.188
Brett Skinner,,,,,,,,,,,,,,,
Brian Campbell,0.151,0.101,0.158,0.112,0.106,0.140,0.103,0.153,0.095,0.123,,,,,
Brian Dumoulin,,,,,,,,,0.083,0.109,,,,,
Brian Fahey,,,,,,,,,,,,,,,
Brian Lashoff,,,,,,,,,,,,,,,
Brian Lee,,0.115,,,,,,,,,,,,,
Brian Pothier,0.116,,0.164,,,,,,,,,,,,
Brian Rafalski,0.192,0.164,0.137,0.178,,,,,,,,,,,
