Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,,,,,,,,,,,,,,,
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,,,,,,,,,,,
Aaron Volpatti,,,,,,,,,,,,,,,
Aaron Voros,0.129,0.188,,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Berti,,,,,,,,,,,,,,,
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,,,,,0.085,,,,,,,,,,
Adam Cracknell,,,,,,,,,,,,,,,
Adam Erne,,,,,,,,,,,,0.216,0.060,0.115,0.041
Adam Gaudette,,,,,,,,,,,,0.117,0.157,0.125,0.285
Adam Hall,,,,,,,,,,,,,,,
Adam Henrique,,,,,0.081,0.142,0.146,0.114,0.124,0.130,0.147,0.153,0.206,0.198,0.177
Adam Lowry,,,,,,,,0.043,,0.162,0.139,,,0.207,0.070
Adam Mair,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Kempe,,,,,,,,,,,0.156,0.100,0.232,0.304,0.247
Akim Aliu,,,,,,,,,,,,,,,
Alan Quine,,,,,,,,,,0.104,,,,,
Aleksander Barkov,,,,,,,0.090,0.131,0.197,0.208,0.209,0.132,0.169,0.235,0.201
Aleksi Heponiemi,,,,,,,,,,,,,,,
Aleksi Saarela,,,,,,,,,,,,,,,
Ales Hemsky,0.133,0.134,0.192,0.131,0.095,0.170,0.068,0.080,0.166,,,,,,
Ales Kotalik,0.262,0.244,0.213,0.161,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,0.319,
Alex Barré-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Broadhurst,,,,,,,,,,,,,,,
Alex Chiasson,,,,,,,0.215,0.165,0.117,0.135,0.263,0.178,0.209,0.208,0.215
Alex DeBrincat,,,,,,,,,,,0.173,0.194,0.190,0.180,0.209
Alex Formenton,,,,,,,,,,,,,,,0.090
Alex Frolov,0.140,0.164,0.188,0.134,,,,,,,,,,,
Alex Galchenyuk,,,,,,0.196,0.174,0.174,0.193,0.158,0.325,0.261,0.216,0.278,0.180
Alex Iafallo,,,,,,,,,,,0.074,0.233,0.178,0.173,0.197
Alex Khokhlachev,,,,,,,,,,,,,,,
Alex Killorn,,,,,,0.124,0.158,0.097,0.193,0.149,0.141,0.125,0.153,0.159,0.133
Alex Kovalev,0.225,0.188,0.137,0.183,,0.141,,,,,,,,,
Alex Newhook,,,,,,,,,,,,,,,0.134
Alex Nylander,,,,,,,,,,,,,0.052,,
Alex Ovechkin,0.268,0.417,0.280,0.279,0.286,0.353,0.349,0.433,0.419,0.324,0.339,0.321,0.279,0.332,0.352
Alex Tanguay,0.067,0.117,0.068,0.107,0.112,0.075,0.066,0.114,0.108,,,,,,
Alex Tuch,,,,,,,,,,,0.197,0.153,0.162,0.116,0.112
Alex Turcotte,,,,,,,,,,,,,,,
Alex Wennberg,,,,,,,,,,,,,,0.120,0.127
Alexander Barabanov,,,,,,,,,,,,,,,0.146
Alexander Burmistrov,,,,,0.096,0.076,,,0.026,0.213,,,,,
Alexander Holtz,,,,,,,,,,,,,,,
Alexander Kerfoot,,,,,,,,,,,0.113,0.086,0.133,0.088,
Alexander Nikulin,,,,,,,,,,,,,,,
Alexander Nylander,,,,,,,,,,,,,,,
Alexander Radulov,0.123,,,,,,,,,0.083,0.180,0.202,0.242,0.125,0.134
Alexander Semin,0.220,0.144,0.217,0.183,0.118,0.210,0.225,0.117,0.032,,,,,,
