Player,Model I,Model II,2021-22 Actual Score
Keith Yandle,0.1692,0.1742,0.2350
John Carlson,0.1292,0.1409,0.1385
Torey Krug,0.1483,0.1401,0.1666
Brent Burns,0.2548,0.2492,0.2178
Victor Hedman,0.1536,0.1670,0.1819
Tyson Barrie,0.1005,0.1043,0.1725
Drew Doughty,0.2272,0.2260,0.2106
Mark Giordano,0.1815,0.1803,0.1839
Morgan Rielly,0.1349,0.1341,0.1424
Erik Karlsson,0.1312,0.1299,0.1273
John Klingberg,0.1585,0.1625,0.1810
Rasmus Dahlin,0.2070,0.2124,0.1221
Kris Letang,0.1161,0.1090,0.1208
Oliver Ekman-Larsson,0.1436,0.1475,0.1932
Jacob Trouba,0.1615,0.1661,0.2033
Erik Gustafsson,0.1296,0.1247,0.1770
Rasmus Ristolainen,0.1236,0.1186,0.1771
Thomas Chabot,0.1204,0.1114,0.0784
Ryan Suter,0.1225,0.1268,0.1507
Alex Pietrangelo,0.1683,0.1688,0.2163
Zach Werenski,0.1205,0.0899,0.2050
Shayne Gostisbehere,0.2190,0.2328,0.1399
Will Butcher,0.1069,0.1257,0.1190
Colin Miller,0.1730,0.1856,0.1999
Neal Pionk,0.1589,0.1599,0.1552
Roman Josi,0.2225,0.2068,0.2316
Matt Dumba,0.2330,0.2085,0.1908
Damon Severson,0.1576,0.1339,0.1782
Jeff Petry,0.1704,0.1779,0.1210
Jared Spurgeon,0.1131,0.1195,0.1013
P.K. Subban,0.1942,0.1995,0.0915
Nick Leddy,0.1056,0.1087,0.0653
Justin Faulk,0.2128,0.2166,0.0581
Seth Jones,0.1147,0.1191,0.1250
Josh Morrissey,0.1196,0.1262,0.2091
Aaron Ekblad,0.2300,0.2448,0.2005
Shea Theodore,0.2038,0.2084,0.1091
Darnell Nurse,0.1274,0.1397,0.1819
Ryan Pulock,0.1845,0.1732,0.1387
Samuel Girard,0.0829,0.0849,0.0408
Nate Schmidt,0.1303,0.1238,0.1715
Colin White,0.0729,0.0865,0.2686
Vince Dunn,0.1656,0.1468,0.1365
Jakob Chychrun,0.2561,0.2709,0.2493
Miro Heiskanen,0.1815,0.1815,0.1619
Alex Goligoski,0.0677,0.0613,0.0344
Kevin Shattenkirk,0.1791,0.1746,0.2155
Tyler Myers,0.1558,0.1605,0.1301
Mattias Ekholm,0.1264,0.1320,0.1521
Dougie Hamilton,0.2371,0.2259,0.1831
Esa Lindell,0.1382,0.1427,0.2033
Jordan Oesterle,0.0519,0.0456,0.0000
Justin Schultz,0.1389,0.1451,0.1317
Cam Fowler,0.1542,0.1478,0.1718
Mike Matheson,0.1338,0.1497,0.1916
Matt Grzelcyk,0.0940,0.0907,0.0483
Mikhail Sergachev,0.1860,0.1810,0.1851
Ryan Ellis,0.1792,0.1714,0.1508
Travis Sanheim,0.1408,0.1352,0.0365
Noah Hanifin,0.1204,0.1236,0.1810
Filip Hronek,0.1501,0.1466,0.1352
TJ Brodie,0.0823,0.0957,0.0000
Devon Toews,0.1139,0.1070,0.1233
Duncan Keith,0.1405,0.1406,0.0730
Alec Martinez,0.2002,0.2109,0.0000
Rasmus Andersson,0.1654,0.1734,0.1769
Ivan Provorov,0.1643,0.1578,0.1583
Charlie McAvoy,0.1133,0.1042,0.0946
Quinn Hughes,0.1764,0.1756,0.1749
Dmitry Orlov,0.1054,0.1216,0.1350
Mike Reilly,0.1676,0.1874,0.1906
Jonas Brodin,0.0761,0.0791,0.1271
Sean Walker,0.1449,0.1298,0.1887
Brett Pesce,0.0761,0.0806,0.1879
Jake Bean,0.1801,0.1825,0.0792
Erik Brannstrom,0.1556,0.1531,0.0266
Cale Makar,0.1934,0.1989,0.1905
Adam Fox,0.1571,0.1530,0.1650
John Marino,0.0783,0.0929,0.1038
Adam Boqvist,0.1474,0.1403,0.0992
Noah Dobson,0.1433,0.1473,0.1614
Mario Ferraro,0.0881,0.0918,0.0842
Ty Smith,0.1625,0.1675,0.0464
K'Andre Miller,0.0908,0.0962,0.1717
Alexander Romanov,0.1123,0.1151,0.0000
Jamie Drysdale,0.1645,0.1669,0.1077
