Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,,,,,,,,,,,,,,,
Aaron Ekblad,,,,,,,,0.470,0.481,0.538,0.421,0.649,0.567,0.561,0.524
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Johnson,0.200,,0.333,,0.571,,,,,,,,,,
Aaron Miller,,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,,,,,,,,,,,
Aaron Rome,,,,,,,,,,,,,,,
Aaron Volpatti,,,,,,,,,,,,,,,
Aaron Voros,0.556,0.696,,,,,,,,,,,,,
Aaron Ward,0.600,,,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Berti,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.542,0.500,0.455
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,,,,,0.750,,,,,,,,,,
Adam Clendening,,,,,,,,0.200,,0.364,,,,,
Adam Cracknell,,,,,,,,,,,,,,,
Adam Erne,,,,,,,,,,,,0.875,0.750,1.000,0.750
Adam Foote,0.300,,,,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.500,0.587,0.559
Adam Gaudette,,,,,,,,,,,,0.500,0.560,0.500,0.760
Adam Hall,,,,,,,,,,,,,,,
Adam Henrique,,,,,0.526,0.533,0.706,0.517,0.684,0.703,0.577,0.547,0.680,0.667,0.629
Adam Larsson,,,,,0.333,,,,,,,,,,
Adam Lowry,,,,,,,,0.250,,0.639,0.625,,,0.563,0.625
Adam Mair,,,,,,,,,,,,,,,
Adam McQuaid,,,,,,,,,,,,,,,
Adam Pardy,,,,,,,,,,,,,,,
Adam Pelech,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Aucoin,0.436,0.450,0.433,0.412,0.455,,,,,,,,,,
Adrian Kempe,,,,,,,,,,,0.483,0.458,0.563,0.521,0.483
Akim Aliu,,,,,,,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alan Quine,,,,,,,,,,0.700,,,,,
Alec Martinez,,,,0.404,0.488,0.125,0.417,0.340,0.458,0.427,0.431,0.429,0.500,0.625,
Alec Regula,,,,,,,,,,,,,,,
Aleksander Barkov,,,,,,,0.565,0.700,0.673,0.638,0.644,0.644,0.633,0.627,0.516
Aleksi Heponiemi,,,,,,,,,,,,,,,
Aleksi Saarela,,,,,,,,,,,,,,,
Ales Hemsky,0.585,0.577,0.593,0.500,0.467,0.630,0.480,0.400,0.606,,,,,,
Ales Kotalik,0.607,0.505,0.465,0.545,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,0.650,
Alex Barré-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,,,,,,,
Alex Broadhurst,,,,,,,,,,,,,,,
Alex Chiasson,,,,,,,0.655,0.706,0.769,0.636,0.909,0.708,0.732,0.718,0.844
Alex DeBrincat,,,,,,,,,,,0.439,0.531,0.541,0.556,0.517
Alex Formenton,,,,,,,,,,,,,,,0.375
Alex Frolov,0.537,0.489,0.648,0.619,,,,,,,,,,,
Alex Galchenyuk,,,,,,0.588,0.590,0.534,0.494,0.550,0.605,0.625,0.636,0.563,0.750
Alex Goligoski,,0.447,0.423,0.359,0.427,0.359,0.517,0.378,0.405,0.448,0.343,0.457,0.500,0.429,0.333
Alex Grant,,,,,,,,,,,,,,,
Alex Iafallo,,,,,,,,,,,0.375,0.689,0.646,0.675,0.614
