Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,,,,,,,,0.470,0.481,0.538,0.421,0.649,0.567,0.561,0.524
Aaron Johnson,0.200,,0.333,,0.571,,,,,,,,,,
Aaron Miller,,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Rome,,,,,,,,,,,,,,,
Aaron Ward,0.600,,,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.542,0.500,0.455
Adam Clendening,,,,,,,,0.200,,0.364,,,,,
Adam Foote,0.300,,,,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.500,0.587,0.559
Adam Larsson,,,,,0.333,,,,,,,,,,
Adam McQuaid,,,,,,,,,,,,,,,
Adam Pardy,,,,,,,,,,,,,,,
Adam Pelech,,,,,,,,,,,,,,,
Adrian Aucoin,0.436,0.450,0.433,0.412,0.455,,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alec Martinez,,,,0.404,0.488,0.125,0.417,0.340,0.458,0.427,0.431,0.429,0.500,0.625,
Alec Regula,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,,,,,,,
Alex Goligoski,,0.447,0.423,0.359,0.427,0.359,0.517,0.378,0.405,0.448,0.343,0.457,0.500,0.429,0.333
Alex Grant,,,,,,,,,,,,,,,
Alex Petrovic,,,,,,,,,,,,,,,
Alex Pietrangelo,,,,0.398,0.421,0.375,0.404,0.636,0.615,0.654,0.573,0.375,0.531,0.333,0.507
Alex Plante,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alexander Edler,0.571,0.410,0.411,0.444,0.468,0.459,0.394,0.394,0.380,0.352,0.422,0.530,0.364,,
Alexander Romanov,,,,,,,,,,,,,,0.500,
Alexander Sulzer,,,,0.700,,,,,,,,,,,
Alexander Urbom,,,,,,,,,,,,,,,
Alexandre Carrier,,,,,,,,,,,,,,,0.643
Alexandre Picard,0.500,0.558,0.536,0.500,,,,,,,,,,,
Alexei Emelin,,,,,,,0.455,,,,,,,,
Alexei Semenov,0.667,,,,,,,,,,,,,,
Alexei Zhitnik,0.600,,,,,,,,,,,,,,
Alexey Marchenko,,,,,,,,,,,,,,,
Allan Rourke,,,,,,,,,,,,,,,
Anders Eriksson,0.417,,,,,,,,,,,,,,
Andre Benoit,,,,,,0.611,0.623,0.429,,,,,,,
Andreas Borgman,,,,,,,,,,,,,,,
Andreas Englund,,,,,,,,,,,,,,,
Andreas Lilja,,,,,,,,,,,,,,,
Andrei Markov,0.426,0.440,0.417,,0.467,0.537,0.425,0.477,0.550,0.425,,,,,
Andrei Zyuzin,0.571,,,,,,,,,,,,,,
Andrej Meszaros,0.465,0.550,0.531,0.492,0.543,,0.500,0.529,,,,,,,
Andrej Sekera,0.273,0.452,0.450,0.468,0.619,0.278,0.513,0.370,0.405,0.422,0.167,,,,
Andrej Sustr,,,,,,,,,,,,,,,
Andrew Alberts,,,,,,,,,,,,,,,
