Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,D,2/7/1996,,,,,,,,0.484,0.433,0.670,0.457,0.421,0.306,0.488,0.384
Aaron Johnson,D,4/30/1983,0.180,,0.242,,0.460,,,,,,,,,,
Aaron Miller,D,8/11/1971,,,,,,,,,,,,,,,
Aaron Ness,D,5/18/1990,,,,,,,,,,,,,,,
Aaron Rome,D,9/27/1983,,,,,,,,,,,,,,,
Aaron Ward,D,1/17/1973,0.298,,,,,,,,,,,,,,
Adam Almquist,D,2/27/1991,,,,,,,,,,,,,,,
Adam Boqvist,D,8/15/2000,,,,,,,,,,,,,0.346,0.255,0.242
Adam Clendening,D,10/26/1992,,,,,,,,0.238,,0.241,,,,,
Adam Foote,D,7/10/1971,0.364,,,,,,,,,,,,,,
Adam Fox,D,2/17/1998,,,,,,,,,,,,,0.360,0.241,0.298
Adam Larsson,D,11/12/1992,,,,,0.324,,,,,,,,,,
Adam McQuaid,D,10/12/1986,,,,,,,,,,,,,,,
Adam Pardy,D,3/29/1984,,,,,,,,,,,,,,,
Adam Pelech,D,8/16/1994,,,,,,,,,,,,,,,
Adrian Aucoin,D,7/3/1973,0.413,0.323,0.441,0.366,0.428,,,,,,,,,,
Alain Nasreddine,D,7/10/1975,,,,,,,,,,,,,,,
Alec Martinez,D,7/26/1987,,,,0.542,0.473,0.231,0.500,0.501,0.562,0.576,0.382,0.435,0.458,0.486,
Alec Regula,D,8/6/2000,,,,,,,,,,,,,,,
Alex Biega,D,4/4/1988,,,,,,,,,,,,,,,
Alex Goligoski,D,7/30/1985,,0.264,0.272,0.352,0.376,0.301,0.352,0.250,0.273,0.215,0.291,0.318,0.242,0.217,0.202
Alex Grant,D,1/20/1989,,,,,,,,,,,,,,,
Alex Petrovic,D,3/3/1992,,,,,,,,,,,,,,,
Alex Pietrangelo,D,1/18/1990,,,,0.416,0.511,0.427,0.391,0.335,0.234,0.272,0.391,0.390,0.478,0.511,0.479
Alex Plante,D,5/9/1989,,,,,,,,,,,,,,,
Alex Vlasic,D,6/5/2001,,,,,,,,,,,,,,,
Alexander Edler,D,4/21/1986,0.333,0.435,0.411,0.418,0.547,0.535,0.564,0.525,0.502,0.548,0.502,0.436,0.388,,
Alexander Romanov,D,1/6/2000,,,,,,,,,,,,,,0.240,
Alexander Sulzer,D,5/30/1984,,,,0.232,,,,,,,,,,,
Alexander Urbom,D,12/20/1990,,,,,,,,,,,,,,,
Alexandre Carrier,D,10/8/1996,,,,,,,,,,,,,,,0.183
Alexandre Picard,D,7/5/1985,0.254,0.326,0.328,0.318,,,,,,,,,,,
Alexei Emelin,D,4/25/1986,,,,,,,0.322,,,,,,,,
Alexei Semenov,D,4/10/1981,0.295,,,,,,,,,,,,,,
Alexei Zhitnik,D,10/10/1972,0.256,,,,,,,,,,,,,,
Alexey Marchenko,D,1/2/1992,,,,,,,,,,,,,,,
Allan Rourke,D,3/6/1980,,,,,,,,,,,,,,,
Anders Eriksson,D,1/9/1975,0.253,,,,,,,,,,,,,,
Andre Benoit,D,1/6/1984,,,,,,0.360,0.306,0.235,,,,,,,
Andreas Borgman,D,6/18/1995,,,,,,,,,,,,,,,
Andreas Englund,D,1/21/1996,,,,,,,,,,,,,,,
Andreas Lilja,D,7/13/1975,,,,,,,,,,,,,,,
Andrei Markov,D,12/20/1978,0.380,0.499,0.441,,0.381,0.374,0.388,0.346,0.321,0.363,,,,,
Andrei Zyuzin,D,1/21/1978,0.373,,,,,,,,,,,,,,
