Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,,,,,,,,0.366,0.357,0.625,0.433,0.411,0.304,0.488,0.382
Aaron Johnson,0.180,,0.235,,0.437,,,,,,,,,,
Aaron Miller,,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Rome,,,,,,,,,,,,,,,
Aaron Ward,0.217,,,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.270,0.209,0.218
Adam Clendening,,,,,,,,0.228,,0.241,,,,,
Adam Foote,0.265,,,,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.336,0.231,0.295
Adam Larsson,,,,,0.248,,,,,,,,,,
Adam McQuaid,,,,,,,,,,,,,,,
Adam Pardy,,,,,,,,,,,,,,,
Adam Pelech,,,,,,,,,,,,,,,
Adrian Aucoin,0.332,0.233,0.343,0.259,0.311,,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alec Martinez,,,,0.540,0.473,0.230,0.493,0.487,0.540,0.544,0.340,0.383,0.395,0.414,
Alec Regula,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,,,,,,,
Alex Goligoski,,0.261,0.272,0.350,0.369,0.287,0.330,0.217,0.231,0.162,0.229,0.246,0.161,0.127,0.103
Alex Grant,,,,,,,,,,,,,,,
Alex Petrovic,,,,,,,,,,,,,,,
Alex Pietrangelo,,,,0.370,0.487,0.417,0.389,0.335,0.232,0.265,0.377,0.368,0.446,0.469,0.427
Alex Plante,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alexander Edler,0.309,0.425,0.409,0.418,0.545,0.528,0.550,0.503,0.470,0.506,0.449,0.373,0.316,,
Alexander Romanov,,,,,,,,,,,,,,0.195,
Alexander Sulzer,,,,0.226,,,,,,,,,,,
Alexander Urbom,,,,,,,,,,,,,,,
Alexandre Carrier,,,,,,,,,,,,,,,0.181
Alexandre Picard,0.244,0.324,0.328,0.317,,,,,,,,,,,
Alexei Emelin,,,,,,,0.308,,,,,,,,
Alexei Semenov,0.289,,,,,,,,,,,,,,
Alexei Zhitnik,0.166,,,,,,,,,,,,,,
Alexey Marchenko,,,,,,,,,,,,,,,
Allan Rourke,,,,,,,,,,,,,,,
Anders Eriksson,0.191,,,,,,,,,,,,,,
Andre Benoit,,,,,,0.337,0.274,0.193,,,,,,,
Andreas Borgman,,,,,,,,,,,,,,,
Andreas Englund,,,,,,,,,,,,,,,
Andreas Lilja,,,,,,,,,,,,,,,
Andrei Markov,0.347,0.457,0.389,,0.309,0.293,0.298,0.247,0.214,0.247,,,,,
Andrei Zyuzin,0.341,,,,,,,,,,,,,,
Andrej Meszaros,0.443,0.297,0.379,0.331,0.392,,0.330,0.377,,,,,,,
Andrej Sekera,0.257,0.285,0.262,0.295,0.340,0.450,0.393,0.343,0.587,0.474,0.343,,,,
Andrej Sustr,,,,,,,,,,,,,,,
Andrew Alberts,,,,,,,,,,,,,,,
Andrew Bodnarchuk,,,,,,,,,,,,,,,
Andrew Campbell,,,,,,,,,,,,,,,
Andrew Ference,0.310,0.329,0.302,,0.412,,,,,,,,,,
Andrew Hutchinson,,,,,,,,,,,,,,,
