Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,,,,,,,,,,,,,,,
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,,,,,,,,,,,
Aaron Volpatti,,,,,,,,,,,,,,,
Aaron Voros,0.232,0.270,,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Berti,,,,,,,,,,,,,,,
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,,,,,0.114,,,,,,,,,,
Adam Cracknell,,,,,,,,,,,,,,,
Adam Erne,,,,,,,,,,,,0.247,0.081,0.115,0.055
Adam Gaudette,,,,,,,,,,,,0.235,0.280,0.249,0.374
Adam Hall,,,,,,,,,,,,,,,
Adam Henrique,,,,,0.153,0.266,0.207,0.220,0.181,0.185,0.255,0.280,0.303,0.296,0.281
Adam Lowry,,,,,,,,0.173,,0.253,0.223,,,0.367,0.112
Adam Mair,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Kempe,,,,,,,,,,,0.322,0.219,0.412,0.583,0.511
Akim Aliu,,,,,,,,,,,,,,,
Alan Quine,,,,,,,,,,0.149,,,,,
Aleksander Barkov,,,,,,,0.160,0.187,0.293,0.327,0.325,0.205,0.266,0.376,0.389
Aleksi Heponiemi,,,,,,,,,,,,,,,
Aleksi Saarela,,,,,,,,,,,,,,,
Ales Hemsky,0.227,0.233,0.324,0.263,0.203,0.270,0.141,0.199,0.273,,,,,,
Ales Kotalik,0.432,0.483,0.457,0.294,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,0.491,
Alex Barré-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Broadhurst,,,,,,,,,,,,,,,
Alex Chiasson,,,,,,,0.328,0.234,0.153,0.212,0.289,0.251,0.286,0.290,0.255
Alex DeBrincat,,,,,,,,,,,0.395,0.366,0.351,0.324,0.405
Alex Formenton,,,,,,,,,,,,,,,0.239
Alex Frolov,0.261,0.336,0.290,0.216,,,,,,,,,,,
Alex Galchenyuk,,,,,,0.332,0.295,0.326,0.391,0.288,0.537,0.418,0.339,0.494,0.240
Alex Iafallo,,,,,,,,,,,0.196,0.338,0.276,0.257,0.321
Alex Khokhlachev,,,,,,,,,,,,,,,
Alex Killorn,,,,,,0.166,0.253,0.207,0.257,0.236,0.227,0.233,0.233,0.236,0.198
Alex Kovalev,0.366,0.383,0.273,0.411,,0.305,,,,,,,,,
Alex Newhook,,,,,,,,,,,,,,,0.298
Alex Nylander,,,,,,,,,,,,,0.092,,
Alex Ovechkin,0.545,0.754,0.683,0.632,0.547,0.684,0.659,0.857,0.814,0.691,0.667,0.633,0.581,0.595,0.647
Alex Tanguay,0.134,0.234,0.104,0.201,0.199,0.133,0.221,0.202,0.171,,,,,,
Alex Tuch,,,,,,,,,,,0.372,0.245,0.325,0.215,0.244
Alex Turcotte,,,,,,,,,,,,,,,
Alex Wennberg,,,,,,,,,,,,,,0.176,0.223
Alexander Barabanov,,,,,,,,,,,,,,,0.246
Alexander Burmistrov,,,,,0.192,0.152,,,0.118,0.302,,,,,
Alexander Holtz,,,,,,,,,,,,,,,
Alexander Kerfoot,,,,,,,,,,,0.169,0.198,0.218,0.206,
Alexander Nikulin,,,,,,,,,,,,,,,
Alexander Nylander,,,,,,,,,,,,,,,
Alexander Radulov,0.186,,,,,,,,,0.139,0.276,0.363,0.412,0.150,0.241
Alexander Semin,0.376,0.360,0.450,0.389,0.314,0.453,0.530,0.269,0.096,,,,,,
