Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,,,,,,,,,,,,,,,
Aaron Ekblad,,,,,,,,0.016,0.015,0.025,0.020,0.023,0.010,0.025,0.016
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Johnson,0.002,,0.005,,0.016,,,,,,,,,,
Aaron Miller,,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,,,,,,,,,,,
Aaron Rome,,,,,,,,,,,,,,,
Aaron Volpatti,,,,,,,,,,,,,,,
Aaron Voros,0.027,0.032,,,,,,,,,,,,,
Aaron Ward,0.008,,,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Berti,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.010,0.011,0.010
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,,,,,0.015,,,,,,,,,,
Adam Clendening,,,,,,,,0.006,,0.005,,,,,
Adam Cracknell,,,,,,,,,,,,,,,
Adam Erne,,,,,,,,,,,,0.019,0.014,0.016,0.007
Adam Foote,0.005,,,,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.013,0.010,0.011
Adam Gaudette,,,,,,,,,,,,0.017,0.023,0.025,0.038
Adam Hall,,,,,,,,,,,,,,,
Adam Henrique,,,,,0.015,0.023,0.021,0.026,0.015,0.022,0.029,0.027,0.035,0.032,0.027
Adam Larsson,,,,,0.005,,,,,,,,,,
Adam Lowry,,,,,,,,0.017,,0.039,0.031,,,0.042,0.017
Adam Mair,,,,,,,,,,,,,,,
Adam McQuaid,,,,,,,,,,,,,,,
Adam Pardy,,,,,,,,,,,,,,,
Adam Pelech,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Aucoin,0.014,0.009,0.012,0.007,0.010,,,,,,,,,,
Adrian Kempe,,,,,,,,,,,0.020,0.014,0.023,0.025,0.028
Akim Aliu,,,,,,,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alan Quine,,,,,,,,,,0.020,,,,,
Alec Martinez,,,,0.014,0.022,0.007,0.024,0.015,0.016,0.021,0.011,0.014,0.014,0.025,
Alec Regula,,,,,,,,,,,,,,,
Aleksander Barkov,,,,,,,0.013,0.024,0.036,0.026,0.030,0.024,0.032,0.029,0.030
Aleksi Heponiemi,,,,,,,,,,,,,,,
Aleksi Saarela,,,,,,,,,,,,,,,
Ales Hemsky,0.014,0.017,0.016,0.019,0.009,0.029,0.009,0.009,0.017,,,,,,
Ales Kotalik,0.024,0.018,0.024,0.013,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,0.039,
Alex Barré-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,,,,,,,
Alex Broadhurst,,,,,,,,,,,,,,,
Alex Chiasson,,,,,,,0.043,0.036,0.014,0.031,0.037,0.039,0.047,0.041,0.041
Alex DeBrincat,,,,,,,,,,,0.021,0.028,0.031,0.025,0.035
Alex Formenton,,,,,,,,,,,,,,,0.014
Alex Frolov,0.023,0.028,0.017,0.021,,,,,,,,,,,
Alex Galchenyuk,,,,,,0.030,0.032,0.031,0.030,0.024,0.036,0.031,0.027,0.026,0.011
Alex Goligoski,,0.012,0.010,0.015,0.017,0.009,0.012,0.008,0.006,0.005,0.009,0.007,0.005,0.008,0.002
Alex Grant,,,,,,,,,,,,,,,
Alex Iafallo,,,,,,,,,,,0.025,0.021,0.033,0.034,0.032
