Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,,,,,,,,0.016,0.015,0.025,0.020,0.023,0.010,0.025,0.016
Aaron Johnson,0.002,,0.005,,0.016,,,,,,,,,,
Aaron Miller,,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Rome,,,,,,,,,,,,,,,
Aaron Ward,0.008,,,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.010,0.011,0.010
Adam Clendening,,,,,,,,0.006,,0.005,,,,,
Adam Foote,0.005,,,,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.013,0.010,0.011
Adam Larsson,,,,,0.005,,,,,,,,,,
Adam McQuaid,,,,,,,,,,,,,,,
Adam Pardy,,,,,,,,,,,,,,,
Adam Pelech,,,,,,,,,,,,,,,
Adrian Aucoin,0.014,0.009,0.012,0.007,0.010,,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alec Martinez,,,,0.014,0.022,0.007,0.024,0.015,0.016,0.021,0.011,0.014,0.014,0.025,
Alec Regula,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,,,,,,,
Alex Goligoski,,0.012,0.010,0.015,0.017,0.009,0.012,0.008,0.006,0.005,0.009,0.007,0.005,0.008,0.002
Alex Grant,,,,,,,,,,,,,,,
Alex Petrovic,,,,,,,,,,,,,,,
Alex Pietrangelo,,,,0.013,0.019,0.015,0.015,0.018,0.010,0.015,0.017,0.016,0.018,0.013,0.016
Alex Plante,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alexander Edler,0.010,0.014,0.010,0.015,0.019,0.013,0.019,0.016,0.014,0.015,0.012,0.012,0.004,,
Alexander Romanov,,,,,,,,,,,,,,0.006,
Alexander Sulzer,,,,0.009,,,,,,,,,,,
Alexander Urbom,,,,,,,,,,,,,,,
Alexandre Carrier,,,,,,,,,,,,,,,0.010
Alexandre Picard,0.011,0.013,0.019,0.019,,,,,,,,,,,
Alexei Emelin,,,,,,,0.010,,,,,,,,
Alexei Semenov,0.012,,,,,,,,,,,,,,
Alexei Zhitnik,0.010,,,,,,,,,,,,,,
Alexey Marchenko,,,,,,,,,,,,,,,
Allan Rourke,,,,,,,,,,,,,,,
Anders Eriksson,0.006,,,,,,,,,,,,,,
Andre Benoit,,,,,,0.013,0.014,0.005,,,,,,,
Andreas Borgman,,,,,,,,,,,,,,,
Andreas Englund,,,,,,,,,,,,,,,
Andreas Lilja,,,,,,,,,,,,,,,
Andrei Markov,0.014,0.014,0.017,,0.009,,0.013,0.012,0.010,0.007,,,,,
Andrei Zyuzin,0.022,,,,,,,,,,,,,,
Andrej Meszaros,0.014,0.011,0.013,0.013,0.017,,0.010,0.014,,,,,,,
Andrej Sekera,0.005,0.008,0.007,0.008,0.011,0.009,0.012,0.009,0.015,0.012,0.007,,,,
Andrej Sustr,,,,,,,,,,,,,,,
Andrew Alberts,,,,,,,,,,,,,,,
Andrew Bodnarchuk,,,,,,,,,,,,,,,
Andrew Campbell,,,,,,,,,,,,,,,
Andrew Ference,0.008,0.010,0.006,,0.018,,,,,,,,,,
Andrew Hutchinson,,,,,,,,,,,,,,,
Andrew MacDonald,,,0.011,0.012,0.012,0.008,0.011,0.010,,,,,,,
Andrew MacWilliam,,,,,,,,,,,,,,,
Andrew Peeke,,,,,,,,,,,,,,,
Andrey Pedan,,,,,,,,,,,,,,,
Andrey Zubarev,,,,,,,,,,,,,,,
Andy Greene,0.011,0.008,0.010,0.014,,0.010,0.012,0.011,,0.008,,,,,
Andy Sutton,0.012,,,,,,,,,,,,,,
Andy Welinski,,,,,,,,,,,,,,,
Andy Wozniewski,,,,,,,,,,,,,,,
Anssi Salmela,,0.013,,,,,,,,,,,,,
Anthony Bitetto,,,,,,,,,,,,,,,
Anthony DeAngelo,,,,,,,,,,0.011,,,,,
Anton Babchuk,,0.018,,0.014,0.017,,,,,,,,,,
Anton Belov,,,,,,,0.011,,,,,,,,
Anton Lindholm,,,,,,,,,,,,,,,
Anton Stralman,0.009,0.011,0.015,0.015,0.007,0.013,,0.004,0.006,0.012,0.009,,,,
Anton Volchenkov,,,,,,,,,,,,,,,
Artem Zub,,,,,,,,,,,,,,,
Arturs Kulda,,,,,,,,,,,,,,,
Ashton Sautner,,,,,,,,,,,,,,,
Austin Strand,,,,,,,,,,,,,,,
Barret Jackman,0.007,0.011,,,,,,,,,,,,,
Ben Chiarot,,,,,,,,,,,,,,,0.004
Ben Gleason,,,,,,,,,,,,,,,
Ben Harpur,,,,,,,,,,,,,,,
Ben Hutton,,,,,,,,,0.011,0.013,0.009,0.004,,,
Ben Lovejoy,,,,,,,,,,,,,,,
Ben Thomas,,,,,,,,,,,,,,,
Blake Hillman,,,,,,,,,,,,,,,
Bobby Allen,,,,,,,,,,,,,,,
Bobby Sanguinetti,,,,,,,,,,,,,,,
Bogdan Kiselevich,,,,,,,,,,,,,,,
Boris Valabik,,,,,,,,,,,,,,,
Bowen Byram,,,,,,,,,,,,,,,
Brad Hunt,,,,,,,,,,,0.014,0.015,0.014,,0.010
Brad Lukowich,,,,,,,,,,,,,,,
Brad Stuart,0.015,,0.022,0.006,,,,,,,,,,,
Braden Schneider,,,,,,,,,,,,,,,
Brady Keeper,,,,,,,,,,,,,,,
Brady Skjei,,,,,,,,,,0.009,0.014,,,,
Brandon Carlo,,,,,,,,,,,,,,,
Brandon Davidson,,,,,,,,,,,,,,,
Brandon Gormley,,,,,,,,,,,,,,,
Brandon Manning,,,,,,,,,,,,,,,
Brandon Montour,,,,,,,,,,0.019,0.020,0.012,0.009,,0.009
Branislav Mezei,,,,,,,,,,,,,,,
Brayden McNabb,,,,,,,,0.013,,,,,,,
Braydon Coburn,0.010,0.012,0.012,0.006,,,,,,,,,,,
Brendan Bell,,0.013,,,,,,,,,,,,,
Brendan Guhle,,,,,,,,,,,,,,,
Brendan Mikkelson,,,,,0.010,,,,,,,,,,
Brendan Smith,,,,,,0.007,,,0.013,0.013,,,,,
Brendan Witt,,,,,,,,,,,,,,,
Brenden Dillon,,,,,,,,,,,,,,,
Brennan Menell,,,,,,,,,,,,,,,
Brent Burns,0.016,0.022,0.017,0.018,0.022,0.027,0.032,0.025,0.024,0.022,0.017,0.020,0.023,0.015,0.015
Brent Regner,,,,,,,,,,,,,,,
Brent Seabrook,0.008,0.012,0.019,0.012,0.015,0.014,0.016,0.018,0.017,0.013,0.012,0.015,,,
Brent Sopel,0.005,,,,,,,,,,,,,,
Bret Hedican,0.003,0.007,,,,,,,,,,,,,
Brett Bellemore,,,,,,,,,,,,,,,
Brett Carson,,,0.008,,,,,,,,,,,,
Brett Clark,0.010,0.011,0.012,0.018,0.007,,,,,,,,,,
Brett Festerling,,,,,,,,,,,,,,,
Brett Kulak,,,,,,,,,,,,,,,
Brett Lebda,0.008,,,0.008,,,,,,,,,,,
Brett Lernout,,,,,,,,,,,,,,,
Brett Pesce,,,,,,,,,0.015,0.019,,,,0.017,0.013
Brett Skinner,,,,,,,,,,,,,,,
Brian Campbell,0.013,0.007,0.011,0.009,0.009,,0.009,0.009,0.008,0.013,,,,,
Brian Dumoulin,,,,,,,,,0.007,0.007,,,,,
Brian Fahey,,,,,,,,,,,,,,,
Brian Lashoff,,,,,,,,,,,,,,,
Brian Lee,,0.008,,,,,,,,,,,,,
Brian Pothier,0.006,,0.008,,,,,,,,,,,,
Brian Rafalski,0.016,0.014,0.011,0.012,,,,,,,,,,,
Brian Salcido,,,,,,,,,,,,,,,
Brian Strait,,,,,,,,,,,,,,,
Brooks Orpik,0.004,0.003,,,,,,,,,,,,,
Bruno Gervais,0.008,0.009,0.015,,0.020,,,,,,,,,,
Bryan Allen,0.006,,,,,,,,,,,,,,
Bryan Berard,0.014,,,,,,,,,,,,,,
Bryan Helmer,,,,,,,,,,,,,,,
Bryan McCabe,0.012,0.013,0.012,0.015,,,,,,,,,,,
Bryan Rodney,,,0.013,,,,,,,,,,,,
Bryce Salvador,,,,,,,,,,,,,,,
Cade Fairchild,,,,,,,,,,,,,,,
Cal Foote,,,,,,,,,,,,,,,
Cale Fleury,,,,,,,,,,,,,,,
Cale Makar,,,,,,,,,,,,,0.018,0.017,0.014
Caleb Jones,,,,,,,,,,,,,,,
Calen Addison,,,,,,,,,,,,,,,
Calle Rosen,,,,,,,,,,,,,,,
Calvin de Haan,,,,,,,0.011,,,0.015,,,,,
Cam Barker,0.006,0.016,0.019,0.010,0.020,,,,,,,,,,
Cam Dineen,,,,,,,,,,,,,,,
Cam Fowler,,,,0.012,0.012,0.014,0.014,0.010,0.016,0.020,0.014,0.010,0.015,0.008,0.012
Cam York,,,,,,,,,,,,,,,0.008
Cameron Gaunce,,,,,,,,,,,,,,,
Carl Dahlstrom,,,,,,,,,,,,,,,
Carl Gunnarsson,,,0.006,0.009,0.011,,,,,,,,,,
Carlo Colaiacovo,,0.007,0.010,0.011,0.011,,0.004,,,,,,,,
Carson Soucy,,,,,,,,,,,,,,,0.008
Casey Borer,,,,,,,,,,,,,,,
Casey Fitzgerald,,,,,,,,,,,,,,,
Casey Nelson,,,,,,,,,,,,,,,
Chad Billins,,,,,,,,,,,,,,,
Chad Ruhwedel,,,,,,,,,,0.012,,,,,
Charlie McAvoy,,,,,,,,,,,0.008,0.008,0.019,0.010,0.009
Chase Priskie,,,,,,,,,,,,,,,
Chay Genoway,,,,,,,,,,,,,,,
Chris Bigras,,,,,,,,,,,,,,,
Chris Butler,,,0.006,0.007,0.006,,,,,,,,,,
Chris Campoli,0.012,0.015,0.011,0.010,0.011,,,,,,,,,,
Chris Chelios,,,,,,,,,,,,,,,
Chris Phillips,,0.004,0.006,,0.015,0.010,0.006,,,,,,,,
Chris Pronger,0.013,0.015,0.014,0.016,0.006,,,,,,,,,,
Chris Summers,,,,,,,,,,,,,,,
Chris Wideman,,,,,,,,,0.020,0.011,0.020,0.006,,,0.008
Christian Backman,0.009,0.006,,,,,,,,,,,,,
Christian Djoos,,,,,,,,,,,,,,0.006,
Christian Ehrhoff,0.012,0.018,0.019,0.022,0.017,,0.011,0.013,0.016,,,,,,
Christian Folin,,,,,,,,,,,,,,,
Christian Jaros,,,,,,,,,,,,,,,
Christian Wolanin,,,,,,,,,,,,0.001,,,
Christoph Schubert,0.011,0.014,,,,,,,,,,,,,
Christopher Tanev,,,,,,,,0.009,0.005,,,,,,
Clay Wilson,0.006,,,0.011,,,,,,,,,,,
Clayton Stoner,,,,,,,,,,,,,,,
Cody Ceci,,,,,,,0.010,0.013,0.007,0.016,0.016,0.012,,,
Cody Franson,,,0.022,0.018,0.014,,0.010,0.015,0.017,0.007,0.018,,,,
Cody Goloubef,,,,,,,,,,,,,,,
Colby Cohen,,,,,,,,,,,,,,,
Colby Robak,,,,,,,,,,,,,,,
Colin Miller,,,,,,,,,0.013,0.009,0.022,0.012,0.013,0.017,0.010
Colin White,,,,,,,,,,,,0.038,0.017,0.021,0.046
Colten Teubert,,,,,,,,,,,,,,,
Colton Parayko,,,,,,,,,0.017,0.017,0.014,0.017,0.021,,
Colton White,,,,,,,,,,,,,,,
Connor Carrick,,,,,,,,,,0.024,,,,,
Connor Clifton,,,,,,,,,,,,,,,
Connor Mackey,,,,,,,,,,,,,,,
Connor Murphy,,,,,,,,,0.008,,,,,,
Conor Allen,,,,,,,,,,,,,,,
Conor Timmins,,,,,,,,,,,,,,,
Corey Potter,,,,,0.010,0.014,,,,,,,,,
Corey Schueneman,,,,,,,,,,,,,,,
