Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,,,,,,,,,,,,,,,
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,,,,,,,,,,,
Aaron Volpatti,,,,,,,,,,,,,,,
Aaron Voros,0.027,0.032,,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Berti,,,,,,,,,,,,,,,
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,,,,,0.015,,,,,,,,,,
Adam Cracknell,,,,,,,,,,,,,,,
Adam Erne,,,,,,,,,,,,0.019,0.014,0.016,0.007
Adam Gaudette,,,,,,,,,,,,0.017,0.023,0.025,0.038
Adam Hall,,,,,,,,,,,,,,,
Adam Henrique,,,,,0.015,0.023,0.021,0.026,0.015,0.022,0.029,0.027,0.035,0.032,0.027
Adam Lowry,,,,,,,,0.017,,0.039,0.031,,,0.042,0.017
Adam Mair,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Kempe,,,,,,,,,,,0.020,0.014,0.023,0.025,0.028
Akim Aliu,,,,,,,,,,,,,,,
Alan Quine,,,,,,,,,,0.020,,,,,
Aleksander Barkov,,,,,,,0.013,0.024,0.036,0.026,0.030,0.024,0.032,0.029,0.030
Aleksi Heponiemi,,,,,,,,,,,,,,,
Aleksi Saarela,,,,,,,,,,,,,,,
Ales Hemsky,0.014,0.017,0.016,0.019,0.009,0.029,0.009,0.009,0.017,,,,,,
Ales Kotalik,0.024,0.018,0.024,0.013,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,0.039,
Alex Barré-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Broadhurst,,,,,,,,,,,,,,,
Alex Chiasson,,,,,,,0.043,0.036,0.014,0.031,0.037,0.039,0.047,0.041,0.041
Alex DeBrincat,,,,,,,,,,,0.021,0.028,0.031,0.025,0.035
Alex Formenton,,,,,,,,,,,,,,,0.014
Alex Frolov,0.023,0.028,0.017,0.021,,,,,,,,,,,
Alex Galchenyuk,,,,,,0.030,0.032,0.031,0.030,0.024,0.036,0.031,0.027,0.026,0.011
Alex Iafallo,,,,,,,,,,,0.025,0.021,0.033,0.034,0.032
Alex Khokhlachev,,,,,,,,,,,,,,,
Alex Killorn,,,,,,0.015,0.023,0.020,0.028,0.015,0.019,0.024,0.025,0.024,0.027
Alex Kovalev,0.024,0.024,0.018,0.026,,0.018,,,,,,,,,
Alex Newhook,,,,,,,,,,,,,,,0.019
Alex Nylander,,,,,,,,,,,,,0.009,,
Alex Ovechkin,0.026,0.037,0.035,0.029,0.032,,0.036,0.050,0.049,0.034,0.033,0.032,0.027,0.030,0.030
Alex Tanguay,0.008,0.022,0.011,0.012,0.013,0.009,0.008,0.014,0.012,,,,,,
Alex Tuch,,,,,,,,,,,0.040,0.029,0.036,0.021,0.021
Alex Turcotte,,,,,,,,,,,,,,,
Alex Wennberg,,,,,,,,,,,,,,0.018,0.015
Alexander Barabanov,,,,,,,,,,,,,,,0.015
Alexander Burmistrov,,,,,0.013,0.017,,,0.006,0.023,,,,,
Alexander Holtz,,,,,,,,,,,,,,,
Alexander Kerfoot,,,,,,,,,,,0.015,0.018,0.021,0.020,
Alexander Nikulin,,,,,,,,,,,,,,,
Alexander Nylander,,,,,,,,,,,,,,,
Alexander Radulov,0.015,,,,,,,,,0.011,0.023,0.024,0.033,0.017,0.021
Alexander Semin,0.027,0.024,0.031,0.028,0.020,0.028,0.031,0.016,0.004,,,,,,
